ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1969,1969-09-14,1,21.355,OAK,,HOU,W 21-17,0,0,,0,1,-2,-2.00,0
2,1969,1969-09-28,3,22.004,OAK,@,BOS,W 38-23,2,60,30.00,0,0,0,,0
3,1969,1969-10-04,4,22.010,OAK,@,MIA,T 20-20,1,7,7.00,0,0,0,,0
4,1970,1970-09-20,1,22.361,BUF,,DEN,L 10-25,,,,,,,,
5,1970,1970-09-27,2,23.003,BUF,,RAM,L 0-19,,,,,,,,
6,1970,1970-10-04,3,23.010,BUF,,NYJ,W 34-31,0,0,,0,1,8,8.00,0
7,1970,1970-10-11,4,23.017,BUF,@,PIT,L 10-23,0,0,,0,1,2,2.00,0
8,1970,1970-10-18,5,23.024,BUF,,MIA,L 14-33,,,,,,,,
9,1970,1970-10-25,6,23.031,BUF,@,NYJ,W 10-6,,,,,,,,
10,1970,1970-11-01,7,23.038,BUF,@,BOS,W 45-10,,,,,,,,
11,1970,1970-11-08,8,23.045,BUF,,CIN,L 14-43,,,,,,,,
12,1970,1970-11-15,9,23.052,BUF,@,BAL,T 17-17,,,,,,,,
13,1970,1970-11-22,10,23.059,BUF,@,CHI,L 13-31,,,,,,,,
14,1970,1970-11-29,11,23.066,BUF,,BOS,L 10-14,,,,,,,,
15,1970,1970-12-06,12,23.073,BUF,@,NYG,L 6-20,,,,,,,,
16,1970,1970-12-13,13,23.080,BUF,,BAL,L 14-20,,,,,,,,
17,1970,1970-12-20,14,23.087,BUF,@,MIA,L 7-45,,,,,,,,
18,1971,1971-09-19,1,23.360,BUF,,DAL,L 37-49,,,,,,,,
19,1971,1971-09-26,2,24.002,BUF,,MIA,L 14-29,,,,,,,,
20,1971,1971-10-03,3,24.009,BUF,@,MIN,L 0-19,,,,,,,,
21,1971,1971-10-10,4,24.016,BUF,,BAL,L 0-43,,,,,,,,
22,1971,1971-10-17,5,24.023,BUF,@,NYJ,L 17-28,,,,,,,,
23,1971,1971-10-23,6,24.029,BUF,@,SDG,L 3-20,,,,,,,,
24,1971,1971-10-31,7,24.037,BUF,,STL,L 23-28,,,,,,,,
25,1971,1971-11-07,8,24.044,BUF,@,MIA,L 0-34,,,,,,,,
26,1971,1971-11-14,9,24.051,BUF,@,NWE,L 33-38,,,,,,,,
27,1971,1971-11-21,10,24.058,BUF,,NYJ,L 7-20,,,,,,,,
28,1971,1971-11-28,11,24.065,BUF,,NWE,W 27-20,,,,,,,,
29,1971,1971-12-05,12,24.072,BUF,@,BAL,L 0-24,,,,,,,,
30,1971,1971-12-12,13,24.079,BUF,,HOU,L 14-20,,,,,,,,
31,1971,1971-12-19,14,24.086,BUF,@,KAN,L 9-22,,,,,,,,
32,1972,1972-09-24,2,25.000,PHI,,CLE,L 17-27,,,,,,,,
