ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1980,1980-09-14,2,24.221,DAL,@,DEN,L 20-41,,,,
2,1980,1980-09-21,3,24.228,DAL,,TAM,W 28-17,,,,
3,1980,1980-09-28,4,24.235,DAL,@,GNB,W 28-7,,,,
4,1980,1980-10-05,5,24.242,DAL,,NYG,W 24-3,,,,
5,1980,1980-10-12,6,24.249,DAL,,SFO,W 59-14,,,,
6,1980,1980-10-19,7,24.256,DAL,@,PHI,L 10-17,,,,
7,1980,1980-10-26,8,24.263,DAL,,SDG,W 42-31,,,,
8,1980,1980-11-02,9,24.270,DAL,@,STL,W 27-24,,,,
9,1980,1980-11-09,10,24.277,DAL,@,NYG,L 35-38,,,,
10,1980,1980-11-16,11,24.284,DAL,,STL,W 31-21,1,8,8.00,0
11,1980,1980-12-21,16,24.319,BUF,@,SFO,W 18-13,,,,
12,1981,1981-11-29,13,25.296,DEN,@,SDG,L 17-34,,,,
13,1981,1981-12-06,14,25.303,DEN,,KAN,W 16-13,,,,
14,1981,1981-12-13,15,25.310,DEN,,SEA,W 23-13,,,,
15,1981,1981-12-20,16,25.317,DEN,@,CHI,L 24-35,,,,
