ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1965,1965-11-07,8,24.086,WAS,@,NYG,W 23-7,0,0,,0,1,0,0.00,0,0,0,0,0,0
2,1965,1965-12-12,13,24.121,WAS,,NYG,L 10-27,0,0,,0,0,0,,0,0,0,1,14,0
3,1966,1966-10-02,4,25.050,WAS,,PIT,W 24-10,0,0,,0,0,0,,0,0,0,1,1,0
4,1967,1967-11-12,9,26.091,WAS,,SFO,W 31-28,1,1,1.00,0,0,0,,0,0,0,0,0,0
5,1968,1968-10-27,7,27.075,WAS,,NYG,L 10-13,0,0,,0,0,0,,0,0,0,1,23,0
6,1968,1968-11-17,10,27.096,WAS,,DAL,L 24-44,0,0,,0,0,0,,0,1,6,1,30,1
7,1970,1970-09-20,1,29.038,WAS,@,SFO,L 17-26,,,,,,,,,,,,,
8,1970,1970-09-27,2,29.045,WAS,@,STL,L 17-27,,,,,,,,,,,,,
9,1970,1970-10-04,3,29.052,WAS,@,PHI,W 33-21,0,0,,0,0,0,,0,0,0,1,12,0
10,1970,1970-10-11,4,29.059,WAS,,DET,W 31-10,,,,,,,,,,,,,
11,1970,1970-10-19,5,29.067,WAS,@,OAK,L 20-34,0,0,,0,1,20,20.00,0,0,0,0,0,0
12,1970,1970-10-25,6,29.073,WAS,,CIN,W 20-0,,,,,,,,,,,,,
13,1970,1970-11-01,7,29.080,WAS,@,DEN,W 19-3,,,,,,,,,,,,,
14,1970,1970-11-08,8,29.087,WAS,,MIN,L 10-19,0,0,,0,1,13,13.00,0,0,0,0,0,0
15,1970,1970-11-15,9,29.094,WAS,@,NYG,L 33-35,,,,,,,,,,,,,
16,1970,1970-11-22,10,29.101,WAS,,DAL,L 21-45,,,,,,,,,,,,,
17,1970,1970-11-29,11,29.108,WAS,,NYG,L 24-27,,,,,,,,,,,,,
18,1970,1970-12-06,12,29.115,WAS,@,DAL,L 0-34,,,,,,,,,,,,,
19,1970,1970-12-13,13,29.122,WAS,,PHI,W 24-6,,,,,,,,,,,,,
20,1970,1970-12-20,14,29.129,WAS,,STL,W 28-27,,,,,,,,,,,,,
21,1971,1971-09-19,1,30.037,WAS,@,STL,W 24-17,,,,,,,,,,,,,
22,1971,1971-09-26,2,30.044,WAS,@,NYG,W 30-3,,,,,,,,,,,,,
23,1971,1971-10-03,3,30.051,WAS,@,DAL,W 20-16,,,,,,,,,,,,,
24,1971,1971-10-10,4,30.058,WAS,,HOU,W 22-13,,,,,,,,,,,,,
25,1971,1971-10-17,5,30.065,WAS,,STL,W 20-0,,,,,,,,,,,,,
26,1971,1971-10-24,6,30.072,WAS,@,KAN,L 20-27,,,,,,,,,,,,,
27,1971,1971-10-31,7,30.079,WAS,,NOR,W 24-14,,,,,,,,,,,,,
28,1971,1971-11-07,8,30.086,WAS,,PHI,T 7-7,,,,,,,,,,,,,
29,1971,1971-11-14,9,30.093,WAS,@,CHI,L 15-16,,,,,,,,,,,,,
30,1971,1971-11-21,10,30.100,WAS,,DAL,L 0-13,,,,,,,,,,,,,
31,1971,1971-11-28,11,30.107,WAS,@,PHI,W 20-13,,,,,,,,,,,,,
32,1971,1971-12-05,12,30.114,WAS,,NYG,W 23-7,0,0,,0,0,0,,0,0,0,1,17,0
33,1971,1971-12-13,13,30.122,WAS,@,RAM,W 38-24,,,,,,,,,,,,,
34,1971,1971-12-19,14,30.128,WAS,,CLE,L 13-20,,,,,,,,,,,,,
35,1972,1972-09-18,1,31.036,WAS,@,MIN,W 24-21,,,,,,,,,,,,,
36,1972,1972-09-24,2,31.042,WAS,,STL,W 24-10,0,0,,0,0,0,,0,0,0,1,15,0
37,1972,1972-10-01,3,31.049,WAS,@,NWE,L 23-24,,,,,,,,,,,,,
38,1972,1972-10-08,4,31.056,WAS,,PHI,W 14-0,0,0,,0,0,0,,0,0,0,1,30,0
39,1972,1972-10-15,5,31.063,WAS,@,STL,W 33-3,,,,,,,,,,,,,
40,1972,1972-10-22,6,31.070,WAS,,DAL,W 24-20,,,,,,,,,,,,,
41,1972,1972-10-29,7,31.077,WAS,@,NYG,W 23-16,,,,,,,,,,,,,
42,1972,1972-11-05,8,31.084,WAS,@,NYJ,W 35-17,0,0,,0,0,0,,0,1,6,2,53,1
43,1972,1972-11-12,9,31.091,WAS,,NYG,W 27-13,,,,,,,,,,,,,
44,1972,1972-11-20,10,31.099,WAS,,ATL,W 24-13,,,,,,,,,,,,,
45,1972,1972-11-26,11,31.105,WAS,,GNB,W 21-16,,,,,,,,,,,,,
46,1972,1972-12-03,12,31.112,WAS,@,PHI,W 23-7,,,,,,,,,,,,,
47,1972,1972-12-09,13,31.118,WAS,@,DAL,L 24-34,,,,,,,,,,,,,
48,1972,1972-12-17,14,31.126,WAS,,BUF,L 17-24,,,,,,,,,,,,,
49,1973,1973-09-16,1,32.034,WAS,,SDG,W 38-0,,,,,,,,,,,,,
50,1973,1973-09-23,2,32.041,WAS,@,STL,L 27-34,,,,,,,,,,,,,
51,1973,1973-09-30,3,32.048,WAS,@,PHI,W 28-7,0,0,,0,0,0,,0,0,0,1,45,0
52,1973,1973-10-08,4,32.056,WAS,,DAL,W 14-7,,,,,,,,,,,,,
53,1973,1973-10-14,5,32.062,WAS,@,NYG,W 21-3,,,,,,,,,,,,,
54,1973,1973-10-21,6,32.069,WAS,,STL,W 31-13,,,,,,,,,,,,,
55,1973,1973-10-28,7,32.076,WAS,@,NOR,L 3-19,,,,,,,,,,,,,
56,1973,1973-11-05,8,32.084,WAS,@,PIT,L 16-21,,,,,,,,,,,,,
57,1973,1973-11-11,9,32.090,WAS,,SFO,W 33-9,,,,,,,,,,,,,
58,1973,1973-11-18,10,32.097,WAS,,BAL,W 22-14,,,,,,,,,,,,,
59,1973,1973-11-22,11,32.101,WAS,@,DET,W 20-0,,,,,,,,,,,,,
60,1973,1973-12-02,12,32.111,WAS,,NYG,W 27-24,,,,,,,,,,,,,
61,1973,1973-12-09,13,32.118,WAS,@,DAL,L 7-27,,,,,,,,,,,,,
62,1973,1973-12-16,14,32.125,WAS,,PHI,W 38-20,,,,,,,,,,,,,
63,1974,1974-09-15,1,33.033,WAS,@,NYG,W 13-10,0,0,,0,0,0,,0,0,0,1,0,0
64,1974,1974-09-22,2,33.040,WAS,,STL,L 10-17,,,,,,,,,,,,,
65,1974,1974-09-30,3,33.048,WAS,,DEN,W 30-3,,,,,,,,,,,,,
66,1974,1974-10-06,4,33.054,WAS,@,CIN,L 17-28,,,,,,,,,,,,,
67,1974,1974-10-13,5,33.061,WAS,,MIA,W 20-17,0,0,,0,0,0,,0,0,0,1,0,0
68,1974,1974-10-20,6,33.068,WAS,,NYG,W 24-3,0,0,,0,0,0,,0,0,0,2,6,0
69,1974,1974-10-27,7,33.075,WAS,@,STL,L 20-23,,,,,,,,,,,,,
70,1974,1974-11-03,8,33.082,WAS,@,GNB,W 17-6,,,,,,,,,,,,,
71,1974,1974-11-10,9,33.089,WAS,@,PHI,W 27-20,,,,,,,,,,,,,
72,1974,1974-11-17,10,33.096,WAS,,DAL,W 28-21,,,,,,,,,,,,,
73,1974,1974-11-24,11,33.103,WAS,,PHI,W 26-7,,,,,,,,,,,,,
74,1974,1974-11-28,12,33.107,WAS,@,DAL,L 23-24,,,,,,,,,,,,,
75,1974,1974-12-09,13,33.118,WAS,@,RAM,W 23-17,,,,,,,,,,,,,
76,1974,1974-12-15,14,33.124,WAS,,CHI,W 42-0,,,,,,,,,,,,,
77,1975,1975-09-21,1,34.039,WAS,,NOR,W 41-3,,,,,,,,,,,,,
78,1975,1975-09-28,2,34.046,WAS,,NYG,W 49-13,,,,,,,,,,,,,
79,1975,1975-10-05,3,34.053,WAS,@,PHI,L 10-26,,,,,,,,,,,,,
80,1975,1975-10-13,4,34.061,WAS,,STL,W 27-17,0,0,,0,0,0,,0,0,0,1,30,0
81,1975,1975-10-19,5,34.067,WAS,@,HOU,L 10-13,,,,,,,,,,,,,
82,1975,1975-10-26,6,34.074,WAS,@,CLE,W 23-7,,,,,,,,,,,,,
83,1975,1975-11-02,7,34.081,WAS,,DAL,W 30-24,,,,,,,,,,,,,
