ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1994,1994-09-18,3,22.254,ARI,@,CLE,L 0-32,0,0,,0,5,4,35,8.75,0,80.0%,7.00,6,93,15.50,0,0,0,,0,0,0
2,1994,1994-10-02,4,22.268,ARI,,MIN,W 17-7,,,,,,,,,,0.0%,,,,,,,,,,,
3,1994,1994-10-16,6,22.282,ARI,@,WAS,W 19-16,1,-2,-2.00,0,0,0,0,,0,0.0%,,2,35,17.50,0,0,0,,0,0,0
4,1994,1994-11-06,9,22.303,ARI,@,PHI,L 7-17,2,17,8.50,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0
5,1994,1994-11-13,10,22.310,ARI,@,NYG,W 10-9,0,0,,0,0,0,0,,0,0.0%,,1,23,23.00,0,0,0,,0,0,0
6,1994,1994-11-20,11,22.317,ARI,,PHI,W 12-6,0,0,,0,0,0,0,,0,0.0%,,2,55,27.50,0,0,0,,0,0,0
7,1994,1994-11-27,12,22.324,ARI,,CHI,L 16-19,0,0,,0,0,0,0,,0,0.0%,,5,94,18.80,0,0,0,,0,0,0
8,1994,1994-12-04,13,22.331,ARI,@,HOU,W 30-12,0,0,,0,0,0,0,,0,0.0%,,1,20,20.00,0,0,0,,0,0,0
9,1994,1994-12-11,14,22.338,ARI,,WAS,W 17-15,0,0,,0,0,0,0,,0,0.0%,,4,78,19.50,0,0,0,,0,0,0
10,1994,1994-12-18,15,22.345,ARI,,CIN,W 28-7,0,0,,0,0,0,0,,0,0.0%,,2,54,27.00,0,0,0,,0,0,0
11,1994,1994-12-24,16,22.351,ARI,@,ATL,L 6-10,0,0,,0,0,0,0,,0,0.0%,,3,61,20.33,0,0,0,,0,0,0
12,1997,1997-09-14,3,25.250,SFO,,NOR,W 33-7,0,0,,0,0,0,0,,0,0.0%,,2,71,35.50,0,0,0,,0,0,0
13,1997,1997-09-21,4,25.257,SFO,,ATL,W 34-7,0,0,,0,0,0,0,,0,0.0%,,1,21,21.00,0,1,8,8.00,0,0,0
14,1997,1997-09-29,5,25.265,SFO,@,CAR,W 34-21,0,0,,0,0,0,0,,0,0.0%,,2,44,22.00,0,0,0,,0,0,0
15,1997,1997-10-12,6,25.278,SFO,,STL,W 30-10,6,26,4.33,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0
16,1997,1997-10-19,7,25.285,SFO,@,ATL,W 35-28,0,0,,0,0,0,0,,0,0.0%,,2,56,28.00,0,0,0,,0,0,0
17,1997,1997-10-26,8,25.292,SFO,@,NOR,W 23-0,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,
18,1997,1997-11-02,9,25.299,SFO,,DAL,W 17-10,0,0,,0,2,1,30,30.00,0,50.0%,15.00,2,37,18.50,0,0,0,,0,0,0
19,1997,1997-11-10,10,25.307,SFO,@,PHI,W 24-12,1,2,2.00,0,1,0,0,,0,0.0%,0.00,2,36,18.00,0,3,82,27.33,1,1,6
20,1997,1997-11-16,11,25.313,SFO,,CAR,W 27-19,0,0,,0,1,0,0,,0,0.0%,0.00,3,55,18.33,0,0,0,,0,0,0
