ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1995,1995-09-03,1,25.142,IND,,CIN,L 21-24,,1,1,12,12.00,0,100.0%,12.00,0,0,,0,0,0
2,1995,1995-09-17,3,25.156,IND,@,BUF,L 14-20,,5,2,20,10.00,0,40.0%,4.00,0,0,,0,0,0
3,1995,1995-10-01,4,25.170,IND,,STL,W 21-18,,,0,0,,0,0.0%,,0,0,,0,,
4,1995,1995-10-08,5,25.177,IND,@,MIA,W 27-24,,2,0,0,,0,0.0%,0.00,0,0,,0,,
5,1995,1995-10-15,6,25.184,IND,,SFO,W 18-17,,1,0,0,,0,0.0%,0.00,0,0,,0,,
6,1995,1995-10-22,7,25.191,IND,@,OAK,L 17-30,,3,2,18,9.00,0,66.7%,6.00,0,0,,0,0,0
7,1995,1995-10-29,8,25.198,IND,,NYJ,W 17-10,,2,0,0,,0,0.0%,0.00,0,0,,0,,
8,1995,1995-11-05,9,25.205,IND,,BUF,L 10-16,,1,1,15,15.00,0,100.0%,15.00,0,0,,0,0,0
9,1995,1995-11-12,10,25.212,IND,@,NOR,L 14-17,,1,1,14,14.00,0,100.0%,14.00,0,0,,0,0,0
10,1995,1995-11-19,11,25.219,IND,@,NWE,W 24-10,,,0,0,,0,0.0%,,0,0,,0,,
11,1995,1995-11-26,12,25.226,IND,,MIA,W 36-28,,2,0,0,,0,0.0%,0.00,0,0,,0,,
12,1995,1995-12-03,13,25.233,IND,@,CAR,L 10-13,,,0,0,,0,0.0%,,0,0,,0,,
13,1995,1995-12-10,14,25.240,IND,@,JAX,W 41-31,,,0,0,,0,0.0%,,0,0,,0,,
14,1995,1995-12-17,15,25.247,IND,,SDG,L 24-27,,3,1,16,16.00,0,33.3%,5.33,0,0,,0,0,0
15,1995,1995-12-23,16,25.253,IND,,NWE,W 10-7,,,0,0,,0,0.0%,,0,0,,0,,
16,1996,1996-09-01,1,26.140,IND,,ARI,W 20-13,,1,1,6,6.00,0,100.0%,6.00,0,0,,0,0,0
17,1996,1996-09-08,2,26.147,IND,@,NYJ,W 21-7,,,0,0,,0,0.0%,,0,0,,0,,
18,1996,1996-09-15,3,26.154,IND,@,DAL,W 25-24,,,0,0,,0,0.0%,,0,0,,0,,
