ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1964,1964-09-13,1,23.003,WAS,,CLE,L 13-27,2,34,17.00,0,3,4,1.33,0
2,1964,1964-09-20,2,23.010,WAS,@,DAL,L 18-24,5,94,18.80,0,1,1,1.00,0
3,1964,1964-10-04,4,23.024,WAS,,STL,L 17-23,1,84,84.00,0,0,0,,0
4,1964,1964-10-11,5,23.031,WAS,,PHI,W 35-20,2,54,27.00,0,0,0,,0
5,1964,1964-10-18,6,23.038,WAS,@,STL,L 24-38,1,15,15.00,0,0,0,,0
6,1964,1964-10-25,7,23.045,WAS,,CHI,W 27-20,1,29,29.00,0,0,0,,0
7,1964,1964-11-01,8,23.052,WAS,@,PHI,W 21-10,1,30,30.00,0,0,0,,0
8,1964,1964-11-22,11,23.073,WAS,,DAL,W 28-16,2,26,13.00,0,0,0,,0
9,1964,1964-11-29,12,23.080,WAS,,NYG,W 36-21,1,26,26.00,0,0,0,,0
10,1964,1964-12-06,13,23.087,WAS,,PIT,L 7-14,2,73,36.50,0,0,0,,0
11,1964,1964-12-13,14,23.094,WAS,@,BAL,L 17-45,1,17,17.00,0,0,0,,0
