ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,sacks,def_int,def_int_yds,def_int_td
1,1987,1987-09-13,1,23.182,BUF,,NYJ,L 28-31,,,,,,,,
2,1987,1987-09-20,2,23.189,BUF,,HOU,W 34-30,,,,,,,,
3,1987,1987-10-25,6,23.224,BUF,@,MIA,W 34-31,,,,,,,,
4,1987,1987-11-01,7,23.231,BUF,,WAS,L 7-27,,,,,,,,
5,1987,1987-11-08,8,23.238,BUF,,DEN,W 21-14,,,,,,,,
6,1987,1987-11-15,9,23.245,BUF,@,CLE,L 21-27,,,,,,,,
7,1987,1987-11-22,10,23.252,BUF,@,NYJ,W 17-14,,,,,,,,
8,1987,1987-11-29,11,23.259,BUF,,MIA,W 27-0,,,,,,,,
9,1987,1987-12-06,12,23.266,BUF,@,RAI,L 21-34,,,,,,,,
10,1987,1987-12-13,13,23.273,BUF,@,IND,W 27-3,,,,,,,,
11,1987,1987-12-27,15,23.287,BUF,@,PHI,L 7-17,,,,,,,,
12,1988,1988-09-04,1,24.173,BUF,,MIN,W 13-10,,,,,,,,
13,1988,1988-09-11,2,24.180,BUF,,MIA,W 9-6,,,,,,,,
14,1988,1988-09-18,3,24.187,BUF,@,NWE,W 16-14,,,,,,,,
15,1988,1988-09-25,4,24.194,PHO,,WAS,W 30-21,,,,,,,,
16,1988,1988-10-02,5,24.201,PHO,@,RAM,W 41-27,,,,,,,,
17,1988,1988-10-09,6,24.208,PHO,,PIT,W 31-14,,,,,,,,
18,1988,1988-10-16,7,24.215,PHO,@,WAS,L 17-33,,,,,,,,
19,1988,1988-10-23,8,24.222,PHO,,CLE,L 21-29,,,,,,,,
20,1988,1988-11-06,10,24.236,PHO,,SFO,W 24-23,,,,,,,,
21,1988,1988-11-20,12,24.250,PHO,@,HOU,L 20-38,,,,,,,,
22,1988,1988-11-27,13,24.257,PHO,@,PHI,L 21-31,0,0,,0,0.0,1,0,0
23,1988,1988-12-04,14,24.264,PHO,@,NYG,L 7-44,,,,,,,,
24,1988,1988-12-10,15,24.270,PHO,,PHI,L 17-23,,,,,,,,
25,1988,1988-12-18,16,24.278,PHO,,GNB,L 17-26,,,,,,,,
26,1989,1989-09-10,1,25.179,PHO,@,DET,W 16-13,,,,,,,,
27,1989,1989-09-17,2,25.186,PHO,@,SEA,W 34-24,,,,,,,,
28,1989,1989-09-24,3,25.193,PHO,@,NYG,L 7-35,,,,,,,,
