ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1980,1980-09-07,1,23.171,HOU,@,PIT,L 17-31,,,,,,,,,,,,,,,,,,
2,1980,1980-09-15,2,23.179,HOU,@,CLE,W 16-7,,,,,,,,,,,,,,,,,,
3,1980,1980-09-21,3,23.185,HOU,,BAL,W 21-16,1,8,8.00,0,0,0,,0,1,0,0.00,0,0,0,0,0,,0
4,1980,1980-09-28,4,23.192,HOU,@,CIN,W 13-10,,,,,,,,,,,,,,,,,,
5,1980,1980-10-05,5,23.199,HOU,,SEA,L 7-26,1,13,13.00,0,0,0,,0,0,0,,0,0,0,0,0,,0
6,1980,1980-10-12,6,23.206,HOU,@,KAN,L 20-21,,,,,,,,,,,,,,,,,,
7,1980,1980-10-19,7,23.213,HOU,,TAM,W 20-14,,,,,,,,,,,,,,,,,,
8,1980,1980-10-26,8,23.220,HOU,,CIN,W 23-3,,,,,,,,,,,,,,,,,,
9,1980,1980-11-02,9,23.227,HOU,@,DEN,W 20-16,,,,,,,,,,,,,,,,,,
10,1980,1980-11-10,10,23.235,HOU,,NWE,W 38-34,,,,,,,,,,,,,,,,,,
11,1980,1980-11-16,11,23.241,HOU,@,CHI,W 10-6,,,,,,,,,,,,,,,,,,
12,1980,1980-11-23,12,23.248,HOU,@,NYJ,L 28-31,,,,,,,,,,,,,,,,,,
13,1980,1980-11-30,13,23.255,HOU,,CLE,L 14-17,,,,,,,,,,,,,,,,,,
14,1980,1980-12-04,14,23.259,HOU,,PIT,W 6-0,,,,,,,,,,,,,,,,,,
15,1980,1980-12-14,15,23.269,HOU,@,GNB,W 22-3,,,,,,,,,,,,,,,,,,
16,1980,1980-12-21,16,23.276,HOU,,MIN,W 20-16,,,,,,,,,,,,,,,,,,
17,1981,1981-11-29,13,24.254,HOU,,ATL,L 27-31,2,37,18.50,0,0,0,,0,0,0,,0,0,0,0,0,,0
18,1981,1981-12-03,14,24.258,HOU,,CLE,W 17-13,0,0,,0,,,,,,,,,,,,,,
19,1981,1981-12-13,15,24.268,HOU,@,SFO,L 6-28,0,0,,0,,,,,,,,,,,,,,
20,1981,1981-12-20,16,24.275,HOU,,PIT,W 21-20,0,0,,0,,,,,,,,,,,,,,
