ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt
1,1998,1998-10-18,6,23.335,BUF,,JAX,W 17-16,,,,,,,,,,,0.0%,
2,1998,1998-11-01,8,23.349,BUF,,MIA,W 30-24,,,,,,,,,,,0.0%,
3,1998,1998-11-08,9,23.356,BUF,@,NYJ,L 12-34,,,,,,,,,,,0.0%,
4,1998,1998-11-15,10,23.363,BUF,,NWE,W 13-10,,,,,,,,,,,0.0%,
5,1998,1998-11-29,12,24.012,BUF,@,NWE,L 21-25,,,,,,,,,,,0.0%,
6,1998,1998-12-06,13,24.019,BUF,@,CIN,W 33-20,,,,,,,,,,,0.0%,
7,1998,1998-12-13,14,24.026,BUF,,OAK,W 44-21,,,,,,,,,,,0.0%,
8,1998,1998-12-19,15,24.032,BUF,,NYJ,L 10-17,,,,,,,,,,,0.0%,
9,1998,1998-12-27,16,24.040,BUF,@,NOR,W 45-33,,,,,,,,,,,0.0%,
10,1999,1999-09-12,1,24.299,BUF,@,IND,L 14-31,*,,,,,0,,,,,0.0%,
11,1999,1999-09-19,2,24.306,BUF,,NYJ,W 17-3,*,,,,,,,,,,0.0%,
12,1999,1999-09-26,3,24.313,BUF,,PHI,W 26-0,*,,,,,,,,,,0.0%,
13,1999,1999-10-04,4,24.321,BUF,@,MIA,W 23-18,*,,,,,0,,,,,0.0%,
14,1999,1999-10-10,5,24.327,BUF,,PIT,W 24-21,*,,,,,,,,,,0.0%,
15,1999,1999-10-17,6,24.334,BUF,,OAK,L 14-20,*,0,0,,0,1,1,-6,-6.00,0,100.0%,-6.00
16,1999,1999-10-24,7,24.341,BUF,@,SEA,L 16-26,*,1,-2,-2.00,0,0,0,0,,0,0.0%,
17,1999,1999-10-31,8,24.348,BUF,@,BAL,W 13-10,*,,,,,0,,,,,0.0%,
18,1999,1999-11-07,9,24.355,BUF,@,WAS,W 34-17,*,,,,,0,,,,,0.0%,
19,1999,1999-11-14,10,24.362,BUF,,MIA,W 23-3,*,,,,,,,,,,0.0%,
20,1999,1999-11-21,11,25.004,BUF,@,NYJ,L 7-17,*,,,,,,,,,,0.0%,
21,1999,1999-11-28,12,25.011,BUF,,NWE,W 17-7,*,,,,,,,,,,0.0%,
22,1999,1999-12-26,15,25.039,BUF,@,NWE,W 13-10,*,,,,,,,,,,0.0%,
23,1999,2000-01-02,16,25.046,BUF,,IND,W 31-6,*,,,,,,,,,,0.0%,
24,2000,2000-09-03,1,25.291,BUF,,TEN,W 16-13,*,,,,,,,,,,0.0%,
25,2000,2000-09-10,2,25.298,BUF,,GNB,W 27-18,,,,,,,,,,,0.0%,
26,2000,2000-09-17,3,25.305,BUF,@,NYJ,L 14-27,,,,,,0,,,,,0.0%,
27,2000,2000-10-01,4,25.319,BUF,,IND,L 16-18,*,,,,,0,,,,,0.0%,
28,2000,2000-10-08,5,25.326,BUF,@,MIA,L 13-22,,,,,,,,,,,0.0%,
29,2000,2000-10-15,6,25.333,BUF,,SDG,W 27-24,,,,,,,,,,,0.0%,
30,2000,2000-10-29,8,25.347,BUF,,NYJ,W 23-20,,,,,,,,,,,0.0%,
31,2000,2000-11-05,9,25.354,BUF,@,NWE,W 16-13,,,,,,,,,,,0.0%,
32,2000,2000-11-12,10,25.361,BUF,,CHI,W 20-3,,,,,,,,,,,0.0%,
33,2000,2000-11-19,11,26.002,BUF,@,KAN,W 21-17,,,,,,,,,,,0.0%,
34,2000,2000-11-26,12,26.009,BUF,@,TAM,L 17-31,,,,,,,,,,,0.0%,
35,2000,2000-12-03,13,26.016,BUF,,MIA,L 6-33,,,,,,,,,,,0.0%,
36,2000,2000-12-11,14,26.024,BUF,@,IND,L 20-44,*,,,,,,,,,,0.0%,
37,2000,2000-12-17,15,26.030,BUF,,NWE,L 10-13,*,,,,,,,,,,0.0%,
