ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,sacks,def_int,def_int_yds,def_int_td
1,1994,1994-09-25,4,24.168,NOR,@,SFO,L 13-24,,,,,,,,,,,,,
2,1994,1994-10-02,5,24.175,NOR,,NYG,W 27-22,,,,,,,,,,,,,
3,1994,1994-10-09,6,24.182,NOR,@,CHI,L 7-17,,,,,,,,,,,,,
4,1994,1994-10-16,7,24.189,NOR,,SDG,L 22-36,,,,,,,,,,,,,
5,1994,1994-10-23,8,24.196,NOR,,RAM,W 37-34,,,,,,,,,,,,,
6,1994,1994-11-06,9,24.210,NOR,@,MIN,L 20-21,,,,,,,,,,,,,
7,1994,1994-11-13,10,24.217,NOR,,ATL,W 33-32,,,,,,,,,,,,,
8,1994,1994-11-20,11,24.224,NOR,@,RAI,L 19-24,,,,,,,,,,,,,
9,1994,1994-11-28,12,24.232,NOR,,SFO,L 14-35,,,,,,,,,,,,,
10,1994,1994-12-04,13,24.238,NOR,@,RAM,W 31-15,,,,,,,,,,,,,
11,1994,1994-12-11,14,24.245,NOR,@,ATL,W 29-20,,,,,,,,,,,,,
12,1994,1994-12-19,15,24.253,NOR,,DAL,L 16-24,,,,,,,,,,,,,
13,1994,1994-12-24,16,24.258,NOR,@,DEN,W 30-28,,,,,,,,,,,,,
14,1995,1995-09-03,1,25.146,NOR,,SFO,L 22-24,,0,0,,0,,,,,,,,
15,1995,1995-09-24,4,25.167,NOR,@,NYG,L 29-45,,0,0,,0,,,,,,,,
16,1995,1995-10-01,5,25.174,NOR,,PHI,L 10-15,,0,0,,0,,,,,,,,
17,1995,1995-10-15,6,25.188,NOR,,MIA,W 33-30,,0,0,,0,,,,,,,,
18,1995,1995-10-22,7,25.195,NOR,@,CAR,L 3-20,,0,0,,0,,,,,,,,
19,1995,1995-10-29,8,25.202,NOR,@,SFO,W 11-7,,0,0,,0,,,,,,,,
20,1995,1995-11-05,9,25.209,NOR,,STL,W 19-10,,0,0,,0,,,,,,,,
21,1995,1995-11-12,10,25.216,NOR,,IND,W 17-14,,0,0,,0,,,,,,,,
22,1995,1995-11-19,11,25.223,NOR,@,MIN,L 24-43,,0,0,,0,,,,,,,,
23,1995,1995-11-26,12,25.230,NOR,,CAR,W 34-26,,0,0,,0,,,,,,,,
24,1995,1995-12-03,13,25.237,NOR,@,NWE,W 31-17,,0,0,,0,,,,,,,,
25,1995,1995-12-10,14,25.244,NOR,@,ATL,L 14-19,,1,0,0.00,0,0,0,,0,0.0,0,0,0
26,1995,1995-12-16,15,25.250,NOR,,GNB,L 23-34,,0,0,,0,,,,,,,,
27,1995,1995-12-24,16,25.258,NOR,@,NYJ,W 12-0,,0,0,,0,0,0,,0,0.0,1,0,0
28,1996,1996-09-01,1,26.144,NOR,@,SFO,L 11-27,,0,0,,0,,,,,,,,
29,1996,1996-09-08,2,26.151,NOR,,CAR,L 20-22,,0,0,,0,,,,,,,,
30,1996,1996-09-15,3,26.158,NOR,@,CIN,L 15-30,,0,0,,0,,,,,,,,
31,1996,1996-09-22,4,26.165,NOR,,ARI,L 14-28,,0,0,,0,,,,,,,,
32,1996,1996-10-06,6,26.179,NOR,,JAX,W 17-13,,1,18,18.00,0,0,0,,0,0.0,0,0,0
33,1996,1996-11-10,10,26.214,ARI,@,WAS,W 37-34,,,,,,,,,,,,,
34,1996,1996-11-17,11,26.221,ARI,,NYG,W 31-23,,,,,,,,,,,,,
35,1996,1996-12-08,14,26.242,ARI,,DAL,L 6-10,,,,,,,,,,,,,
36,1996,1996-12-15,15,26.249,ARI,,WAS,W 27-26,,,,,,,,,,,,,
37,1996,1996-12-22,16,26.256,ARI,@,PHI,L 19-29,,,,,,,,,,,,,
38,1997,1997-08-31,1,27.143,ARI,@,CIN,L 21-24,,,,,,,,,,,,,
39,1997,1997-09-07,2,27.150,ARI,,DAL,W 25-22,,,,,,,,,,,,,
40,1997,1997-09-14,3,27.157,ARI,@,WAS,L 13-19,,,,,,,,,,,,,
41,1997,1997-09-28,4,27.171,ARI,@,TAM,L 18-19,,,,,,,,,,,,,
42,1997,1997-10-05,5,27.178,ARI,,MIN,L 19-20,,0,0,,0,0,0,,0,0.0,1,15,0
43,1997,1997-10-12,6,27.185,ARI,,NYG,L 13-27,,,,,,,,,,,,,
