ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,all_td,scoring
1,1994,1994-09-04,1,23.313,ATL,@,DET,L 28-31,,3,3,13,4.33,0,100.0%,4.33,1,2,2.00,0,0,0,,0,0,0,,0,,,,0,0
2,1994,1994-09-11,2,23.320,ATL,,RAM,W 31-13,,5,4,46,11.50,0,80.0%,9.20,0,0,,0,0,1,0.00,0,0,1,0.0,0,0,0.00,-45.00,0,0
3,1994,1994-09-18,3,23.327,ATL,,KAN,L 10-30,,4,1,19,19.00,0,25.0%,4.75,1,2,2.00,0,0,0,,0,0,0,,0,,,,0,0
4,1994,1994-09-25,4,23.334,ATL,@,WAS,W 27-20,,6,4,64,16.00,1,66.7%,10.67,0,0,,0,0,0,,0,0,0,,0,,,,1,6
5,1994,1994-10-02,5,23.341,ATL,@,RAM,W 8-5,,7,6,86,14.33,0,85.7%,12.29,0,0,,0,0,0,,0,0,0,,0,,,,0,0
6,1994,1994-10-09,6,23.348,ATL,,TAM,W 34-13,,5,2,18,9.00,0,40.0%,3.60,0,0,,0,0,0,,0,0,0,,0,,,,0,0
7,1994,1994-10-16,7,23.355,ATL,,SFO,L 3-42,,13,9,91,10.11,0,69.2%,7.00,0,0,,0,0,0,,0,0,0,,0,,,,0,0
8,1994,1994-10-23,8,23.362,ATL,@,RAI,L 17-30,,3,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,,,,0,
9,1994,1994-11-06,9,24.011,ATL,,SDG,W 10-9,,3,2,17,8.50,0,66.7%,5.67,0,0,,0,0,0,,0,0,0,,0,,,,0,0
10,1994,1994-11-13,10,24.018,ATL,@,NOR,L 32-33,,8,3,31,10.33,0,37.5%,3.88,0,0,,0,0,0,,0,0,0,,0,,,,0,0
11,1994,1994-11-20,11,24.025,ATL,@,DEN,L 28-32,,10,3,42,14.00,1,30.0%,4.20,0,0,,0,0,0,,0,0,0,,0,,,,1,6
12,1994,1994-11-27,12,24.032,ATL,,PHI,W 28-21,,5,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0,,0,,,,0,
13,1994,1994-12-04,13,24.039,ATL,@,SFO,L 14-50,,6,1,11,11.00,1,16.7%,1.83,0,0,,0,0,0,,0,0,0,,0,,,,1,6
14,1994,1994-12-11,14,24.046,ATL,,NOR,L 20-29,,7,2,39,19.50,0,28.6%,5.57,0,0,,0,0,0,,0,0,0,,0,,,,0,0
15,1994,1994-12-18,15,24.053,ATL,@,GNB,L 17-21,,6,2,36,18.00,0,33.3%,6.00,0,0,,0,0,0,,0,0,0,,0,,,,0,0
16,1994,1994-12-24,16,24.059,ATL,,ARI,W 10-6,,5,4,136,34.00,1,80.0%,27.20,0,0,,0,0,0,,0,0,0,,0,,,,1,6
17,1995,1995-09-03,1,24.312,ATL,,CAR,W 23-20,,10,6,90,15.00,1,60.0%,9.00,0,0,,0,0,0,,0,0,0,,,,,,1,6
