ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td
1,1970,1970-09-20,1,24.230,BAL,@,SDG,W 16-14,,,,
2,1970,1970-09-28,2,24.238,BAL,,KAN,L 24-44,,,,
3,1970,1970-10-04,3,24.244,BAL,@,BOS,W 14-6,,,,
4,1970,1970-10-11,4,24.251,BAL,@,HOU,W 24-20,,,,
5,1970,1970-10-18,5,24.258,BAL,@,NYJ,W 29-22,,,,
6,1970,1970-11-29,11,24.300,BAL,,CHI,W 21-20,,,,
7,1971,1971-09-19,1,25.229,BAL,,NYJ,W 22-0,,,,
8,1971,1971-09-26,2,25.236,BAL,,CLE,L 13-14,,,,
9,1971,1971-10-03,3,25.243,BAL,@,NWE,W 23-3,,,,
10,1971,1971-10-10,4,25.250,BAL,@,BUF,W 43-0,,,,
11,1971,1971-10-17,5,25.257,BAL,@,NYG,W 31-7,,,,
12,1971,1971-10-25,6,25.265,BAL,@,MIN,L 3-10,,,,
13,1971,1971-10-31,7,25.271,BAL,,PIT,W 34-21,,,,
14,1971,1971-11-08,8,25.279,BAL,,RAM,W 24-17,,,,
15,1971,1971-11-14,9,25.285,BAL,@,NYJ,W 14-13,,,,
16,1971,1971-11-21,10,25.292,BAL,@,MIA,L 14-17,,,,
17,1971,1971-11-28,11,25.299,BAL,@,OAK,W 37-14,,,,
18,1971,1971-12-05,12,25.306,BAL,,BUF,W 24-0,,,,
19,1971,1971-12-11,13,25.312,BAL,,MIA,W 14-3,,,,
20,1971,1971-12-19,14,25.320,BAL,,NWE,L 17-21,,,,
21,1972,1972-09-17,1,26.228,BAL,,STL,L 3-10,,,,
22,1972,1972-09-24,2,26.235,BAL,,NYJ,L 34-44,,,,
23,1972,1972-10-01,3,26.242,BAL,@,BUF,W 17-0,,,,
24,1972,1972-10-08,4,26.249,BAL,,SDG,L 20-23,,,,
25,1972,1972-10-15,5,26.256,BAL,,DAL,L 0-21,,,,
26,1972,1972-10-22,6,26.263,BAL,@,NYJ,L 20-24,,,,
27,1972,1972-10-29,7,26.270,BAL,,MIA,L 0-23,,,,
28,1972,1972-11-06,8,26.278,BAL,@,NWE,W 24-17,,,,
29,1972,1972-11-12,9,26.284,BAL,@,SFO,L 21-24,,,,
30,1972,1972-11-19,10,26.291,BAL,@,CIN,W 20-19,,,,
31,1972,1972-11-26,11,26.298,BAL,,NWE,W 31-0,,,,
32,1972,1972-12-03,12,26.305,BAL,,BUF,W 35-7,,,,
33,1972,1972-12-10,13,26.312,BAL,@,KAN,L 10-24,,,,
