ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,2003,2003-11-23,11,23.277,DET,@,MIN,L 14-24,*,3,,,,,0.0%,,,,,,,,,,,
2,2003,2003-11-27,12,23.281,DET,,GNB,W 22-14,*,1,,,,,0.0%,,,,,,,,,,,
3,2003,2003-12-07,13,23.291,DET,,SDG,L 7-14,,6,1,16,16.00,0,16.7%,2.67,0,0,,0,0,0,,0,0,0
4,2003,2003-12-21,15,23.305,DET,@,CAR,L 14-20,,1,1,18,18.00,0,100.0%,18.00,0,0,,0,0,0,,0,0,0
5,2003,2003-12-28,16,23.312,DET,,STL,W 30-20,,1,1,19,19.00,0,100.0%,19.00,0,0,,0,0,0,,0,0,0
6,2004,2004-09-19,2,24.213,DET,,HOU,W 28-16,,,,,,,0.0%,,,,,,,,,,,
7,2004,2004-10-24,6,24.248,DET,@,NYG,W 28-13,,,,,,,0.0%,,,,,,,,,,,
8,2004,2004-10-31,7,24.255,DET,@,DAL,L 21-31,,5,1,50,50.00,1,20.0%,10.00,0,0,,0,0,0,,0,1,6
9,2004,2004-11-07,8,24.262,DET,,WAS,L 10-17,,1,,,,,0.0%,,,,,,,,,,,
10,2004,2004-11-14,9,24.269,DET,@,JAX,L 17-23,,2,,,,,0.0%,,,,,,,,,,,
11,2004,2004-11-21,10,24.276,DET,@,MIN,L 19-22,,0,,,,,0.0%,,,,,,,,,,,
12,2004,2005-01-02,16,24.318,DET,@,TEN,L 19-24,,2,2,18,9.00,0,100.0%,9.00,0,0,,0,0,0,,0,0,0
13,2006,2006-09-10,1,26.203,DEN,@,STL,L 10-18,,0,0,0,,0,0.0%,,2,38,19.00,0,0,0,,0,0,0
14,2006,2006-09-17,2,26.210,DEN,,KAN,W 9-6,,2,2,26,13.00,0,100.0%,13.00,0,0,,0,0,0,,0,0,0
15,2006,2006-09-24,3,26.217,DEN,@,NWE,W 17-7,,2,2,36,18.00,0,100.0%,18.00,0,0,,0,0,0,,0,0,0
16,2006,2006-10-09,4,26.232,DEN,,BAL,W 13-3,,4,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0
17,2006,2006-10-15,5,26.238,DEN,,OAK,W 13-3,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0
18,2006,2006-10-22,6,26.245,DEN,@,CLE,W 17-7,,4,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,0
19,2006,2006-10-29,7,26.252,DEN,,IND,L 31-34,,3,1,45,45.00,0,33.3%,15.00,0,0,,0,0,0,,0,0,0
20,2006,2006-11-05,8,26.259,DEN,@,PIT,W 31-20,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0
21,2006,2006-11-12,9,26.266,DEN,@,OAK,W 17-13,,3,1,15,15.00,0,33.3%,5.00,0,0,,0,2,57,28.50,0,0,0
22,2006,2006-11-19,10,26.273,DEN,,SDG,L 27-35,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0
23,2006,2006-11-23,11,26.277,DEN,@,KAN,L 10-19,,5,1,36,36.00,0,20.0%,7.20,0,0,,0,0,0,,0,0,0
24,2006,2006-12-03,12,26.287,DEN,,SEA,L 20-23,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0
25,2006,2006-12-10,13,26.294,DEN,@,SDG,L 20-48,,,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,0
26,2006,2006-12-17,14,26.301,DEN,@,ARI,W 37-20,,0,0,0,,0,0.0%,,0,0,,0,3,25,8.33,0,0,0
27,2006,2006-12-24,15,26.308,DEN,,CIN,W 24-23,,3,1,18,18.00,0,33.3%,6.00,0,0,,0,0,0,,0,0,0
28,2006,2006-12-31,16,26.315,DEN,,SFO,L 23-26,,1,1,11,11.00,0,100.0%,11.00,0,0,,0,1,4,4.00,0,0,0
