ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1978,1978-09-03,1,23.152,CIN,,KAN,L 23-24,1,18,18.00,0,0,0,,0,0,0,,0,4,29,7.25,0
2,1978,1978-09-10,2,23.159,CIN,@,CLE,L 10-13,0,0,,0,0,0,,0,2,30,15.00,0,0,0,,0
3,1978,1978-09-17,3,23.166,CIN,,PIT,L 3-28,1,19,19.00,0,0,0,,0,0,0,,0,0,0,,0
4,1978,1978-09-24,4,23.173,CIN,,NOR,L 18-20,0,0,,0,0,0,,0,0,0,,0,3,28,9.33,0
5,1978,1978-10-09,6,23.188,CIN,@,MIA,L 0-21,0,0,,0,0,0,,0,0,0,,0,2,17,8.50,0
6,1978,1978-10-15,7,23.194,CIN,,NWE,L 3-10,0,0,,0,1,-1,-1.00,0,0,0,,0,2,1,0.50,0
7,1978,1978-10-22,8,23.201,CIN,@,BUF,L 0-5,0,0,,0,0,0,,0,0,0,,0,5,17,3.40,0
8,1978,1978-10-29,9,23.208,CIN,,HOU,W 28-13,0,0,,0,0,0,,0,0,0,,0,4,12,3.00,0
9,1978,1978-11-13,11,23.223,CIN,,OAK,L 21-34,0,0,,0,0,0,,0,0,0,,0,4,10,2.50,0
10,1978,1978-11-19,12,23.229,CIN,@,PIT,L 6-7,1,13,13.00,0,0,0,,0,0,0,,0,1,-8,-8.00,0
11,1978,1978-11-26,13,23.236,CIN,@,HOU,L 10-17,,,,,,,,,,,,,,,,
12,1978,1978-12-03,14,23.243,CIN,,ATL,W 37-7,,,,,,,,,,,,,,,,
13,1978,1978-12-11,15,23.251,CIN,@,RAM,W 20-19,2,31,15.50,0,0,0,,0,0,0,,0,0,0,,0
14,1978,1978-12-17,16,23.257,CIN,,CLE,W 48-16,,,,,,,,,,,,,,,,
