ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1984,1984-09-02,1,24.023,PIT,,KAN,L 27-37,0,0,,0,0,0,,0
2,1984,1984-09-06,2,24.027,PIT,@,NYJ,W 23-17,0,0,,0,0,0,,0
3,1984,1984-09-16,3,24.037,PIT,,RAM,W 24-14,5,14,2.80,0,0,0,,0
4,1984,1984-09-23,4,24.044,PIT,@,CLE,L 10-20,0,0,,0,0,0,,0
5,1984,1984-10-01,5,24.052,PIT,,CIN,W 38-17,2,5,2.50,0,0,0,,0
6,1984,1984-10-07,6,24.058,PIT,,MIA,L 7-31,0,0,,0,0,0,,0
7,1984,1984-10-14,7,24.065,PIT,@,SFO,W 20-17,0,0,,0,0,0,,0
8,1984,1984-10-21,8,24.072,PIT,@,IND,L 16-17,0,0,,0,0,0,,0
9,1984,1984-10-28,9,24.079,PIT,,ATL,W 35-10,2,10,5.00,0,0,0,,0
10,1984,1984-11-04,10,24.086,PIT,,HOU,W 35-7,7,47,6.71,0,0,0,,0
11,1984,1984-11-11,11,24.093,PIT,@,CIN,L 20-22,2,13,6.50,0,0,0,,0
12,1984,1984-11-19,12,24.101,PIT,@,NOR,L 24-27,0,0,,0,0,0,,0
13,1984,1984-11-25,13,24.107,PIT,,SDG,W 52-24,0,0,,0,1,15,15.00,0
14,1984,1984-12-16,16,24.128,PIT,@,RAI,W 13-7,0,0,,0,0,0,,0
15,1985,1985-09-15,2,25.036,SDG,,SEA,L 35-49,,,,,,,,
16,1985,1985-09-22,3,25.043,SDG,@,CIN,W 44-41,,,,,,,,
17,1985,1985-09-29,4,25.050,SDG,,CLE,L 7-21,,,,,,,,
18,1985,1985-12-22,16,25.134,SDG,@,KAN,L 34-38,,,,,,,,
