ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2013,2013-09-08,1,22.285,STL,,ARI,W 27-24,,0,0,,0,0,0,0.0,1,0
2,2013,2013-09-15,2,22.292,STL,@,ATL,L 24-31,,,,,,,,,,
3,2013,2013-09-22,3,22.299,STL,@,DAL,L 7-31,,0,0,,0,0,0,0.0,1,0
4,2013,2013-09-26,4,22.303,STL,,SFO,L 11-35,,0,0,,0,0,0,0.0,1,0
5,2013,2013-10-06,5,22.313,STL,,JAX,W 34-20,,0,0,,0,0,0,0.0,1,0
6,2013,2013-10-13,6,22.320,STL,@,HOU,W 38-13,,0,0,,0,0,6,0.0,0,0
7,2013,2013-10-20,7,22.327,STL,@,CAR,L 15-30,,,,,,,,,,
8,2013,2013-10-28,8,22.335,STL,,SEA,L 9-14,,0,0,,0,0,0,0.0,1,0
9,2013,2013-11-03,9,22.341,STL,,TEN,L 21-28,,,,,,,,,,
10,2013,2013-11-10,10,22.348,STL,@,IND,W 38-8,,,,,,,,,,
11,2013,2013-11-24,11,22.362,STL,,CHI,W 42-21,,,,,,,,,,
12,2013,2013-12-08,13,23.011,STL,@,ARI,L 10-30,,,,,,,,,,
13,2013,2013-12-15,14,23.018,STL,,NOR,W 27-16,,,,,,,,,,
14,2013,2013-12-22,15,23.025,STL,,TAM,W 23-13,,,,,,,,,,
15,2013,2013-12-29,16,23.032,STL,@,SEA,L 9-27,,,,,,,,,,
16,2014,2014-09-07,1,23.284,STL,,MIN,L 6-34,,,,,,,,,,
17,2014,2014-09-14,2,23.291,STL,@,TAM,W 19-17,,,,,,,,,,
18,2014,2014-09-21,3,23.298,STL,,DAL,L 31-34,,,,,,,,,,
19,2014,2014-10-05,4,23.312,STL,@,PHI,L 28-34,,,,,,,,,,
20,2014,2014-10-13,5,23.320,STL,,SFO,L 17-31,,0,0,,0,0,0,0.0,0,1
21,2014,2014-10-19,6,23.326,STL,,SEA,W 28-26,,0,0,,0,0,0,0.0,1,0
22,2014,2014-10-26,7,23.333,STL,@,KAN,L 7-34,,,,,,,,,,
23,2014,2014-11-02,8,23.340,STL,@,SFO,W 13-10,,,,,,,,,,
24,2014,2014-11-23,11,23.361,STL,@,SDG,L 24-27,,,,,,,,,,
