ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
1,1986,1986-09-07,1,21.316,NWE,,IND,W 33-3,,,,,,,,,,
2,1986,1986-09-11,2,21.320,NWE,@,NYJ,W 20-6,,,,,,,,,,
3,1986,1986-09-21,3,21.330,NWE,,SEA,L 31-38,,,,,,,,,,
4,1986,1986-09-28,4,21.337,NWE,@,DEN,L 20-27,,,,,,,,,,
5,1986,1986-10-06,5,21.345,SDG,@,SEA,L 7-33,,,,,,,,,,
6,1986,1986-10-12,6,21.351,SDG,,DEN,L 14-31,,,,,,,,,,
7,1986,1986-10-19,7,21.358,SDG,@,KAN,L 41-42,,,,,,,,,,
8,1986,1986-10-26,8,22.000,SDG,@,PHI,L 7-23,,,,,,,,,,
9,1986,1986-11-02,9,22.007,SDG,,KAN,L 23-24,,,,,,,,,,
10,1986,1986-11-09,10,22.014,SDG,@,DEN,W 9-3,0,0,,0,0,0,0.0,1,0,0
11,1986,1986-11-16,11,22.021,SDG,,DAL,L 21-24,,,,,,,,,,
12,1986,1986-11-20,12,22.025,SDG,,RAI,L 31-37,,,,,,,,,,
13,1986,1986-11-30,13,22.035,SDG,@,IND,W 17-3,,,,,,,,,,
14,1986,1986-12-07,14,22.042,SDG,,HOU,W 27-0,0,0,,0,0,0,0.0,1,31,0
15,1986,1986-12-14,15,22.049,SDG,,SEA,L 24-34,,,,,,,,,,
16,1986,1986-12-21,16,22.056,SDG,@,CLE,L 17-47,,,,,,,,,,
17,1987,1987-09-13,1,22.322,SDG,@,KAN,L 13-20,,,,,,,,,,
18,1987,1987-09-20,2,22.329,SDG,,STL,W 28-24,,,,,,,,,,
19,1987,1987-10-25,6,22.364,SDG,,KAN,W 42-21,,,,,,,,,,
20,1987,1987-11-01,7,23.006,SDG,,CLE,W 27-24,0,0,,0,0,0,0.5,1,30,0
