ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring
1,1988,1988-09-04,1,23.181,RAI,,SDG,W 24-13,*,13,29,44.83,171,0,0,64.0,1,0,5.90,5.90,3,2,0.67,0,,1,21,21.00,0,,,0,0
2,1988,1988-09-11,2,23.188,RAI,@,HOU,L 35-38,*,10,24,41.67,129,3,1,81.4,4,0,5.38,6.00,3,0,0.00,0,,0,0,,0,,,0,0
3,1988,1988-09-18,3,23.195,RAI,,RAM,L 17-22,*,19,38,50.00,375,2,1,91.4,9,0,9.87,9.74,4,11,2.75,0,,0,0,,0,,,0,0
4,1988,1988-10-16,7,23.223,RAI,@,KAN,W 27-17,,4,7,57.14,70,1,0,131.0,0,0,10.00,12.86,3,-10,-3.33,0,,0,0,,0,,,0,0
5,1988,1988-10-23,8,23.230,RAI,@,NOR,L 6-20,,5,11,45.45,85,0,1,34.3,1,0,7.73,3.64,0,0,,0,,0,0,,0,,,0,0
6,1988,1988-10-30,9,23.237,RAI,,KAN,W 17-10,*,18,29,62.07,248,0,1,75.1,1,0,8.55,7.00,4,6,1.50,0,,0,0,,0,,,0,0
7,1988,1988-11-06,10,23.244,RAI,@,SDG,W 13-3,*,13,28,46.43,182,1,1,64.9,3,0,6.50,5.61,2,7,3.50,0,,0,0,,0,,,0,0
8,1988,1988-11-13,11,23.251,RAI,@,SFO,W 9-3,*,8,22,36.36,112,0,0,53.6,2,0,5.09,5.09,10,14,1.40,0,,0,0,,0,,,0,0
9,1988,1988-11-20,12,23.258,RAI,,ATL,L 6-12,*,11,31,35.48,182,0,1,42.7,3,0,5.87,4.42,1,5,5.00,0,,0,0,,0,,,0,0
10,1988,1988-11-28,13,23.266,RAI,@,SEA,L 27-35,*,4,19,21.05,89,1,1,42.2,2,0,4.68,3.37,0,0,,0,,0,0,,0,,,0,0
11,1989,1989-09-10,1,24.187,RAI,,SDG,W 40-14,,15,22,68.18,206,2,0,128.2,3,0,9.36,11.18,1,-1,-1.00,0,,0,0,,0,,,0,0
12,1989,1989-10-15,6,24.222,RAI,,KAN,W 20-14,,1,5,20.00,15,0,1,0.0,0,0,3.00,-6.00,1,-1,-1.00,0,,0,0,,0,,,0,0
13,1989,1989-10-22,7,24.229,RAI,@,PHI,L 7-10,,5,8,62.50,75,1,1,93.2,1,0,9.38,6.25,2,6,3.00,0,,0,0,,0,,,0,0
14,1989,1989-10-29,8,24.236,RAI,,WAS,W 37-24,*,11,22,50.00,154,2,1,84.3,0,0,7.00,6.77,1,6,6.00,0,,0,0,,0,,,0,0
15,1989,1989-11-19,11,24.257,RAI,@,HOU,L 7-23,*,10,25,40.00,149,1,3,34.0,2,0,5.96,1.36,2,1,0.50,0,,0,0,,0,,,0,0
16,1989,1989-11-26,12,24.264,RAI,,NWE,W 24-21,*,15,25,60.00,169,2,0,106.9,4,0,6.76,8.36,2,6,3.00,0,,0,0,,0,,,0,0
17,1989,1989-12-03,13,24.271,RAI,,DEN,W 16-13,*,9,23,39.13,200,1,0,85.4,2,0,8.70,9.57,2,5,2.50,0,,0,0,,0,,,0,0
18,1989,1989-12-10,14,24.278,RAI,,PHO,W 16-14,*,13,30,43.33,255,0,0,73.6,4,0,8.50,8.50,0,0,,0,,0,0,,0,,,0,0
