ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,2005,2005-10-02,4,23.138,NWE,,SDG,L 17-41,,2,4,50.00,15,0,1,19.8,0,0,3.75,-7.50,1,-1,-1.00,0,0,0,0,,0,0.0%,,,0,0,0.0,,,0,0,,0
2,2005,2005-12-11,13,23.208,NWE,@,BUF,W 35-7,,0,0,,0,0,0,,0,0,,,0,0,,0,,0,0,,0,0.0%,,,0,0,0.0,,,0,0,,0
3,2005,2006-01-01,16,23.229,NWE,,MIA,L 26-28,,11,20,55.00,168,2,0,116.2,1,1,8.40,10.40,5,13,2.60,0,0,0,0,,0,0.0%,,,0,0,0.0,,,0,0,,0
4,2006,2006-10-30,7,24.166,NWE,@,MIN,W 31-7,,0,0,,0,0,0,,0,,,,1,-1,-1.00,0,0,0,0,,0,0.0%,,,0,0,0.0,,,0,0,,0
5,2006,2006-11-19,10,24.186,NWE,@,GNB,W 35-0,,0,0,,0,0,0,,0,5,,,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,,,0,0,,0
6,2006,2006-12-10,13,24.207,NWE,@,MIA,L 0-21,,2,3,66.67,12,0,0,74.3,1,4,4.00,4.00,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,,,0,0,,0
7,2006,2006-12-17,14,24.214,NWE,,HOU,W 40-7,,3,4,75.00,20,0,0,85.4,0,0,5.00,5.00,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,,,0,0,,0
8,2006,2006-12-24,15,24.221,NWE,@,JAX,W 24-21,,0,0,,0,0,0,,0,,,,0,0,,0,,0,0,,0,0.0%,,,0,0,0.0,,,0,0,,0
9,2006,2006-12-31,16,24.228,NWE,@,TEN,W 40-23,,0,1,0.00,0,0,0,39.6,1,6,0.00,0.00,1,5,5.00,0,0,0,0,,0,0.0%,,,0,0,0.0,,,0,0,,0
10,2007,2007-09-09,1,25.115,NWE,@,NYJ,W 38-14,,0,0,,0,0,0,,0,,,,1,0,0.00,0,0,0,0,,0,0.0%,,,0,0,0.0,,,0,0,,0
11,2007,2007-09-23,3,25.129,NWE,,BUF,W 38-7,,0,0,,0,0,0,,0,,,,0,0,,0,,0,0,,0,0.0%,,,0,0,0.0,,,0,0,,0
12,2007,2007-10-01,4,25.137,NWE,@,CIN,W 34-13,,0,0,,0,0,0,,0,,,,2,-3,-1.50,0,0,0,0,,0,0.0%,,,0,0,0.0,,,0,0,,0
13,2007,2007-10-21,7,25.157,NWE,@,MIA,W 49-28,,0,2,0.00,0,0,1,0.0,0,0,0.00,-22.50,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,,,0,0,,0
14,2007,2007-10-28,8,25.164,NWE,,WAS,W 52-7,,2,3,66.67,28,0,0,96.5,0,0,9.33,9.33,1,15,15.00,1,0,0,0,,0,0.0%,,,1,6,0.0,,,0,0,,0
15,2007,2007-11-18,10,25.185,NWE,@,BUF,W 56-10,,2,2,100.00,10,0,0,87.5,0,0,5.00,5.00,0,0,,0,0,0,0,,0,0.0%,,,0,0,0.0,,,0,0,,0
16,2008,2008-09-07,1,26.113,NWE,,KAN,W 17-10,,13,18,72.22,152,1,0,116.0,2,16,8.44,9.56,4,13,3.25,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,,0
17,2008,2008-09-14,2,26.120,NWE,@,NYJ,W 19-10,*,16,23,69.57,165,0,0,89.9,4,9,7.17,7.17,1,7,7.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,,0
18,2008,2008-09-21,3,26.127,NWE,,MIA,L 13-38,*,19,31,61.29,131,1,1,68.1,4,17,4.23,3.42,2,4,2.00,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0,0,0,,0
