ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2011,2011-09-18,2,23.324,MIA,,HOU,L 13-23,,18,107,5.94,0,1,1,10,10.00,0,100.0%,10.00,,0,0,0.0,0,0
2,2011,2011-09-25,3,23.331,MIA,@,CLE,L 16-17,,23,95,4.13,0,3,3,27,9.00,1,100.0%,9.00,,1,6,0.0,1,0
3,2011,2011-10-17,5,23.353,MIA,@,NYJ,L 6-24,,15,47,3.13,0,1,1,12,12.00,0,100.0%,12.00,,0,0,0.0,0,0
4,2011,2011-10-23,6,23.359,MIA,,DEN,L 15-18,,19,53,2.79,0,5,2,0,0.00,0,40.0%,0.00,,0,0,0.0,0,0
5,2011,2011-11-06,8,24.008,MIA,@,KAN,W 31-3,,7,12,1.71,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
6,2011,2011-11-13,9,24.015,MIA,,WAS,W 20-9,*,17,42,2.47,0,0,0,0,,0,0.0%,,,0,0,0.0,0,1
7,2011,2011-11-20,10,24.022,MIA,,BUF,W 35-8,,15,50,3.33,0,1,0,0,,0,0.0%,0.00,,0,0,0.0,0,0
8,2011,2011-11-24,11,24.026,MIA,@,DAL,L 19-20,,6,25,4.17,0,1,1,2,2.00,0,100.0%,2.00,,0,0,0.0,0,0
9,2011,2011-12-04,12,24.036,MIA,,OAK,W 34-14,,13,73,5.62,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
10,2011,2011-12-11,13,24.043,MIA,,PHI,L 10-26,,7,4,0.57,0,2,2,9,4.50,0,100.0%,4.50,,0,0,0.0,0,0
11,2011,2011-12-18,14,24.050,MIA,@,BUF,W 30-23,,11,42,3.82,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
12,2011,2011-12-24,15,24.056,MIA,@,NWE,L 24-27,,2,3,1.50,0,0,0,0,,0,0.0%,,,0,0,0.0,0,0
