ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1995,1995-12-23,16,23.146,IND,,NWE,W 10-7,,,,,,,,,,,0.0%,,,,,,,
2,1996,1996-09-01,1,24.033,IND,,ARI,W 20-13,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,
3,1996,1996-09-15,3,24.047,IND,@,DAL,W 25-24,,3,28,9.33,0,0,0,0,,0,0.0%,,0,0,,0,0,0
4,1996,1996-09-23,4,24.055,IND,,MIA,W 10-6,,3,2,0.67,0,0,0,0,,0,0.0%,,0,0,,0,0,0
5,1996,1996-10-06,5,24.068,IND,@,BUF,L 13-16,,4,10,2.50,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0
6,1996,1996-10-13,6,24.075,IND,,BAL,W 26-21,,11,55,5.00,0,4,1,7,7.00,0,25.0%,1.75,0,0,,0,0,0
7,1996,1996-10-20,7,24.082,IND,,NWE,L 9-27,,6,16,2.67,0,7,4,28,7.00,0,57.1%,4.00,0,0,,0,0,0
8,1996,1996-10-27,8,24.089,IND,@,WAS,L 16-31,,0,0,,0,2,1,1,1.00,0,50.0%,0.50,0,0,,0,0,0
9,1996,1996-11-03,9,24.096,IND,,SDG,L 19-26,,3,3,1.00,0,5,3,31,10.33,0,60.0%,6.20,0,0,,0,0,0
10,1996,1996-11-10,10,24.103,IND,@,MIA,L 13-37,,0,0,,0,5,2,20,10.00,0,40.0%,4.00,0,0,,0,0,0
11,1996,1996-11-17,11,24.110,IND,,NYJ,W 34-29,,6,23,3.83,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0
12,1996,1996-11-24,12,24.117,IND,@,NWE,L 13-27,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,
13,1996,1996-12-01,13,24.124,IND,,BUF,W 13-10,,4,21,5.25,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0
