ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,2003,2003-12-28,16,25.005,DEN,@,GNB,L 3-31,,12,31,2.58,0,0,0,0,,0,0.0%,,0,0,,0,0,0
2,2004,2004-10-31,8,25.313,DEN,,ATL,L 28-41,,,,,,,,,,,0.0%,,,,,,,
3,2004,2004-11-07,9,25.320,DEN,,HOU,W 31-13,,,,,,,,,,,0.0%,,,,,,,
4,2004,2004-12-12,13,25.355,DEN,,MIA,W 20-17,,,,,,,,,,,0.0%,,,,,,,
5,2004,2004-12-25,15,26.002,DEN,@,TEN,W 37-16,,,,,,2,,,,,0.0%,,,,,,,
6,2004,2005-01-02,16,26.010,DEN,,IND,W 33-14,,4,32,8.00,0,0,0,0,,0,0.0%,,1,34,34.00,0,0,0
7,2005,2005-09-11,1,26.262,DEN,@,MIA,L 10-34,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0
8,2005,2005-09-18,2,26.269,DEN,,SDG,W 20-17,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0
9,2005,2005-09-26,3,26.277,DEN,,KAN,W 30-10,,0,0,,0,1,1,12,12.00,0,100.0%,12.00,0,0,,0,0,0
10,2005,2005-10-02,4,26.283,DEN,@,JAX,W 20-7,,0,0,,0,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0
11,2005,2005-10-09,5,26.290,DEN,,WAS,W 21-19,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0
12,2005,2005-10-16,6,26.297,DEN,,NWE,W 28-20,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0
13,2005,2005-10-23,7,26.304,DEN,@,NYG,L 23-24,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0
14,2005,2005-10-30,8,26.311,DEN,,PHI,W 49-21,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0
15,2005,2005-11-13,9,26.325,DEN,@,OAK,W 31-17,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0
16,2005,2005-11-20,10,26.332,DEN,,NYJ,W 27-0,,5,21,4.20,0,0,0,0,,0,0.0%,,0,0,,0,0,0
17,2005,2005-11-24,11,26.336,DEN,@,DAL,W 24-21,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0
18,2005,2005-12-04,12,26.346,DEN,@,KAN,L 27-31,,0,0,,0,0,0,0,,0,0.0%,,1,20,20.00,0,0,0
19,2005,2005-12-11,13,26.353,DEN,,BAL,W 12-10,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0
20,2005,2005-12-17,14,26.359,DEN,@,BUF,W 28-17,,0,0,,0,0,0,0,,0,0.0%,,1,8,8.00,0,0,0
21,2005,2005-12-24,15,27.001,DEN,,OAK,W 22-3,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0
22,2005,2005-12-31,16,27.008,DEN,@,SDG,W 23-7,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0
23,2006,2006-09-17,2,27.268,DEN,,KAN,W 9-6,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0
24,2006,2006-09-24,3,27.275,DEN,@,NWE,W 17-7,,0,0,,0,2,1,3,3.00,0,50.0%,1.50,0,0,,0,0,0
25,2006,2006-10-09,4,27.290,DEN,,BAL,W 13-3,,3,10,3.33,0,0,0,0,,0,0.0%,,0,0,,0,0,0
26,2006,2006-10-15,5,27.296,DEN,,OAK,W 13-3,,0,0,,0,3,2,4,2.00,0,66.7%,1.33,0,0,,0,0,0
27,2006,2006-10-22,6,27.303,DEN,@,CLE,W 17-7,*,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0
28,2006,2006-10-29,7,27.310,DEN,,IND,L 31-34,,2,39,19.50,0,1,1,3,3.00,0,100.0%,3.00,0,0,,0,0,0
29,2006,2006-11-05,8,27.317,DEN,@,PIT,W 31-20,,0,0,,0,1,1,7,7.00,0,100.0%,7.00,0,0,,0,0,0
30,2006,2006-11-12,9,27.324,DEN,@,OAK,W 17-13,,2,6,3.00,0,1,1,9,9.00,0,100.0%,9.00,0,0,,0,0,0
31,2006,2006-11-19,10,27.331,DEN,,SDG,L 27-35,,1,1,1.00,0,0,0,0,,0,0.0%,,2,56,28.00,0,0,0
32,2006,2006-11-23,11,27.335,DEN,@,KAN,L 10-19,,0,0,,0,1,1,7,7.00,0,100.0%,7.00,1,16,16.00,0,0,0
33,2006,2006-12-03,12,27.345,DEN,,SEA,L 20-23,,2,24,12.00,0,1,1,1,1.00,0,100.0%,1.00,1,23,23.00,0,0,0
34,2007,2007-09-09,1,28.260,DEN,@,BUF,W 15-14,*,3,7,2.33,0,0,0,0,,0,0.0%,,0,0,,0,0,0
35,2007,2007-09-16,2,28.267,DEN,,OAK,W 23-20,*,2,6,3.00,1,3,2,18,9.00,0,66.7%,6.00,0,0,,0,1,6
36,2007,2007-09-23,3,28.274,DEN,,JAX,L 14-23,*,1,12,12.00,0,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0
37,2007,2007-09-30,4,28.281,DEN,@,IND,L 20-38,*,0,0,,0,1,1,10,10.00,0,100.0%,10.00,0,0,,0,0,0
38,2007,2007-10-07,5,28.288,DEN,,SDG,L 3-41,,0,0,,0,,0,0,,0,0.0%,,0,0,,0,0,0
39,2007,2007-10-21,6,28.302,DEN,,PIT,W 31-28,,1,3,3.00,0,1,1,1,1.00,1,100.0%,1.00,0,0,,0,1,6
40,2007,2007-10-29,7,28.310,DEN,,GNB,L 13-19,,0,0,,0,1,1,4,4.00,0,100.0%,4.00,0,0,,0,0,0
41,2007,2007-11-04,8,28.316,DEN,@,DET,L 7-44,,0,0,,0,2,1,2,2.00,0,50.0%,1.00,0,0,,0,0,0
42,2007,2007-11-11,9,28.323,DEN,@,KAN,W 27-11,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0
43,2007,2007-11-19,10,28.331,DEN,,TEN,W 34-20,*,0,0,,0,2,2,2,1.00,0,100.0%,1.00,0,0,,0,0,0
44,2007,2007-11-25,11,28.337,DEN,@,CHI,L 34-37,*,7,28,4.00,1,1,1,4,4.00,0,100.0%,4.00,0,0,,0,1,6
45,2007,2007-12-02,12,28.344,DEN,@,OAK,L 20-34,*,1,0,0.00,0,3,3,4,1.33,0,100.0%,1.33,2,30,15.00,0,0,0
46,2007,2007-12-09,13,28.351,DEN,,KAN,W 41-7,*,1,3,3.00,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0
47,2007,2007-12-13,14,28.355,DEN,@,HOU,L 13-31,,0,0,,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0
48,2007,2007-12-24,15,29.001,DEN,@,SDG,L 3-23,,2,0,0.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0
49,2007,2007-12-30,16,29.007,DEN,,MIN,W 22-19,,0,0,,0,3,1,1,1.00,0,33.3%,0.33,0,0,,0,0,0
50,2008,2008-10-05,4,29.287,HOU,,IND,L 27-31,,,,,,,,,,,0.0%,,,,,,,
51,2008,2008-10-12,5,29.294,HOU,,MIA,W 29-28,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0
52,2008,2008-10-19,6,29.301,HOU,,DET,W 28-21,,,,,,,,,,,0.0%,,,,,,,
53,2008,2008-10-26,7,29.308,HOU,,CIN,W 35-6,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0
54,2008,2008-11-02,8,29.315,HOU,@,MIN,L 21-28,,,,,,,,,,,0.0%,,,,,,,
55,2008,2008-11-09,9,29.322,HOU,,BAL,L 13-41,,,,,,,,,,,0.0%,,,,,,,
56,2008,2008-11-16,10,29.329,HOU,@,IND,L 27-33,,,,,,,,,,,0.0%,,,,,,,
57,2008,2008-12-01,12,29.344,HOU,,JAX,W 30-17,,,,,,,,,,,0.0%,,,,,,,
58,2008,2008-12-07,13,29.350,HOU,@,GNB,W 24-21,,1,-3,-3.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0
59,2008,2008-12-14,14,29.357,HOU,,TEN,W 13-12,,1,0,0.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0
60,2008,2008-12-21,15,29.364,HOU,@,OAK,L 16-27,,0,0,,0,0,0,0,,0,0.0%,,1,7,7.00,0,0,0
61,2008,2008-12-28,16,30.005,HOU,,CHI,W 31-24,,0,0,,0,0,0,0,,0,0.0%,,0,0,,0,0,0
