ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,two_pt_md,all_td,scoring
1,2013,2013-09-15,2,23.345,KAN,,DAL,W 17-16,,,,,,,0.0%,,,,,,,,,,,,,,,,,,,
2,2014,2014-09-07,1,24.337,KAN,,TEN,L 10-26,,5,3,49,16.33,0,60.0%,9.80,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0
3,2014,2014-09-14,2,24.344,KAN,@,DEN,L 17-24,,6,4,81,20.25,0,66.7%,13.50,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0
4,2014,2014-09-21,3,24.351,KAN,@,MIA,W 34-15,*,4,3,36,12.00,1,75.0%,9.00,0,0,,0,0,0,,0,0,0,,0,0,,,,1,6
5,2014,2014-09-29,4,24.359,KAN,,NWE,W 41-14,*,9,8,93,11.63,1,88.9%,10.33,0,0,,0,0,0,,0,0,0,,0,0,,,,1,6
6,2014,2014-10-05,5,25.000,KAN,@,SFO,L 17-22,*,3,2,15,7.50,1,66.7%,5.00,0,0,,0,0,0,,0,0,0,,0,0,,,,1,6
7,2014,2014-10-19,6,25.014,KAN,@,SDG,W 23-20,,4,4,33,8.25,0,100.0%,8.25,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0
8,2014,2014-10-26,7,25.021,KAN,,STL,W 34-7,*,6,4,45,11.25,0,66.7%,7.50,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0
9,2014,2014-11-02,8,25.028,KAN,,NYJ,W 24-10,*,5,4,67,16.75,1,80.0%,13.40,0,0,,0,0,0,,0,0,0,,0,0,,,,1,6
10,2014,2014-11-09,9,25.035,KAN,@,BUF,W 17-13,,2,2,19,9.50,0,100.0%,9.50,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0
11,2014,2014-11-16,10,25.042,KAN,,SEA,W 24-20,*,5,3,37,12.33,0,60.0%,7.40,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0
12,2014,2014-11-20,11,25.046,KAN,@,OAK,L 20-24,*,5,4,67,16.75,0,80.0%,13.40,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0
13,2014,2014-11-30,12,25.056,KAN,,DEN,L 16-29,,3,3,36,12.00,0,100.0%,12.00,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0
14,2014,2014-12-07,13,25.063,KAN,@,ARI,L 14-17,*,9,7,110,15.71,0,77.8%,12.22,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0
15,2014,2014-12-14,14,25.070,KAN,,OAK,W 31-13,*,6,5,59,11.80,1,83.3%,9.83,0,0,,0,0,0,,0,0,0,,0,0,,,,1,6
16,2014,2014-12-21,15,25.077,KAN,@,PIT,L 12-20,*,7,4,31,7.75,0,57.1%,4.43,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0
17,2014,2014-12-28,16,25.084,KAN,,SDG,W 19-7,*,8,7,84,12.00,0,87.5%,10.50,0,0,,0,0,0,,0,0,0,,0,0,,,,0,6
18,2015,2015-09-13,1,25.343,KAN,@,HOU,W 27-20,*,6,6,106,17.67,2,100.0%,17.67,0,0,,0,0,0,,0,0,0,,0,0,,,,2,12
19,2015,2015-09-17,2,25.347,KAN,,DEN,L 24-31,*,5,4,58,14.50,0,80.0%,11.60,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0
20,2015,2015-09-28,3,25.358,KAN,@,GNB,L 28-38,*,10,6,80,13.33,0,60.0%,8.00,0,0,,0,0,0,,0,0,0,,0,0,,,1,0,2
21,2015,2015-10-04,4,25.364,KAN,@,CIN,L 21-36,*,7,5,49,9.80,0,71.4%,7.00,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0
22,2015,2015-10-11,5,26.006,KAN,,CHI,L 17-18,*,6,3,35,11.67,0,50.0%,5.83,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0
23,2015,2015-10-18,6,26.013,KAN,@,MIN,L 10-16,*,7,5,88,17.60,0,71.4%,12.57,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0
24,2015,2015-10-25,7,26.020,KAN,,PIT,W 23-13,*,6,5,73,14.60,0,83.3%,12.17,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0
25,2015,2015-11-01,8,26.027,KAN,,DET,W 45-10,*,8,6,49,8.17,1,75.0%,6.13,0,0,,0,0,0,,0,0,0,,0,0,,,,1,6
26,2015,2015-11-15,9,26.041,KAN,@,DEN,W 29-13,*,9,5,36,7.20,0,55.6%,4.00,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0
27,2015,2015-11-22,10,26.048,KAN,@,SDG,W 33-3,*,7,5,46,9.20,0,71.4%,6.57,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0
28,2015,2015-11-29,11,26.055,KAN,,BUF,W 30-22,*,7,4,69,17.25,1,57.1%,9.86,0,0,,0,0,0,,0,0,0,,0,0,,,,1,6
29,2015,2015-12-06,12,26.062,KAN,@,OAK,W 34-20,*,3,2,42,21.00,0,66.7%,14.00,0,0,,0,0,0,,0,0,0,,0,0,,,1,0,2
30,2015,2015-12-13,13,26.069,KAN,,SDG,W 10-3,*,5,3,18,6.00,0,60.0%,3.60,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0
31,2015,2015-12-20,14,26.076,KAN,@,BAL,W 34-14,*,7,6,73,12.17,0,85.7%,10.43,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0
32,2015,2015-12-27,15,26.083,KAN,,CLE,W 17-13,*,8,6,43,7.17,1,75.0%,5.38,0,0,,0,0,0,,0,0,0,,0,0,,,,1,6
33,2015,2016-01-03,16,26.090,KAN,,OAK,W 23-17,*,2,1,10,10.00,0,50.0%,5.00,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0
34,2016,2016-09-11,1,26.342,KAN,,SDG,W 33-27,*,7,6,74,12.33,0,85.7%,10.57,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0
35,2016,2016-09-18,2,26.349,KAN,@,HOU,L 12-19,*,7,5,34,6.80,0,71.4%,4.86,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0
36,2016,2016-09-25,3,26.356,KAN,,NYJ,W 24-3,*,7,6,89,14.83,1,85.7%,12.71,0,0,,0,0,0,,0,0,0,,0,0,,,,1,6
37,2016,2016-10-02,4,26.363,KAN,@,PIT,L 14-43,*,8,5,23,4.60,1,62.5%,2.88,0,0,,0,0,0,,0,0,0,,0,0,,,,1,6
38,2016,2016-10-16,5,27.011,KAN,@,OAK,W 26-10,*,3,3,32,10.67,0,100.0%,10.67,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0
39,2016,2016-10-23,6,27.018,KAN,,NOR,W 27-21,*,3,2,24,12.00,0,66.7%,8.00,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0
40,2016,2016-10-30,7,27.025,KAN,@,IND,W 30-14,*,10,7,101,14.43,1,70.0%,10.10,0,0,,0,0,0,,0,0,0,,0,0,,,,1,6
41,2016,2016-11-06,8,27.032,KAN,,JAX,W 19-14,*,7,5,58,11.60,0,71.4%,8.29,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0
42,2016,2016-11-13,9,27.039,KAN,@,CAR,W 20-17,*,6,3,31,10.33,0,50.0%,5.17,0,0,,0,0,0,,0,0,0,,0,0,,,1,0,2
43,2016,2016-11-20,10,27.046,KAN,,TAM,L 17-19,*,9,7,108,15.43,0,77.8%,12.00,1,-5,-5.00,0,0,0,,0,0,0,,0,0,,,,0,0
44,2016,2016-11-27,11,27.053,KAN,@,DEN,W 30-27,*,15,8,101,12.63,0,53.3%,6.73,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0
45,2016,2016-12-04,12,27.060,KAN,@,ATL,W 29-28,*,8,8,140,17.50,0,100.0%,17.50,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0
46,2016,2016-12-08,13,27.064,KAN,,OAK,W 21-13,*,8,5,101,20.20,0,62.5%,12.63,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0
47,2016,2016-12-18,14,27.074,KAN,,TEN,L 17-19,*,5,3,41,13.67,0,60.0%,8.20,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0
48,2016,2016-12-25,15,27.081,KAN,,DEN,W 33-10,*,12,11,160,14.55,1,91.7%,13.33,0,0,,0,0,0,,0,0,0,,0,0,,,,1,6
49,2016,2017-01-01,16,27.088,KAN,@,SDG,W 37-27,,2,1,8,8.00,0,50.0%,4.00,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0
50,2017,2017-09-07,1,27.337,KAN,@,NWE,W 42-27,*,7,5,40,8.00,0,71.4%,5.71,1,4,4.00,0,0,0,,0,0,0,,0,0,,,,0,0
51,2017,2017-09-17,2,27.347,KAN,,PHI,W 27-20,*,10,8,103,12.88,1,80.0%,10.30,0,0,,0,0,0,,0,0,0,,0,0,,,,1,6
52,2017,2017-09-24,3,27.354,KAN,@,LAC,W 24-10,*,1,1,1,1.00,0,100.0%,1.00,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0
53,2017,2017-10-02,4,27.362,KAN,,WAS,W 29-20,*,8,7,111,15.86,1,87.5%,13.88,1,3,3.00,0,0,0,,0,0,0,,0,0,,,,1,6
54,2017,2017-10-08,5,28.003,KAN,@,HOU,W 42-34,*,11,8,98,12.25,0,72.7%,8.91,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0
55,2017,2017-10-15,6,28.010,KAN,,PIT,L 13-19,*,7,4,37,9.25,0,57.1%,5.29,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0
56,2017,2017-10-19,7,28.014,KAN,@,OAK,L 30-31,*,5,4,33,8.25,1,80.0%,6.60,0,0,,0,0,0,,0,0,0,,0,0,,,,1,6
57,2017,2017-10-30,8,28.025,KAN,,DEN,W 29-19,*,10,7,133,19.00,1,70.0%,13.30,0,0,,0,0,0,,0,0,0,,0,0,,,,1,6
58,2017,2017-11-05,9,28.031,KAN,@,DAL,L 17-28,*,9,7,73,10.43,1,77.8%,8.11,0,0,,0,0,0,,0,0,0,,0,0,,,,1,6
59,2017,2017-11-19,10,28.045,KAN,@,NYG,L 9-12,*,14,8,109,13.63,0,57.1%,7.79,0,0,,0,0,1,0.00,0,0,1,0.0,0,0,0.00,-45.00,,0,0
60,2017,2017-11-26,11,28.052,KAN,,BUF,L 10-16,*,4,3,39,13.00,0,75.0%,9.75,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0
61,2017,2017-12-03,12,28.059,KAN,@,NYJ,L 31-38,*,8,4,94,23.50,2,50.0%,11.75,0,0,,0,0,0,,0,0,0,,0,0,,,,2,12
62,2017,2017-12-10,13,28.066,KAN,,OAK,W 26-15,*,13,7,74,10.57,0,53.8%,5.69,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0
63,2017,2017-12-16,14,28.072,KAN,,LAC,W 30-13,*,7,6,46,7.67,0,85.7%,6.57,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0
64,2017,2017-12-24,15,28.080,KAN,,MIA,W 29-13,*,8,4,47,11.75,1,50.0%,5.88,0,0,,0,0,0,,0,0,0,,0,0,,,,1,6
65,2018,2018-09-09,1,28.339,KAN,@,LAC,W 38-28,*,6,1,6,6.00,0,16.7%,1.00,0,0,,0,0,0,,0,0,0,,0,0,,,,0,0
