ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1962,1962-09-16,1,21.363,DAL,,WAS,T 35-35,0,0,,0,1,11,11.00,0
2,1962,1962-10-07,4,22.019,DAL,@,CLE,L 10-19,0,0,,0,1,15,15.00,0
3,1962,1962-10-21,6,22.033,DAL,@,PIT,W 42-27,0,0,,0,2,40,20.00,0
4,1962,1962-11-11,9,22.054,DAL,,NYG,L 10-41,2,31,15.50,0,0,0,,0
5,1970,1970-09-20,1,30.002,HOU,@,PIT,W 19-7,,,,,,,,
6,1970,1970-09-27,2,30.009,HOU,,MIA,L 10-20,,,,,,,,
7,1970,1970-10-04,3,30.016,HOU,@,CIN,W 20-13,,,,,,,,
8,1970,1970-10-11,4,30.023,HOU,,BAL,L 20-24,0,0,,0,1,0,0.00,0
9,1970,1970-10-18,5,30.030,HOU,,PIT,L 3-7,,,,,,,,
10,1970,1970-10-25,6,30.037,HOU,@,SDG,T 31-31,,,,,,,,
11,1970,1970-11-01,7,30.044,HOU,@,STL,L 0-44,,,,,,,,
12,1970,1970-11-08,8,30.051,HOU,@,KAN,L 9-24,,,,,,,,
13,1970,1970-11-15,9,30.058,HOU,,SFO,L 20-30,,,,,,,,
14,1970,1970-11-22,10,30.065,HOU,@,CLE,L 14-28,,,,,,,,
15,1970,1970-11-29,11,30.072,HOU,,DEN,W 31-21,0,0,,0,1,0,0.00,0
16,1970,1970-12-07,12,30.080,HOU,,CLE,L 10-21,,,,,,,,
17,1970,1970-12-13,13,30.086,HOU,,CIN,L 20-30,,,,,,,,
18,1970,1970-12-20,14,30.093,HOU,@,DAL,L 10-52,,,,,,,,
