ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,sacks,tackles_solo,tackles_assists,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,2001,2001-09-09,1,23.115,SFO,,ATL,W 16-13,,0,0,,0,0.0,,,5,154,30.80,0
2,2001,2001-09-23,2,23.129,SFO,,STL,L 26-30,,0,0,,0,0.0,,,5,180,36.00,0
3,2001,2001-10-01,3,23.137,SFO,@,NYJ,W 19-17,,0,0,,0,0.0,,,2,78,39.00,0
4,2001,2001-10-07,4,23.143,SFO,,CAR,W 24-14,,0,0,,0,0.0,,,6,229,38.17,0
5,2001,2001-10-14,5,23.150,SFO,@,ATL,W 37-31,,0,0,,0,0.0,,,4,197,49.25,0
6,2001,2001-10-28,6,23.164,SFO,@,CHI,L 31-37,,1,0,0.00,0,0.0,,,3,129,43.00,0
7,2001,2001-11-04,7,23.171,SFO,,DET,W 21-13,,0,0,,0,0.0,,,1,26,26.00,0
8,2001,2001-11-11,8,23.178,SFO,,NOR,W 28-27,,0,0,,0,0.0,,,6,260,43.33,0
9,2001,2001-11-18,9,23.185,SFO,@,CAR,W 25-22,,0,0,,0,0.0,,,7,344,49.14,0
10,2001,2001-11-25,10,23.192,SFO,@,IND,W 40-21,,0,0,,0,0.0,,,6,255,42.50,0
11,2001,2001-12-02,11,23.199,SFO,,BUF,W 35-0,,0,0,,0,0.0,,,1,47,47.00,0
12,2001,2001-12-09,12,23.206,SFO,@,STL,L 14-27,,0,0,,0,0.0,,,5,199,39.80,0
13,2001,2001-12-16,13,23.213,SFO,,MIA,W 21-0,,0,0,,0,0.0,,,4,154,38.50,0
14,2001,2001-12-22,14,23.219,SFO,,PHI,W 13-3,,0,0,,0,0.0,,,6,246,41.00,0
15,2001,2001-12-30,15,23.227,SFO,@,DAL,L 21-27,,0,0,,0,0.0,,,4,154,38.50,0
16,2001,2002-01-06,16,23.234,SFO,@,NOR,W 38-0,,0,0,,0,0.0,,,4,161,40.25,0
17,2002,2002-09-05,1,24.111,SFO,@,NYG,W 16-13,,0,0,,0,0.0,,,3,133,44.33,0
18,2002,2002-09-15,2,24.121,SFO,,DEN,L 14-24,,0,0,,0,0.0,,,5,195,39.00,0
19,2002,2002-09-22,3,24.128,SFO,,WAS,W 20-10,,0,0,,0,0.0,,,7,282,40.29,0
20,2002,2002-10-06,4,24.142,SFO,,STL,W 37-13,,0,0,,0,0.0,,,2,88,44.00,0
