ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1966,1966-10-02,3,22.180,DAL,@,ATL,W 47-14,4,13,3.25,0,0,0,,0,0,0,,0,0,0
2,1966,1966-10-09,4,22.187,DAL,,PHI,W 56-7,6,89,14.83,1,0,0,,0,0,0,,0,1,6
3,1966,1966-10-30,7,22.208,DAL,,PIT,W 52-21,7,16,2.29,0,0,0,,0,0,0,,0,0,0
4,1967,1967-09-17,1,23.165,DAL,@,CLE,W 21-14,6,16,2.67,0,0,0,,0,0,0,,0,0,0
5,1967,1967-09-24,2,23.172,DAL,,NYG,W 38-24,5,18,3.60,0,0,0,,0,0,0,,0,0,0
6,1967,1967-10-01,3,23.179,DAL,,RAM,L 13-35,0,0,,0,0,0,,0,1,19,19.00,0,0,0
7,1967,1967-10-15,5,23.193,DAL,,NOR,W 14-10,1,-4,-4.00,0,0,0,,0,1,35,35.00,0,0,0
8,1967,1967-10-22,6,23.200,DAL,@,PIT,W 24-21,0,0,,0,0,0,,0,1,6,6.00,0,0,0
9,1967,1967-10-29,7,23.207,DAL,@,PHI,L 14-21,0,0,,0,0,0,,0,1,15,15.00,0,0,0
10,1967,1967-11-23,11,23.232,DAL,,STL,W 46-21,0,0,,0,0,0,,0,1,21,21.00,0,0,0
11,1967,1967-12-03,12,23.242,DAL,@,BAL,L 17-23,1,6,6.00,0,1,14,14.00,0,0,0,,0,0,0
12,1967,1967-12-10,13,23.249,DAL,,PHI,W 38-17,4,23,5.75,0,2,22,11.00,0,0,0,,0,0,0
13,1968,1968-09-15,1,24.163,DAL,,DET,W 59-13,2,-1,-0.50,0,0,0,,0,0,0,,0,0,0
14,1968,1968-10-06,4,24.184,DAL,@,STL,W 27-10,16,89,5.56,1,0,0,,0,0,0,,0,1,6
15,1968,1968-10-13,5,24.191,DAL,,PHI,W 34-14,12,44,3.67,0,1,-1,-1.00,0,0,0,,0,0,0
16,1968,1968-10-20,6,24.198,DAL,@,MIN,W 20-7,7,-11,-1.57,0,4,67,16.75,0,0,0,,0,0,0
17,1968,1968-11-03,8,24.212,DAL,@,NOR,W 17-3,2,16,8.00,0,0,0,,0,0,0,,0,0,0
18,1968,1968-11-17,10,24.226,DAL,@,WAS,W 44-24,8,16,2.00,0,3,28,9.33,0,0,0,,0,0,0
19,1968,1968-11-24,11,24.233,DAL,@,CHI,W 34-3,3,7,2.33,0,1,-7,-7.00,0,0,0,,0,0,0
20,1968,1968-12-08,13,24.247,DAL,,PIT,W 28-7,2,-17,-8.50,0,0,0,,0,0,0,,0,0,0
21,1968,1968-12-15,14,24.254,DAL,@,NYG,W 28-10,12,36,3.00,0,1,18,18.00,0,0,0,,0,0,0
22,1969,1969-09-21,1,25.169,DAL,,STL,W 24-3,2,-1,-0.50,0,0,0,,0,1,2,2.00,0,0,0
23,1969,1969-09-28,2,25.176,DAL,@,NOR,W 21-17,6,21,3.50,0,1,49,49.00,1,1,19,19.00,0,1,6
24,1969,1969-10-05,3,25.183,DAL,@,PHI,W 38-7,8,21,2.63,0,2,11,5.50,0,0,0,,0,0,0
25,1969,1969-10-12,4,25.190,DAL,@,ATL,W 24-17,4,19,4.75,1,2,40,20.00,0,0,0,,0,1,6
26,1969,1969-10-19,5,25.197,DAL,,PHI,W 49-14,7,46,6.57,0,1,2,2.00,0,0,0,,0,0,0
27,1969,1969-10-27,6,25.205,DAL,,NYG,W 25-3,2,11,5.50,0,0,0,,0,0,0,,0,0,0
28,1969,1969-11-02,7,25.211,DAL,@,CLE,L 10-42,1,5,5.00,0,0,0,,0,0,0,,0,0,0
29,1969,1969-11-27,11,25.236,DAL,,SFO,T 24-24,2,4,2.00,0,0,0,,0,1,26,26.00,0,0,0
30,1969,1969-12-07,12,25.246,DAL,@,PIT,W 10-7,10,28,2.80,0,2,22,11.00,0,0,0,,0,0,0
31,1970,1970-09-27,2,26.175,NYG,@,DAL,L 10-28,,,,,,,,,,,,,,
32,1970,1970-10-04,3,26.182,NYG,@,NOR,L 10-14,0,0,,0,0,0,,0,2,49,24.50,0,0,0
33,1970,1970-10-11,4,26.189,NYG,,PHI,W 30-23,,,,,,,,,,,,,,
34,1970,1970-10-18,5,26.196,NYG,@,BOS,W 16-0,0,0,,0,0,0,,0,1,47,47.00,0,0,0
35,1970,1970-10-25,6,26.203,NYG,,STL,W 35-17,2,6,3.00,0,1,6,6.00,0,1,21,21.00,0,0,0
36,1970,1970-11-01,7,26.210,NYG,@,NYJ,W 22-10,0,0,,0,0,0,,0,2,30,15.00,0,0,0
37,1970,1970-11-08,8,26.217,NYG,,DAL,W 23-20,2,7,3.50,0,1,2,2.00,0,3,70,23.33,0,0,0
38,1970,1970-11-15,9,26.224,NYG,,WAS,W 35-33,0,0,,0,0,0,,0,1,22,22.00,0,0,0
39,1970,1970-11-23,10,26.232,NYG,@,PHI,L 20-23,0,0,,0,0,0,,0,2,41,20.50,0,0,0
40,1970,1970-11-29,11,26.238,NYG,@,WAS,W 27-24,0,0,,0,0,0,,0,3,55,18.33,0,0,0
41,1970,1970-12-06,12,26.245,NYG,,BUF,W 20-6,0,0,,0,0,0,,0,1,62,62.00,0,0,0
42,1970,1970-12-13,13,26.252,NYG,@,STL,W 34-17,,,,,,,,,,,,,,
43,1970,1970-12-20,14,26.259,NYG,,RAM,L 3-31,0,0,,0,0,0,,0,5,147,29.40,0,0,0
