ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring
1,1960,1960-10-09,3,24.222,SFO,@,DET,W 14-10,0,0,,0,,,,,3,0.0,0,0
2,1962,1962-12-02,12,26.276,PHI,@,WAS,W 37-14,0,0,,0,,,,1,2,50.0,0,3
3,1962,1962-12-09,13,26.283,PHI,,PIT,L 17-26,0,0,,0,,,,1,2,50.0,0,3
4,1967,1967-09-09,1,31.192,HOU,,KAN,L 20-25,0,0,,0,2,2,100.0,,,,0,2
5,1967,1967-09-17,2,31.200,HOU,@,BUF,W 20-3,0,0,,0,2,2,100.0,2,2,100.0,0,8
6,1967,1967-09-24,3,31.207,HOU,@,SDG,L 3-13,0,0,,0,,,,1,2,50.0,0,3
7,1967,1967-10-01,4,31.214,HOU,,DEN,W 10-6,0,0,,0,1,1,100.0,1,3,33.3,0,4
8,1967,1967-10-15,5,31.228,HOU,@,NYJ,T 28-28,0,0,,0,4,4,100.0,,2,0.0,0,4
9,1967,1967-10-22,6,31.235,HOU,@,KAN,W 24-19,0,0,,0,3,3,100.0,1,1,100.0,0,6
10,1967,1967-10-29,7,31.242,HOU,,BUF,W 10-3,0,0,,0,1,1,100.0,1,1,100.0,0,4
11,1967,1967-11-05,8,31.249,HOU,@,BOS,L 7-18,0,0,,0,1,1,100.0,,,,0,1
12,1967,1967-11-12,9,31.256,HOU,@,DEN,W 20-18,0,0,,0,2,2,100.0,2,5,40.0,0,8
13,1967,1967-11-26,10,31.270,HOU,,BOS,W 27-6,0,0,,0,3,3,100.0,2,3,66.7,0,9
14,1967,1967-12-03,11,31.277,HOU,,MIA,W 17-14,0,0,,0,2,2,100.0,1,3,33.3,0,5
15,1967,1967-12-10,12,31.284,HOU,,OAK,L 7-19,0,0,,0,1,1,100.0,,1,0.0,0,1
16,1967,1967-12-16,13,31.290,HOU,,SDG,W 24-17,0,0,,0,3,3,100.0,1,1,100.0,0,6
17,1967,1967-12-23,14,31.297,HOU,@,MIA,W 41-10,0,0,,0,5,5,100.0,2,4,50.0,0,11
18,1968,1968-09-09,1,32.192,HOU,,KAN,L 21-26,0,0,,0,3,3,100.0,,1,0.0,0,3
19,1968,1968-09-14,2,32.197,HOU,@,MIA,W 24-10,0,0,,0,3,3,100.0,1,3,33.3,0,6
20,1968,1968-09-21,3,32.204,HOU,@,SDG,L 14-30,0,0,,0,2,2,100.0,,1,0.0,0,2
21,1968,1968-09-29,4,32.212,HOU,,OAK,L 15-24,1,-8,-8.00,0,1,1,100.0,,1,0.0,0,1
22,1968,1968-10-06,5,32.219,HOU,,MIA,L 7-24,0,0,,0,1,1,100.0,,2,0.0,0,1
23,1968,1968-10-13,6,32.226,HOU,@,BOS,W 16-0,0,0,,0,1,1,100.0,3,5,60.0,0,10
24,1968,1968-10-20,7,32.233,HOU,,NYJ,L 14-20,,,,,,,,,,,,
25,1968,1968-10-27,8,32.240,HOU,@,BUF,W 30-7,,,,,,,,,,,,
26,1968,1968-11-03,9,32.247,HOU,@,CIN,W 27-17,,,,,,,,,,,,
27,1968,1968-11-10,10,32.254,HOU,@,NYJ,L 7-26,,,,,,,,,,,,
28,1968,1968-11-17,11,32.261,HOU,,DEN,W 38-17,,,,,,,,,,,,
29,1968,1968-11-28,12,32.272,HOU,@,KAN,L 10-24,,,,,,,,,,,,
30,1968,1968-12-07,13,32.281,HOU,,BUF,W 35-6,,,,,,,,,,,,
31,1968,1968-12-15,14,32.289,HOU,,BOS,W 45-17,,,,,,,,,,,,
