ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,sacks,def_int,def_int_yds,def_int_td
1,1986,1986-09-07,1,24.110,CIN,@,KAN,L 14-24,,,,,,,,
2,1986,1986-09-14,2,24.117,CIN,,BUF,W 36-33,,,,,,,,
3,1986,1986-09-18,3,24.121,CIN,@,CLE,W 30-13,,,,,,,,
4,1986,1986-09-28,4,24.131,CIN,,CHI,L 7-44,,,,,,,,
5,1986,1986-10-05,5,24.138,CIN,@,GNB,W 34-28,0,0,,0,0.0,1,19,0
6,1986,1986-10-13,6,24.146,CIN,,PIT,W 24-22,,,,,,,,
7,1986,1986-10-19,7,24.152,CIN,,HOU,W 31-28,,,,,,,,
8,1986,1986-10-26,8,24.159,CIN,@,PIT,L 9-30,,,,,,,,
9,1986,1986-11-02,9,24.166,CIN,@,DET,W 24-17,,,,,,,,
10,1986,1986-11-09,10,24.173,CIN,@,HOU,L 28-32,,,,,,,,
11,1986,1986-11-16,11,24.180,CIN,,SEA,W 34-7,,,,,,,,
12,1986,1986-11-23,12,24.187,CIN,,MIN,W 24-20,,,,,,,,
13,1986,1986-11-30,13,24.194,CIN,@,DEN,L 28-34,,,,,,,,
14,1986,1986-12-07,14,24.201,CIN,@,NWE,W 31-7,,,,,,,,
15,1986,1986-12-14,15,24.208,CIN,,CLE,L 3-34,,,,,,,,
16,1986,1986-12-21,16,24.215,CIN,,NYJ,W 52-21,0,0,,0,1.0,0,0,0
17,1987,1987-09-13,1,25.116,CIN,@,IND,W 23-21,1,34,34.00,0,0.0,0,0,0
18,1987,1987-09-20,2,25.123,CIN,,SFO,L 26-27,0,0,,0,,,,
19,1987,1987-10-25,6,25.158,CIN,@,PIT,L 20-23,0,0,,0,,,,
20,1987,1987-11-01,7,25.165,CIN,,HOU,L 29-31,4,72,18.00,0,0.0,0,0,0
21,1987,1987-11-08,8,25.172,CIN,,MIA,L 14-20,1,12,12.00,0,0.0,0,0,0
22,1987,1987-11-15,9,25.179,CIN,@,ATL,W 16-10,1,22,22.00,0,0.0,0,0,0
23,1987,1987-11-22,10,25.186,CIN,,PIT,L 16-30,0,0,,0,,,,
24,1987,1987-11-29,11,25.193,CIN,@,NYJ,L 20-27,2,48,24.00,0,0.0,1,0,0
25,1987,1987-12-06,12,25.200,CIN,,KAN,W 30-27,1,18,18.00,0,1.0,0,0,0
26,1987,1987-12-13,13,25.207,CIN,@,CLE,L 24-38,5,88,17.60,0,1.0,0,0,0
27,1987,1987-12-20,14,25.214,CIN,,NOR,L 24-41,5,90,18.00,0,0.0,0,0,0
28,1987,1987-12-27,15,25.221,CIN,@,HOU,L 17-21,1,22,22.00,0,0.0,0,0,0
29,1988,1988-09-04,1,26.107,CIN,,PHO,W 21-14,0,0,,0,,,,
