ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,all_td,scoring
1,1951,1951-10-01,1,22.339,NYG,@,PIT,T 13-13,0,0,,0,5,42,8.40,0,0,0,,0,0,,,,,,,0,
2,1951,1951-10-14,3,22.352,NYG,,CRD,W 28-17,0,0,,0,0,0,,1,0,0,,0,0,,,,,,,1,
3,1951,1951-10-21,4,22.359,NYG,,PHI,W 26-24,1,8,8.00,0,2,2,1.00,0,0,0,,0,0,,,,,,,0,
4,1952,1952-09-28,1,23.337,NYG,@,DTX,W 24-6,0,0,,0,1,52,52.00,1,0,0,,0,0,,,,,,,1,
5,1952,1952-10-04,2,23.343,NYG,@,PHI,W 31-7,1,24,24.00,0,6,19,3.17,0,0,0,,0,0,,,,,,,0,
6,1952,1952-10-12,3,23.351,NYG,@,CLE,W 17-9,0,0,,0,9,62,6.89,0,0,0,,0,0,,,,,,,0,
7,1952,1952-10-19,4,23.358,NYG,,CRD,L 23-24,2,34,17.00,1,7,1,0.14,0,0,0,,0,0,,,,,,,1,
8,1952,1952-10-26,5,23.365,NYG,,PHI,L 10-14,0,0,,0,7,12,1.71,0,0,0,,0,0,,,,,,,0,
9,1952,1952-11-02,6,24.006,NYG,@,CRD,W 28-6,0,0,,0,12,31,2.58,0,0,0,,0,0,,,,,,,0,
10,1952,1952-11-09,7,24.013,NYG,,SFO,W 23-14,2,14,7.00,0,14,75,5.36,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,
11,1952,1952-11-16,8,24.020,NYG,,GNB,L 3-17,1,12,12.00,0,13,47,3.62,0,0,0,,0,0,,,,,,,0,
12,1952,1952-11-23,9,24.027,NYG,@,WAS,W 14-10,3,35,11.67,0,8,30,3.75,1,0,0,,0,0,,,,,,,1,
13,1952,1952-11-30,10,24.034,NYG,@,PIT,L 7-63,2,11,5.50,0,0,0,,0,0,0,,0,0,,,,,,,0,
14,1952,1952-12-07,11,24.041,NYG,,WAS,L 17-27,0,0,,0,13,61,4.69,0,1,2,50.00,72,1,0,135.4,0,0,36.00,46.00,0,
15,1952,1952-12-14,12,24.048,NYG,,CLE,W 37-34,7,73,10.43,1,13,31,2.38,0,1,1,100.00,41,0,0,118.7,0,0,41.00,41.00,1,
16,1953,1953-09-27,1,24.335,NYG,@,RAM,L 7-21,4,31,7.75,0,8,39,4.88,0,0,0,,0,0,,,,,,,0,
17,1953,1953-10-03,2,24.341,NYG,@,PIT,L 14-24,0,0,,0,3,4,1.33,0,0,0,,0,0,,,,,,,0,
18,1953,1953-10-25,5,24.363,NYG,,CLE,L 0-7,3,38,12.67,0,1,-1,-1.00,0,0,0,,0,0,,,,,,,0,
19,1953,1953-11-01,6,25.005,NYG,@,CRD,W 23-20,3,112,37.33,2,5,38,7.60,0,0,0,,0,0,,,,,,,2,
20,1953,1953-11-08,7,25.012,NYG,@,PHI,L 7-30,1,1,1.00,0,10,38,3.80,0,0,4,0.00,0,0,1,0.0,0,0,0.00,-11.25,0,
21,1953,1953-11-15,8,25.019,NYG,,PIT,L 10-14,3,31,10.33,0,13,28,2.15,0,2,4,50.00,45,0,0,90.6,0,0,11.25,11.25,0,
22,1953,1953-11-22,9,25.026,NYG,,WAS,L 21-24,8,126,15.75,1,13,47,3.62,0,0,0,,0,0,,,,,,,1,
23,1953,1953-11-29,10,25.033,NYG,,PHI,W 37-28,4,101,25.25,2,10,20,2.00,1,0,0,,0,0,,,,,,,3,
24,1954,1954-10-02,2,25.340,NYG,@,BAL,L 14-20,4,36,9.00,0,1,5,5.00,0,0,0,,0,0,,,,,,,0,
25,1954,1954-10-10,3,25.348,NYG,@,WAS,W 51-21,5,86,17.20,0,3,17,5.67,0,0,0,,0,0,,,,,,,0,
26,1954,1954-10-17,4,25.355,NYG,,CRD,W 31-17,0,0,,0,4,7,1.75,0,1,2,50.00,18,1,0,120.8,0,0,9.00,19.00,0,
27,1954,1954-10-24,5,25.362,NYG,,WAS,W 24-7,3,43,14.33,0,5,12,2.40,0,1,1,100.00,18,0,0,118.7,0,0,18.00,18.00,0,
28,1954,1954-10-31,6,26.004,NYG,@,CLE,L 14-24,0,0,,0,4,5,1.25,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,
29,1954,1954-11-07,7,26.011,NYG,@,PIT,W 30-6,3,45,15.00,1,4,4,1.00,0,0,0,,0,0,,,,,,,1,
30,1954,1954-11-14,8,26.018,NYG,,PHI,W 27-14,2,44,22.00,0,5,12,2.40,0,0,0,,0,0,,,,,,,0,
31,1954,1954-11-21,9,26.025,NYG,,RAM,L 16-17,2,14,7.00,0,0,0,,0,0,0,,0,0,,,,,,,0,
32,1954,1954-11-28,10,26.032,NYG,,CLE,L 7-16,2,14,7.00,0,4,-3,-0.75,0,0,1,0.00,0,0,1,0.0,0,0,0.00,-45.00,0,
33,1954,1954-12-05,11,26.039,NYG,,PIT,W 24-3,5,147,29.40,1,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,1,
34,1954,1954-12-12,12,26.046,NYG,@,PHI,L 14-29,3,122,40.67,0,0,0,,0,0,0,,0,0,,,,,,,0,
35,1955,1955-09-24,1,26.332,NYG,@,PHI,L 17-27,3,23,7.67,0,0,0,,0,0,0,,0,0,,,,,,,0,
36,1955,1955-10-02,2,26.340,NYG,@,CRD,L 17-28,3,43,14.33,0,0,0,,0,0,1,0.00,0,0,0,39.6,0,0,0.00,0.00,0,
37,1955,1955-10-09,3,26.347,NYG,@,PIT,L 23-30,3,114,38.00,2,0,0,,0,0,0,,0,0,,,,,,,2,
38,1955,1955-10-23,5,26.361,NYG,,PIT,L 17-19,5,72,14.40,1,0,0,,0,0,0,,0,0,,,,,,,1,
