ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2013,2013-09-08,1,23.000,OAK,@,IND,L 17-21,,3,2,26,13.00,0,66.7%,8.67,0,0,,0,0,0,0.0,1,0
2,2013,2013-09-15,2,23.007,OAK,,JAX,W 19-9,,3,3,32,10.67,0,100.0%,10.67,0,0,,0,0,0,0.0,0,0
3,2013,2013-09-23,3,23.015,OAK,@,DEN,L 21-37,,3,2,21,10.50,0,66.7%,7.00,0,0,,0,0,0,0.0,0,0
4,2013,2013-09-29,4,23.021,OAK,,WAS,L 14-24,,6,2,44,22.00,1,33.3%,7.33,0,0,,0,1,6,0.0,0,0
5,2013,2013-10-06,5,23.028,OAK,,SDG,W 27-17,*,3,1,5,5.00,0,33.3%,1.67,0,0,,0,0,0,0.0,0,0
6,2013,2013-10-13,6,23.035,OAK,@,KAN,L 7-24,,3,2,10,5.00,0,66.7%,3.33,0,0,,0,0,0,0.0,0,0
7,2013,2013-10-27,7,23.049,OAK,,PIT,W 21-18,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0
8,2013,2013-11-03,8,23.056,OAK,,PHI,L 20-49,,5,4,36,9.00,0,80.0%,7.20,0,0,,0,0,0,0.0,0,0
9,2013,2013-11-10,9,23.063,OAK,@,NYG,L 20-24,*,2,2,22,11.00,0,100.0%,11.00,0,0,,0,0,0,0.0,0,0
10,2013,2013-11-17,10,23.070,OAK,@,HOU,W 28-23,,6,5,54,10.80,1,83.3%,9.00,0,0,,0,1,6,0.0,0,1
11,2013,2013-11-24,11,23.077,OAK,,TEN,L 19-23,,2,1,10,10.00,0,50.0%,5.00,0,0,,0,0,0,0.0,0,0
12,2013,2013-11-28,12,23.081,OAK,@,DAL,L 24-31,*,3,2,30,15.00,0,66.7%,10.00,1,3,3.00,0,0,0,0.0,0,0
13,2013,2013-12-08,13,23.091,OAK,@,NYJ,L 27-37,,8,5,21,4.20,1,62.5%,2.63,0,0,,0,1,6,0.0,0,0
14,2013,2013-12-15,14,23.098,OAK,,KAN,L 31-56,,5,3,30,10.00,1,60.0%,6.00,0,0,,0,1,6,0.0,1,0
15,2013,2013-12-22,15,23.105,OAK,@,SDG,L 13-26,,3,2,43,21.50,0,66.7%,14.33,0,0,,0,0,0,0.0,0,0
16,2013,2013-12-29,16,23.112,OAK,,DEN,L 14-34,,4,2,23,11.50,0,50.0%,5.75,0,0,,0,0,0,0.0,0,0
17,2014,2014-09-07,1,23.364,OAK,@,NYJ,L 14-19,*,4,3,31,10.33,0,75.0%,7.75,0,0,,0,0,0,0.0,0,0
18,2014,2014-09-14,2,24.006,OAK,,HOU,L 14-30,*,7,5,31,6.20,0,71.4%,4.43,0,0,,0,0,0,0.0,0,0
19,2014,2014-09-21,3,24.013,OAK,@,NWE,L 9-16,*,4,2,11,5.50,0,50.0%,2.75,0,0,,0,0,0,0.0,0,0
20,2014,2014-09-28,4,24.020,OAK,,MIA,L 14-38,*,4,2,10,5.00,0,50.0%,2.50,0,0,,0,0,0,0.0,0,0
21,2014,2014-10-12,5,24.034,OAK,,SDG,L 28-31,*,3,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0
22,2014,2014-10-19,6,24.041,OAK,,ARI,L 13-24,*,1,1,18,18.00,0,100.0%,18.00,0,0,,0,0,0,0.0,0,0
23,2014,2014-10-26,7,24.048,OAK,@,CLE,L 13-23,,9,7,83,11.86,0,77.8%,9.22,0,0,,0,0,0,0.0,1,0
24,2014,2014-11-02,8,24.055,OAK,@,SEA,L 24-30,,11,8,38,4.75,2,72.7%,3.45,0,0,,0,2,12,0.0,0,0
25,2014,2014-11-09,9,24.062,OAK,,DEN,L 17-41,,8,6,64,10.67,1,75.0%,8.00,0,0,,0,1,6,0.0,1,0
26,2014,2014-11-16,10,24.069,OAK,@,SDG,L 6-13,,5,3,40,13.33,0,60.0%,8.00,0,0,,0,0,0,0.0,0,0
27,2014,2014-11-20,11,24.073,OAK,,KAN,W 24-20,,4,1,8,8.00,0,25.0%,2.00,0,0,,0,0,0,0.0,0,0
28,2014,2014-11-30,12,24.083,OAK,@,STL,L 0-52,*,8,3,21,7.00,0,37.5%,2.63,0,0,,0,0,0,0.0,0,0
29,2014,2014-12-07,13,24.090,OAK,,SFO,W 24-13,*,7,7,109,15.57,1,100.0%,15.57,0,0,,0,1,6,0.0,0,0
30,2014,2014-12-14,14,24.097,OAK,@,KAN,L 13-31,*,12,7,39,5.57,0,58.3%,3.25,0,0,,0,0,0,0.0,0,0
31,2014,2014-12-21,15,24.104,OAK,,BUF,W 26-24,,4,1,5,5.00,0,25.0%,1.25,0,0,,0,0,0,0.0,0,0
32,2014,2014-12-28,16,24.111,OAK,@,DEN,L 14-47,*,8,2,26,13.00,0,25.0%,3.25,0,0,,0,0,0,0.0,0,0
33,2015,2015-09-13,1,25.005,OAK,,CIN,L 13-33,,2,1,4,4.00,0,50.0%,2.00,0,0,,0,0,0,0.0,0,0
34,2015,2015-09-20,2,25.012,OAK,,BAL,W 37-33,,5,3,15,5.00,0,60.0%,3.00,0,0,,0,0,0,0.0,0,0
35,2015,2015-09-27,3,25.019,OAK,@,CLE,W 27-20,,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,0.0,0,0
36,2015,2015-10-04,4,25.026,OAK,@,CHI,L 20-22,,3,2,12,6.00,0,66.7%,4.00,0,0,,0,0,0,0.0,0,0
37,2015,2015-10-11,5,25.033,OAK,,DEN,L 10-16,,3,3,33,11.00,0,100.0%,11.00,0,0,,0,0,0,0.0,0,0
38,2015,2015-10-25,6,25.047,OAK,@,SDG,W 37-29,,3,2,11,5.50,0,66.7%,3.67,0,0,,0,0,0,0.0,0,0
39,2015,2015-11-01,7,25.054,OAK,,NYJ,W 34-20,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
40,2015,2015-11-08,8,25.061,OAK,@,PIT,L 35-38,,3,2,16,8.00,0,66.7%,5.33,0,0,,0,0,0,0.0,0,0
41,2015,2015-11-15,9,25.068,OAK,,MIN,L 14-30,,7,6,46,7.67,0,85.7%,6.57,0,0,,0,0,0,0.0,0,0
42,2015,2015-11-22,10,25.075,OAK,@,DET,L 13-18,,2,1,21,21.00,0,50.0%,10.50,0,0,,0,0,0,0.0,0,0
43,2015,2015-11-29,11,25.082,OAK,@,TEN,W 24-21,,2,2,28,14.00,0,100.0%,14.00,0,0,,0,0,0,0.0,0,0
44,2015,2015-12-06,12,25.089,OAK,,KAN,L 20-34,,3,2,13,6.50,0,66.7%,4.33,0,0,,0,0,0,0.0,0,0
45,2015,2015-12-13,13,25.096,OAK,@,DEN,W 15-12,,4,3,49,16.33,1,75.0%,12.25,0,0,,0,1,6,0.0,0,0
46,2015,2015-12-20,14,25.103,OAK,,GNB,L 20-30,,6,3,20,6.67,0,50.0%,3.33,0,0,,0,0,0,0.0,0,0
47,2015,2015-12-24,15,25.107,OAK,,SDG,W 23-20,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
48,2015,2016-01-03,16,25.117,OAK,@,KAN,L 17-23,,2,2,12,6.00,0,100.0%,6.00,0,0,,0,0,0,0.0,0,0
49,2016,2016-10-02,4,26.024,OAK,@,BAL,W 28-27,,1,1,1,1.00,0,100.0%,1.00,0,0,,0,0,0,0.0,0,0
50,2016,2016-10-09,5,26.031,OAK,,SDG,W 34-31,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0
