ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,def_int,def_int_yds,def_int_td
1,1985,1985-09-08,1,21.298,TAM,@,CHI,L 28-38,,,,,,,,0,0,,0,0,0,,0,,,,,,
2,1985,1985-09-15,2,21.305,TAM,,MIN,L 16-31,,,,,,,,0,0,,0,0,0,,0,,,,,,
3,1985,1985-09-22,3,21.312,TAM,@,NOR,L 13-20,,,,,,,,0,0,,0,0,0,,0,,,,,,
4,1985,1985-09-29,4,21.319,TAM,@,DET,L 9-30,,,,,,,,0,0,,0,0,0,,0,,,,,,
5,1985,1985-10-06,5,21.326,TAM,,CHI,L 19-27,,,,,,,,0,0,,0,0,0,,0,,,,,,
6,1985,1985-10-13,6,21.333,TAM,,RAM,L 27-31,,,,,,,,0,0,,0,0,0,,0,,,,,,
7,1985,1985-10-20,7,21.340,TAM,@,MIA,L 38-41,,,,,,,,0,0,,0,0,0,,0,,,,,,
8,1985,1985-10-27,8,21.347,TAM,,NWE,L 14-32,,0,0,,0,,,0,0,,0,1,5,5.00,0,0,0,0.0,0,0,0
9,1985,1985-11-03,9,21.354,TAM,@,NYG,L 20-22,,0,0,,0,,,1,14,14.00,0,1,9,9.00,0,0,0,0.0,0,0,0
10,1985,1985-11-10,10,21.361,TAM,,STL,W 16-0,,0,0,,0,,,1,22,22.00,0,1,3,3.00,0,0,0,0.0,0,0,0
11,1985,1985-11-17,11,22.003,TAM,@,NYJ,L 28-62,,0,0,,0,,,4,47,11.75,0,1,5,5.00,0,0,0,0.0,0,0,0
12,1985,1985-11-24,12,22.010,TAM,,DET,W 19-16,,0,0,,0,,,2,23,11.50,0,6,51,8.50,0,0,0,0.0,0,0,0
13,1985,1985-12-01,13,22.017,TAM,@,GNB,L 0-21,,0,0,,0,,,1,11,11.00,0,0,0,,0,0,0,0.0,0,0,0
14,1985,1985-12-08,14,22.024,TAM,@,MIN,L 7-26,,,,,,,,0,0,,0,0,0,,0,,,,,,
15,1985,1985-12-15,15,22.031,TAM,,IND,L 23-31,,0,0,,0,,,0,0,,0,1,8,8.00,0,0,0,0.0,0,0,0
16,1985,1985-12-22,16,22.038,TAM,,GNB,L 17-20,,0,0,,0,,,1,14,14.00,0,2,24,12.00,0,0,0,0.0,0,0,0
17,1987,1987-10-04,3,23.324,IND,@,BUF,W 47-6,,0,0,,0,,,0,0,,0,0,0,,0,0,0,1.0,1,15,0
18,1987,1987-10-11,4,23.331,IND,,NYJ,W 6-0,,0,0,,0,,,0,0,,0,0,0,,0,0,0,0.0,1,0,0
19,1987,1987-10-18,5,23.338,IND,@,PIT,L 7-21,,,,,,,,0,0,,0,,,,,,,,,,
20,1987,1987-10-25,6,23.345,IND,,NWE,W 30-16,,0,0,,0,,,0,0,,0,0,0,,0,0,0,0.0,1,38,0
21,1987,1987-11-01,7,23.352,IND,@,NYJ,W 19-14,,,,,,,,0,0,,0,,,,,,,,,,
22,1987,1987-11-08,8,23.359,IND,,SDG,L 13-16,,0,0,,0,,,1,15,15.00,0,0,0,,0,0,0,0.0,1,0,0
23,1987,1987-11-15,9,24.001,IND,@,MIA,W 40-21,,,,,,,,0,0,,0,,,,,,,,,,
24,1987,1987-11-22,10,24.008,IND,@,NWE,L 0-24,,0,0,,0,,,1,22,22.00,0,0,0,,0,0,0,0.0,0,0,0
