ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1998,1998-09-06,1,25.094,PHI,,SEA,L 0-38,1,0,0.00,0,0,0,0,,0,0.0%,,1,18,18.00,0
2,1998,1998-09-13,2,25.101,PHI,@,ATL,L 12-17,1,1,1.00,0,0,0,0,,0,0.0%,,0,0,,0
3,1998,1998-09-20,3,25.108,PHI,@,ARI,L 3-17,,,,,,,,,,0.0%,,,,,
4,1998,1998-09-27,4,25.115,PHI,,KAN,L 21-24,,,,,,,,,,0.0%,,,,,
5,1998,1998-10-04,5,25.122,PHI,@,DEN,L 16-41,1,3,3.00,0,1,1,33,33.00,0,100.0%,33.00,3,50,16.67,0
6,1998,1998-11-02,8,25.151,PHI,,DAL,L 0-34,,,,,,,,,,0.0%,,,,,
7,1998,1998-11-08,9,25.157,PHI,,DET,W 10-9,,,,,,,,,,0.0%,,,,,
8,1998,1998-11-15,10,25.164,PHI,@,WAS,L 3-28,,,,,,,,,,0.0%,,,,,
9,1998,1998-11-22,11,25.171,PHI,@,NYG,L 0-20,,,,,,,,,,0.0%,,,,,
10,1998,1998-11-29,12,25.178,PHI,@,GNB,L 16-24,1,1,1.00,0,0,0,0,,0,0.0%,,0,0,,0
11,1998,1998-12-03,13,25.182,PHI,,STL,W 17-14,,,,,,,,,,0.0%,,,,,
12,1998,1998-12-13,14,25.192,PHI,,ARI,L 17-20,0,0,,0,0,0,0,,0,0.0%,,1,28,28.00,0
13,1998,1998-12-20,15,25.199,PHI,@,DAL,L 9-13,3,40,13.33,0,0,0,0,,0,0.0%,,1,17,17.00,0
14,1998,1998-12-27,16,25.206,PHI,,NYG,L 10-20,5,10,2.00,0,1,1,2,2.00,0,100.0%,2.00,2,37,18.50,0
