ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2011,2011-09-11,1,22.122,NYJ,,DAL,W 27-24,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,0,0
2,2011,2011-09-18,2,22.129,NYJ,,JAX,W 32-3,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,0,0
3,2011,2011-09-25,3,22.136,NYJ,@,OAK,L 24-34,,,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,1,0,0,0
4,2011,2011-10-02,4,22.143,NYJ,@,BAL,L 17-34,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,0,0
5,2011,2011-10-09,5,22.150,NYJ,@,NWE,L 21-30,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,0,0
6,2011,2011-10-17,6,22.158,NYJ,,MIA,W 24-6,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,0,0
7,2011,2011-10-23,7,22.164,NYJ,,SDG,W 27-21,,,,,,,0.0%,,,,,,,,,,,,,
8,2011,2011-11-06,8,22.178,NYJ,@,BUF,W 27-11,,,,,,,0.0%,,,,,,,,,,,,,
9,2011,2011-11-13,9,22.185,NYJ,,NWE,L 16-37,,,,,,,0.0%,,,,,,,,,,,,,
10,2011,2011-11-17,10,22.189,NYJ,@,DEN,L 13-17,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,0,0
11,2011,2011-11-27,11,22.199,NYJ,,BUF,W 28-24,,0,,,,,0.0%,,,,,,,,,,,,,
12,2011,2011-12-04,12,22.206,NYJ,@,WAS,W 34-19,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,0,0
13,2011,2011-12-11,13,22.213,NYJ,,KAN,W 37-10,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,1,2,0,0,0
14,2011,2011-12-18,14,22.220,NYJ,@,PHI,L 19-45,,,,,,,0.0%,,,,,,,,,,,,,
15,2011,2011-12-24,15,22.226,NYJ,,NYG,L 14-29,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,1,0,0,0
16,2011,2012-01-01,16,22.234,NYJ,@,MIA,L 17-19,,,,,,,0.0%,,,,,,,,,,,,,
17,2012,2012-09-09,1,23.120,NYJ,,BUF,W 48-28,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,0,0
18,2012,2012-09-16,2,23.127,NYJ,@,PIT,L 10-27,,,,,,,0.0%,,,,,,,,,,,,,
19,2012,2012-09-23,3,23.134,NYJ,@,MIA,W 23-20,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,0,0
20,2012,2012-09-30,4,23.141,NYJ,,SFO,L 0-34,,0,0,0,,0,0.0%,,0,0,,0,0,0,0.0,0,0,0,0,0
21,2012,2012-10-08,5,23.149,NYJ,,HOU,L 17-23,,,,,,,0.0%,,,,,,,,,,,,,
