ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1974,1974-09-22,2,23.256,STL,@,WAS,W 17-10,,,,,,,,,,,,,,
2,1974,1974-11-25,11,23.320,PIT,@,NOR,W 28-7,1,6,6.00,0,0,0,,0,0,0,,0,0,0
3,1974,1974-12-01,12,23.326,PIT,,HOU,L 10-13,0,0,,0,0,0,,0,2,43,21.50,0,0,0
4,1974,1974-12-08,13,23.333,PIT,@,NWE,W 21-17,0,0,,0,0,0,,0,1,2,2.00,0,0,0
5,1974,1974-12-14,14,23.339,PIT,,CIN,W 27-3,5,24,4.80,1,1,2,2.00,0,1,27,27.00,0,1,6
6,1975,1975-09-21,1,24.255,PIT,@,SDG,W 37-0,9,45,5.00,0,1,4,4.00,0,0,0,,0,0,0
7,1975,1975-09-28,2,24.262,PIT,,BUF,L 21-30,,,,,,,,,,,,,,
8,1975,1975-10-05,3,24.269,PIT,@,CLE,W 42-6,4,14,3.50,1,0,0,,0,0,0,,0,1,6
9,1975,1975-10-12,4,24.276,PIT,,DEN,W 20-9,,,,,,,,,,,,,,
10,1975,1975-10-19,5,24.283,PIT,,CHI,W 34-3,5,11,2.20,1,0,0,,0,0,0,,0,1,6
11,1975,1975-10-26,6,24.290,PIT,@,GNB,W 16-13,,,,,,,,,,,,,,
12,1975,1975-11-02,7,24.297,PIT,@,CIN,W 30-24,2,7,3.50,0,0,0,,0,0,0,,0,0,0
13,1975,1975-11-09,8,24.304,PIT,,HOU,W 24-17,,,,,,,,,,,,,,
14,1975,1975-11-16,9,24.311,PIT,,KAN,W 28-3,5,29,5.80,1,0,0,,0,0,0,,0,1,6
15,1975,1975-11-24,10,24.319,PIT,@,HOU,W 32-9,1,0,0.00,0,0,0,,0,0,0,,0,0,0
16,1975,1975-11-30,11,24.325,PIT,@,NYJ,W 20-7,12,67,5.58,0,0,0,,0,0,0,,0,0,0
17,1975,1975-12-07,12,24.332,PIT,,CLE,W 31-17,1,2,2.00,0,0,0,,0,0,0,,0,0,0
18,1975,1975-12-13,13,24.338,PIT,,CIN,W 35-14,1,8,8.00,0,0,0,,0,0,0,,0,0,0
19,1975,1975-12-20,14,24.345,PIT,@,RAM,L 3-10,3,8,2.67,0,0,0,,0,0,0,,0,0,0
20,1976,1976-09-12,1,25.247,PIT,@,OAK,L 28-31,1,2,2.00,0,0,0,,0,0,0,,0,0,0
21,1976,1976-09-19,2,25.254,PIT,,CLE,W 31-14,1,4,4.00,0,0,0,,0,1,26,26.00,0,0,0
22,1976,1976-09-26,3,25.261,PIT,,NWE,L 27-30,,,,,,,,,,,,,,
23,1976,1976-10-04,4,25.269,PIT,@,MIN,L 6-17,,,,,,,,,,,,,,
24,1976,1976-10-24,7,25.289,PIT,@,NYG,W 27-0,5,20,4.00,0,0,0,,0,0,0,,0,0,0
25,1976,1976-10-31,8,25.296,PIT,,SDG,W 23-0,13,108,8.31,0,2,19,9.50,0,0,0,,0,0,0
26,1976,1976-11-07,9,25.303,PIT,@,KAN,W 45-0,6,24,4.00,1,0,0,,0,0,0,,0,1,6
27,1976,1976-11-14,10,25.310,PIT,,MIA,W 14-3,3,1,0.33,1,0,0,,0,0,0,,0,1,6
28,1976,1976-11-21,11,25.317,PIT,,HOU,W 32-16,15,44,2.93,2,0,0,,0,0,0,,0,2,12
29,1976,1976-11-28,12,25.324,PIT,@,CIN,W 7-3,,,,,,,,,,,,,,
30,1976,1976-12-05,13,25.331,PIT,,TAM,W 42-0,8,29,3.63,0,0,0,,0,0,0,,0,0,0
31,1976,1976-12-11,14,25.337,PIT,@,HOU,W 21-0,2,3,1.50,0,0,0,,0,0,0,,0,0,0
32,1977,1977-09-19,1,26.253,PIT,,SFO,W 27-0,4,17,4.25,0,0,0,,0,0,0,,0,0,0
33,1977,1977-09-25,2,26.259,PIT,,OAK,L 7-16,1,33,33.00,0,1,7,7.00,0,0,0,,0,0,0
34,1977,1977-10-02,3,26.266,PIT,@,CLE,W 28-14,8,39,4.88,0,0,0,,0,0,0,,0,0,0
35,1977,1977-10-09,4,26.273,PIT,@,HOU,L 10-27,,,,,,,,,,,,,,
36,1977,1977-10-17,5,26.281,PIT,,CIN,W 20-14,3,16,5.33,0,0,0,,0,0,0,,0,0,0
37,1977,1977-10-23,6,26.287,PIT,,HOU,W 27-10,,,,,,,,,,,,,,
38,1977,1977-10-30,7,26.294,PIT,@,BAL,L 21-31,2,11,5.50,0,1,6,6.00,0,0,0,,0,0,0
39,1977,1977-11-06,8,26.301,PIT,@,DEN,L 7-21,,,,,,,,,,,,,,
40,1977,1977-11-13,9,26.308,PIT,,CLE,W 35-31,,,,,,,,,,,,,,
41,1977,1977-11-20,10,26.315,PIT,,DAL,W 28-13,1,1,1.00,0,0,0,,0,0,0,,0,0,0
42,1977,1977-11-27,11,26.322,PIT,@,NYJ,W 23-20,,,,,,,,,,,,,,
43,1977,1977-12-04,12,26.329,PIT,,SEA,W 30-20,17,58,3.41,0,1,-2,-2.00,0,0,0,,0,0,0
44,1977,1977-12-10,13,26.335,PIT,@,CIN,L 10-17,,,,,,,,,,,,,,
45,1977,1977-12-18,14,26.343,PIT,@,SDG,W 10-9,,,,,,,,,,,,,,
