ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,1971,1971-10-24,6,22.117,CHI,@,DET,W 28-23,,,,,,,,,,,,
2,1971,1971-10-31,7,22.124,CHI,,DAL,W 23-19,,,,,,,,,,,,
3,1971,1971-11-07,8,22.131,CHI,,GNB,L 14-17,,,,,,,,,,,,
4,1971,1971-11-14,9,22.138,CHI,,WAS,W 16-15,1,4,4.00,0,0,0,,0,0,0,,0
5,1971,1971-11-21,10,22.145,CHI,,DET,L 3-28,2,13,6.50,0,0,0,,0,0,0,,0
6,1971,1971-11-29,11,22.153,CHI,@,MIA,L 3-34,,,,,,,,,,,,
7,1971,1971-12-05,12,22.159,CHI,@,DEN,L 3-6,2,8,4.00,0,0,0,,0,0,0,,0
8,1971,1971-12-12,13,22.166,CHI,@,GNB,L 10-31,9,20,2.22,0,2,22,11.00,0,0,0,,0
9,1971,1971-12-19,14,22.173,CHI,,MIN,L 10-27,15,45,3.00,0,0,0,,0,0,0,,0
10,1973,1973-09-16,1,24.079,CHI,,DAL,L 17-20,,,,,,,,,,,,
11,1973,1973-09-23,2,24.086,CHI,,MIN,L 13-22,2,23,11.50,0,0,0,,0,0,0,,0
12,1973,1973-09-30,3,24.093,CHI,@,DEN,W 33-14,4,3,0.75,0,0,0,,0,0,0,,0
13,1973,1973-10-07,4,24.100,CHI,@,NOR,L 16-21,,,,,,,,,,,,
14,1973,1973-10-14,5,24.107,CHI,@,ATL,L 6-46,1,3,3.00,0,0,0,,0,1,0,0.00,0
15,1973,1973-10-21,6,24.114,CHI,,NWE,L 10-13,,,,,,,,,,,,
16,1973,1973-10-28,7,24.121,CHI,,HOU,W 35-14,,,,,,,,,,,,
17,1973,1973-11-04,8,24.128,CHI,@,GNB,W 31-17,2,5,2.50,0,0,0,,0,0,0,,0
18,1973,1973-11-12,9,24.136,CHI,@,KAN,L 7-19,,,,,,,,,,,,
19,1973,1973-11-18,10,24.142,CHI,,DET,L 7-30,7,18,2.57,0,2,11,5.50,0,0,0,,0
20,1973,1973-11-25,11,24.149,CHI,@,MIN,L 13-31,24,75,3.13,0,0,0,,0,0,0,,0
21,1973,1973-12-02,12,24.156,CHI,,RAM,L 0-26,5,11,2.20,0,0,0,,0,0,0,,0
22,1973,1973-12-09,13,24.163,CHI,@,DET,L 7-40,2,1,0.50,0,0,0,,0,0,0,,0
23,1973,1973-12-16,14,24.170,CHI,,GNB,L 0-21,11,52,4.73,0,1,6,6.00,0,0,0,,0
