ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,all_td,scoring,def_int,def_int_yds,def_int_td
1,1997,1997-08-31,1,23.071,NOR,@,STL,L 24-38,,,,,,
2,1997,1997-09-07,2,23.078,NOR,,SDG,L 6-20,,,,,,
3,1997,1997-09-14,3,23.085,NOR,@,SFO,L 7-33,,,,,,
4,1997,1997-09-21,4,23.092,NOR,,DET,W 35-17,,,,,,
5,1997,1997-09-28,5,23.099,NOR,@,NYG,L 9-14,,,,,,
6,1997,1997-10-05,6,23.106,NOR,@,CHI,W 20-17,,,,,,
7,1997,1997-10-12,7,23.113,NOR,,ATL,L 17-23,,,,,,
8,1997,1997-10-19,8,23.120,NOR,,CAR,L 0-13,,,,,,
9,1997,1997-10-26,9,23.127,NOR,,SFO,L 0-23,,,,,,
10,1997,1997-11-09,10,23.141,NOR,@,OAK,W 13-10,,,,,,
11,1997,1997-11-16,11,23.148,NOR,,SEA,W 20-17,,,,,,
12,1997,1997-11-23,12,23.155,NOR,@,ATL,L 3-20,,,,,,
13,1997,1997-11-30,13,23.162,NOR,@,CAR,W 16-13,,,,,,
14,1997,1997-12-07,14,23.169,NOR,,STL,L 27-34,,,,,,
15,1997,1997-12-14,15,23.176,NOR,,ARI,W 27-10,,0,0,1,15,0
16,1997,1997-12-21,16,23.183,NOR,@,KAN,L 13-25,,,,,,
17,1998,1998-09-06,1,24.077,NOR,@,STL,W 24-17,,,,,,
18,1998,1998-09-13,2,24.084,NOR,,CAR,W 19-14,,,,,,
19,1998,1998-09-27,3,24.098,NOR,@,IND,W 19-13,,0,0,1,25,0
20,1998,1998-10-04,4,24.105,NOR,,NWE,L 27-30,,,,,,
21,1998,1998-10-11,5,24.112,NOR,,SFO,L 0-31,,,,,,
22,1998,1998-10-18,6,24.119,NOR,@,ATL,L 23-31,,,,,,
23,1998,1998-10-25,7,24.126,NOR,,TAM,W 9-3,,,,,,
24,1998,1998-11-01,8,24.133,NOR,@,CAR,L 17-31,,,,,,
25,1998,1998-11-08,9,24.140,NOR,@,MIN,L 24-31,,,,,,
26,1998,1998-11-15,10,24.147,NOR,,STL,W 24-3,,,,,,
27,1998,1998-11-22,11,24.154,NOR,@,SFO,L 20-31,,,,,,
28,1998,1998-11-29,12,24.161,NOR,@,MIA,L 10-30,,1,6,1,79,1
29,1998,1998-12-06,13,24.168,NOR,,DAL,W 22-3,,,,,,
30,1998,1998-12-13,14,24.175,NOR,,ATL,L 17-27,,,,,,
31,1998,1998-12-20,15,24.182,NOR,@,ARI,L 17-19,,,,,,
32,1998,1998-12-27,16,24.189,NOR,,BUF,L 33-45,,,,,,
33,1999,1999-09-12,1,25.083,NOR,,CAR,W 19-10,*,,,,,
34,1999,1999-09-19,2,25.090,NOR,@,SFO,L 21-28,*,,,,,
35,1999,1999-10-03,3,25.104,NOR,@,CHI,L 10-14,*,,,,,
36,1999,1999-10-10,4,25.111,NOR,,ATL,L 17-20,*,,,,,
37,1999,1999-10-17,5,25.118,NOR,,TEN,L 21-24,*,,,,,
38,1999,1999-10-24,6,25.125,NOR,@,NYG,L 3-31,,,,,,
39,1999,1999-10-31,7,25.132,NOR,,CLE,L 16-21,,,,,,
40,1999,1999-11-07,8,25.139,NOR,,TAM,L 16-31,,,,,,
41,1999,1999-11-14,9,25.146,NOR,,SFO,W 24-6,,,,,,
42,1999,1999-11-21,10,25.153,NOR,@,JAX,L 23-41,,,,,,
43,1999,1999-11-28,11,25.160,NOR,@,STL,L 12-43,,,,,,
44,1999,1999-12-05,12,25.167,NOR,@,ATL,L 12-35,*,,,,,
45,1999,1999-12-12,13,25.174,NOR,,STL,L 14-30,,,,,,
46,1999,1999-12-19,14,25.181,NOR,@,BAL,L 8-31,,0,0,1,6,0
47,1999,1999-12-24,15,25.186,NOR,,DAL,W 31-24,,,,,,
48,1999,2000-01-02,16,25.195,NOR,@,CAR,L 13-45,*,,,,,
49,2000,2000-10-08,5,26.109,NOR,@,CHI,W 31-10,,,,,,
50,2000,2000-10-15,6,26.116,NOR,,CAR,W 24-6,,,,,,
51,2000,2000-10-22,7,26.123,NOR,@,ATL,W 21-19,,,,,,
52,2000,2000-10-29,8,26.130,NOR,@,ARI,W 21-10,,,,,,
53,2000,2000-11-05,9,26.137,NOR,,SFO,W 31-15,,,,,,
54,2000,2000-11-12,10,26.144,NOR,@,CAR,W 20-10,,,,,,
55,2000,2000-11-19,11,26.151,NOR,,OAK,L 22-31,,,,,,
56,2000,2000-11-26,12,26.158,NOR,@,STL,W 31-24,,,,,,
57,2000,2000-12-03,13,26.165,NOR,,DEN,L 23-38,,,,,,
58,2000,2000-12-10,14,26.172,NOR,@,SFO,W 31-27,,,,,,
59,2000,2000-12-17,15,26.179,NOR,,ATL,W 23-7,,,,,,
60,2000,2000-12-24,16,26.186,NOR,,STL,L 21-26,,,,,,
