ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,all_td,scoring
1,2001,2001-09-09,1,24.235,BAL,,CHI,W 17-6,,,,,,,,,,,0.0%,,,
2,2001,2001-11-25,11,24.312,BAL,@,JAX,W 24-21,,,,,,,,,,,0.0%,,,
3,2001,2001-12-02,12,24.319,BAL,,IND,W 39-27,,,,,,0,,,,,0.0%,,,
4,2001,2001-12-23,14,24.340,BAL,,CIN,W 16-0,,,,,,,,,,,0.0%,,,
5,2001,2001-12-29,15,24.346,BAL,@,TAM,L 10-22,,,,,,,,,,,0.0%,,,
6,2002,2002-09-08,1,25.234,BAL,@,CAR,L 7-10,*,0,0,,0,2,1,7,7.00,0,50.0%,3.50,0,0
7,2002,2002-09-15,2,25.241,BAL,,TAM,L 0-25,*,0,0,,0,2,1,1,1.00,0,50.0%,0.50,0,0
8,2002,2002-09-30,3,25.256,BAL,,DEN,W 34-23,,,,,,,,,,,0.0%,,,
9,2002,2002-10-06,4,25.262,BAL,@,CLE,W 26-21,,0,0,,0,1,1,5,5.00,0,100.0%,5.00,0,0
10,2002,2002-10-13,5,25.269,BAL,@,IND,L 20-22,*,,,,,,,,,,0.0%,,,
11,2002,2002-10-20,6,25.276,BAL,,JAX,W 17-10,*,,,,,,,,,,0.0%,,,
12,2002,2002-10-27,7,25.283,BAL,,PIT,L 18-31,,,,,,,,,,,0.0%,,,
13,2002,2002-11-03,8,25.290,BAL,@,ATL,L 17-20,*,3,27,9.00,1,0,0,0,,0,0.0%,,1,6
14,2002,2002-11-10,9,25.297,BAL,,CIN,W 38-27,*,1,0,0.00,0,2,1,6,6.00,0,50.0%,3.00,0,0
15,2002,2002-11-17,10,25.304,BAL,@,MIA,L 7-26,,2,8,4.00,0,0,0,0,,0,0.0%,,0,0
16,2002,2002-11-24,11,25.311,BAL,,TEN,W 13-12,,0,0,,0,2,1,17,17.00,0,50.0%,8.50,0,0
17,2002,2002-12-01,12,25.318,BAL,@,CIN,W 27-23,,1,4,4.00,0,1,1,3,3.00,0,100.0%,3.00,0,0
18,2002,2002-12-08,13,25.325,BAL,,NOR,L 25-37,*,1,1,1.00,0,1,1,8,8.00,0,100.0%,8.00,0,0
19,2002,2002-12-15,14,25.332,BAL,@,HOU,W 23-19,,2,4,2.00,0,0,0,0,,0,0.0%,,0,0
20,2002,2002-12-22,15,25.339,BAL,,CLE,L 13-14,*,1,4,4.00,0,1,1,4,4.00,0,100.0%,4.00,0,0
21,2002,2002-12-29,16,25.346,BAL,@,PIT,L 31-34,,3,10,3.33,1,2,2,9,4.50,0,100.0%,4.50,1,6
22,2003,2003-09-07,1,26.233,BAL,@,PIT,L 15-34,*,2,6,3.00,0,1,1,3,3.00,0,100.0%,3.00,0,0
23,2003,2003-09-14,2,26.240,BAL,,CLE,W 33-13,*,2,36,18.00,0,1,0,0,,0,0.0%,0.00,0,0
