ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,sacks,def_int,def_int_yds,def_int_td
1,1999,1999-09-19,2,22.154,PHI,,TAM,L 5-19,,,,,,,,,
2,1999,1999-09-26,3,22.161,PHI,@,BUF,L 0-26,,,,,,,,,
3,1999,1999-10-17,6,22.182,PHI,@,CHI,W 20-16,,,,,,,,,
4,1999,1999-10-24,7,22.189,PHI,@,MIA,L 13-16,,,,,,,,,
5,1999,1999-10-31,8,22.196,PHI,,NYG,L 17-23,,,,,,,,,
6,1999,1999-11-07,9,22.203,PHI,@,CAR,L 7-33,,,,,,,,,
7,1999,1999-11-14,10,22.210,PHI,,WAS,W 35-28,,,,,,,,,
8,1999,1999-11-21,11,22.217,PHI,,IND,L 17-44,,,,,,,,,
9,1999,1999-11-28,12,22.224,PHI,@,WAS,L 17-20,,,,,,,,,
10,1999,1999-12-05,13,22.231,PHI,@,ARI,L 17-21,,,,,,,,,
11,1999,1999-12-12,14,22.238,PHI,@,DAL,L 10-20,,,,,,,,,
12,1999,1999-12-19,15,22.245,PHI,,NWE,W 24-9,,,,,,,,,
13,1999,2000-01-02,16,22.259,PHI,,STL,W 38-31,,0,0,,0,1.0,1,29,0
14,2000,2000-09-03,1,23.138,PHI,@,DAL,W 41-14,,,,,,,,,
15,2000,2000-09-10,2,23.145,PHI,,NYG,L 18-33,,,,,,,,,
16,2000,2000-09-17,3,23.152,PHI,@,GNB,L 3-6,,,,,,,,,
17,2000,2000-09-24,4,23.159,PHI,@,NOR,W 21-7,,,,,,,,,
18,2000,2000-10-01,5,23.166,PHI,,ATL,W 38-10,,,,,,,,,
19,2000,2000-10-08,6,23.173,PHI,,WAS,L 14-17,,,,,,,,,
20,2000,2000-10-15,7,23.180,PHI,@,ARI,W 33-14,,,,,,,,,
21,2000,2000-10-22,8,23.187,PHI,,CHI,W 13-9,,,,,,,,,
22,2000,2000-11-12,11,23.208,PHI,@,PIT,W 26-23,,,,,,,,,
23,2000,2000-11-19,12,23.215,PHI,,ARI,W 34-9,,,,,,,,,
24,2000,2000-11-26,13,23.222,PHI,@,WAS,W 23-20,,,,,,,,,
25,2000,2000-12-03,14,23.229,PHI,,TEN,L 13-15,,,,,,,,,
26,2000,2000-12-10,15,23.236,PHI,@,CLE,W 35-24,,,,,,,,,
27,2000,2000-12-24,16,23.250,PHI,,CIN,W 16-7,,,,,,,,,
28,2001,2001-09-09,1,24.144,PHI,,STL,L 17-20,,,,,,,,,
29,2001,2001-09-23,2,24.158,PHI,@,SEA,W 27-3,,,,,,,,,
30,2001,2001-09-30,3,24.165,PHI,,DAL,W 40-18,,,,,,,,,
31,2001,2001-10-07,4,24.172,PHI,,ARI,L 20-21,,,,,,,,,
32,2001,2001-10-22,5,24.187,PHI,@,NYG,W 10-9,,,,,,,,,
33,2001,2001-10-28,6,24.193,PHI,,OAK,L 10-20,,0,11,,0,,,,
34,2001,2001-11-04,7,24.200,PHI,@,ARI,W 21-7,*,,,,,,,,
35,2001,2001-11-11,8,24.207,PHI,,MIN,W 48-17,,0,0,,0,1.0,0,0,0
36,2001,2001-11-18,9,24.214,PHI,@,DAL,W 36-3,,,,,,,,,
37,2001,2001-11-25,10,24.221,PHI,,WAS,L 3-13,,,,,,,,,
38,2001,2001-11-29,11,24.225,PHI,@,KAN,W 23-10,*,,,,,,,,
39,2001,2001-12-09,12,24.235,PHI,,SDG,W 24-14,,,,,,,,,
40,2001,2001-12-16,13,24.242,PHI,@,WAS,W 20-6,,,,,,,,,
41,2001,2001-12-22,14,24.248,PHI,@,SFO,L 3-13,,,,,,,,,
42,2001,2001-12-30,15,24.256,PHI,,NYG,W 24-21,,,,,,,,,
43,2001,2002-01-06,16,24.263,PHI,@,TAM,W 17-13,*,0,0,,0,0.0,1,11,0
44,2002,2002-09-08,1,25.143,PHI,@,TEN,L 24-27,,,,,,,,,
45,2002,2002-09-16,2,25.151,PHI,@,WAS,W 37-7,,0,0,,0,1.0,0,0,0
46,2002,2002-09-22,3,25.157,PHI,,DAL,W 44-13,,,,,,,,,
47,2002,2002-10-20,6,25.185,PHI,,TAM,W 20-10,,,,,,,,,
