ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,sacks
1,1989,1989-09-10,1,23.233,SDG,@,RAI,L 14-40,,,,,
2,1989,1989-09-17,2,23.240,SDG,,HOU,L 27-34,,,,,
3,1989,1989-09-24,3,23.247,SDG,,KAN,W 21-6,,,,,
4,1989,1989-10-01,4,23.254,SDG,@,PHO,W 24-13,,,,,
5,1989,1989-10-08,5,23.261,SDG,@,DEN,L 10-16,,,,,
6,1989,1989-10-15,6,23.268,SDG,,SEA,L 16-17,,,,,
7,1989,1989-10-22,7,23.275,SDG,,NYG,L 13-20,,,,,
8,1989,1989-10-29,8,23.282,SDG,@,SEA,L 7-10,,,,,
9,1989,1989-11-05,9,23.289,SDG,,PHI,W 20-17,,,,,
10,1989,1989-11-12,10,23.296,SDG,,RAI,W 14-12,,,,,
11,1990,1990-11-25,11,24.309,NWE,@,PHO,L 14-34,0,0,,0,
12,1990,1990-12-02,12,24.316,NWE,,KAN,L 7-37,0,0,,0,
13,1990,1990-12-09,13,24.323,NWE,@,PIT,L 3-24,0,0,,0,
14,1990,1990-12-15,14,24.329,NWE,,WAS,L 10-25,1,0,0.00,0,0.0
15,1990,1990-12-23,15,24.337,NWE,@,NYJ,L 7-42,0,0,,0,
16,1990,1990-12-30,16,24.344,NWE,,NYG,L 10-13,0,0,,0,0.5
17,1991,1991-11-03,9,25.287,NWE,@,BUF,L 17-22,,,,,
18,1991,1991-11-10,10,25.294,NWE,@,MIA,L 20-30,,,,,
19,1991,1991-11-17,11,25.301,NWE,,NYJ,L 21-28,,,,,
20,1991,1991-11-24,12,25.308,NWE,,BUF,W 16-13,,,,,
21,1991,1991-12-01,13,25.315,NWE,@,DEN,L 3-20,,,,,
22,1991,1991-12-08,14,25.322,NWE,,IND,W 23-17,,,,,
23,1991,1991-12-15,15,25.329,NWE,@,NYJ,W 6-3,,,,,
24,1991,1991-12-22,16,25.336,NWE,@,CIN,L 7-29,,,,,
25,1992,1992-09-27,3,26.251,NWE,,BUF,L 7-41,,,,,
26,1992,1992-10-11,5,26.265,NWE,,SFO,L 12-24,,,,,
27,1992,1992-10-18,6,26.272,NWE,@,MIA,L 17-38,,,,,
28,1992,1992-10-25,7,26.279,NWE,,CLE,L 17-19,,,,,
29,1992,1992-11-01,8,26.286,NWE,@,BUF,L 7-16,,,,,
30,1992,1992-11-08,9,26.293,NWE,,NOR,L 14-31,,,,,
31,1992,1992-11-15,10,26.300,NWE,@,IND,W 37-34,,,,,
32,1992,1992-11-29,12,26.314,NWE,@,ATL,L 0-34,,,,,
33,1992,1992-12-06,13,26.321,NWE,,IND,L 0-6,,,,,
34,1992,1992-12-13,14,26.328,NWE,@,KAN,L 20-27,,,,,
35,1992,1992-12-20,15,26.335,NWE,@,CIN,L 10-20,,,,,
36,1992,1992-12-27,16,26.342,NWE,,MIA,L 13-16,,,,,
37,1993,1993-09-05,1,27.228,NWE,@,BUF,L 14-38,,,,,
38,1993,1993-09-12,2,27.235,NWE,,DET,L 16-19,,,,,
39,1993,1993-09-19,3,27.242,NWE,,SEA,L 14-17,,,,,
40,1993,1993-09-26,4,27.249,NWE,@,NYJ,L 7-45,,,,,
