ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1963,1963-09-07,1,21.338,KAN,@,DEN,W 59-7,5,40,8.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,166,55.33,0
2,1963,1963-09-22,2,21.353,KAN,@,BUF,T 27-27,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,4,125,31.25,0
3,1963,1963-09-29,3,21.360,KAN,@,SDG,L 10-24,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,5,251,50.20,0
4,1963,1963-10-06,4,22.002,KAN,,HOU,W 28-7,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,5,253,50.60,0
5,1963,1963-10-13,5,22.009,KAN,,BUF,L 26-35,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,4,204,51.00,0
6,1963,1963-10-20,6,22.016,KAN,,SDG,L 17-38,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,138,46.00,0
7,1963,1963-10-27,7,22.023,KAN,@,HOU,L 7-28,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,3,127,42.33,0
8,1963,1963-11-03,8,22.030,KAN,@,OAK,L 7-10,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,6,288,48.00,0
9,1963,1963-11-08,9,22.035,KAN,,OAK,L 7-22,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,9,264,29.33,1
10,1963,1963-11-17,10,22.044,KAN,@,BOS,T 24-24,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,20,20.00,0,4,180,45.00,0
