ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists
1,2000,2000-09-03,1,22.015,ARI,@,NYG,L 16-21,,12,16,1.33,0,6,4,18,4.50,0,66.7%,3.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,,
2,2000,2000-09-10,2,22.022,ARI,,DAL,W 32-31,*,23,70,3.04,0,3,2,30,15.00,0,66.7%,10.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,,
3,2000,2000-09-24,3,22.036,ARI,,GNB,L 3-29,*,10,24,2.40,0,5,2,3,1.50,0,40.0%,0.60,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,,
4,2000,2000-10-01,4,22.043,ARI,@,SFO,L 20-27,*,10,36,3.60,1,5,4,15,3.75,0,80.0%,3.00,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0.0,,
5,2000,2000-10-08,5,22.050,ARI,,CLE,W 29-21,,6,9,1.50,1,2,0,0,,0,0.0%,0.00,0,0,,0,0,0,,0,0,,,0,0,,0,1,6,0.0,,
6,2000,2000-10-15,6,22.057,ARI,,PHI,L 14-33,,3,35,11.67,0,1,1,3,3.00,0,100.0%,3.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,,
7,2000,2000-10-22,7,22.064,ARI,@,DAL,L 7-48,,11,50,4.55,0,2,2,15,7.50,0,100.0%,7.50,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,,
8,2000,2000-10-29,8,22.071,ARI,,NOR,L 10-21,,6,26,4.33,0,4,3,19,6.33,0,75.0%,4.75,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,,
9,2000,2000-11-05,9,22.078,ARI,,WAS,W 16-15,,4,16,4.00,0,1,1,5,5.00,0,100.0%,5.00,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,,
10,2000,2000-11-12,10,22.085,ARI,@,MIN,L 14-31,,3,3,1.00,0,2,2,17,8.50,0,100.0%,8.50,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,0.0,,
