ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,sacks,def_int,def_int_yds,def_int_td
1,1994,1994-09-04,1,22.322,NOR,,KAN,L 17-30,,,,
2,1994,1994-09-11,2,22.329,NOR,,WAS,L 24-38,,,,
3,1994,1994-09-18,3,22.336,NOR,@,TAM,W 9-7,,,,
4,1994,1994-09-25,4,22.343,NOR,@,SFO,L 13-24,,,,
5,1994,1994-10-02,5,22.350,NOR,,NYG,W 27-22,,,,
6,1994,1994-10-09,6,22.357,NOR,@,CHI,L 7-17,,,,
7,1994,1994-10-16,7,22.364,NOR,,SDG,L 22-36,,,,
8,1994,1994-10-23,8,23.006,NOR,,RAM,W 37-34,,,,
9,1994,1994-11-06,9,23.020,NOR,@,MIN,L 20-21,,,,
10,1994,1994-11-20,11,23.034,NOR,@,RAI,L 19-24,,,,
11,1994,1994-11-28,12,23.042,NOR,,SFO,L 14-35,,,,
12,1994,1994-12-04,13,23.048,NOR,@,RAM,W 31-15,,,,
13,1994,1994-12-11,14,23.055,NOR,@,ATL,W 29-20,,,,
14,1994,1994-12-19,15,23.063,NOR,,DAL,L 16-24,,,,
15,1994,1994-12-24,16,23.068,NOR,@,DEN,W 30-28,,,,
16,1995,1995-09-03,1,23.321,NOR,,SFO,L 22-24,1.0,0,0,0
17,1995,1995-09-10,2,23.328,NOR,@,STL,L 13-17,1.0,0,0,0
18,1995,1995-09-17,3,23.335,NOR,,ATL,L 24-27,,,,
19,1995,1995-09-24,4,23.342,NOR,@,NYG,L 29-45,,,,
20,1995,1995-10-01,5,23.349,NOR,,PHI,L 10-15,1.0,0,0,0
21,1995,1995-10-15,6,23.363,NOR,,MIA,W 33-30,0.0,1,6,0
22,1995,1995-10-22,7,24.005,NOR,@,CAR,L 3-20,,,,
23,1995,1995-10-29,8,24.012,NOR,@,SFO,W 11-7,,,,
24,1995,1995-11-05,9,24.019,NOR,,STL,W 19-10,,,,
25,1995,1995-11-12,10,24.026,NOR,,IND,W 17-14,,,,
26,1995,1995-11-19,11,24.033,NOR,@,MIN,L 24-43,,,,
27,1995,1995-11-26,12,24.040,NOR,,CAR,W 34-26,0.0,1,11,0
28,1995,1995-12-03,13,24.047,NOR,@,NWE,W 31-17,1.0,0,0,0
29,1995,1995-12-10,14,24.054,NOR,@,ATL,L 14-19,,,,
30,1995,1995-12-16,15,24.060,NOR,,GNB,L 23-34,,,,
31,1995,1995-12-24,16,24.068,NOR,@,NYJ,W 12-0,,,,
32,1996,1996-09-01,1,24.320,NOR,@,SFO,L 11-27,,,,
33,1996,1996-09-08,2,24.327,NOR,,CAR,L 20-22,,,,
34,1996,1996-09-15,3,24.334,NOR,@,CIN,L 15-30,,,,
35,1996,1996-09-22,4,24.341,NOR,,ARI,L 14-28,,,,
36,1996,1996-10-06,6,24.355,NOR,,JAX,W 17-13,,,,
37,1996,1996-10-13,7,24.362,NOR,,CHI,W 27-24,,,,
38,1996,1996-10-20,8,25.003,NOR,@,CAR,L 7-19,,,,
39,1996,1996-11-03,9,25.017,NOR,,SFO,L 17-24,,,,
40,1996,1996-11-10,10,25.024,NOR,,HOU,L 14-31,,,,
41,1996,1996-11-17,11,25.031,NOR,@,ATL,L 15-17,,,,
42,1996,1996-11-24,12,25.038,NOR,@,TAM,L 7-13,,,,
43,1996,1996-12-01,13,25.045,NOR,,STL,L 10-26,,,,
44,1996,1996-12-08,14,25.052,NOR,,ATL,L 15-31,,,,
45,1996,1996-12-15,15,25.059,NOR,@,NYG,W 17-3,,,,
46,1996,1996-12-21,16,25.065,NOR,@,STL,L 13-14,,,,
47,1997,1997-08-31,1,25.318,NOR,@,STL,L 24-38,,,,
48,1997,1997-09-07,2,25.325,NOR,,SDG,L 6-20,,,,
49,1997,1997-09-21,4,25.339,NOR,,DET,W 35-17,,,,
50,1997,1997-09-28,5,25.346,NOR,@,NYG,L 9-14,,,,
51,1997,1997-10-05,6,25.353,NOR,@,CHI,W 20-17,,,,
52,1997,1997-10-12,7,25.360,NOR,,ATL,L 17-23,,,,
53,1997,1997-10-19,8,26.002,NOR,,CAR,L 0-13,,,,
54,1997,1997-10-26,9,26.009,NOR,,SFO,L 0-23,,,,
55,1997,1997-11-09,10,26.023,NOR,@,OAK,W 13-10,,,,
56,1997,1997-11-16,11,26.030,NOR,,SEA,W 20-17,,,,
57,1997,1997-11-23,12,26.037,NOR,@,ATL,L 3-20,,,,
58,1997,1997-11-30,13,26.044,NOR,@,CAR,W 16-13,,,,
59,1997,1997-12-07,14,26.051,NOR,,STL,L 27-34,0.5,0,0,0
60,1997,1997-12-14,15,26.058,NOR,,ARI,W 27-10,,,,
61,1997,1997-12-21,16,26.065,NOR,@,KAN,L 13-25,,,,
62,1998,1998-10-25,7,27.008,OAK,,CIN,W 27-10,,,,
63,1998,1998-11-01,8,27.015,OAK,@,SEA,W 31-18,,,,
64,1998,1998-12-06,13,27.050,KAN,@,DEN,L 31-35,,,,
