ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1961,1961-09-17,2,22.253,SDG,,OAK,W 44-0,0,0,,0,0,0,,0,0,0,,0,3,47,15.67,0,0,0,0,0,,0
2,1961,1961-11-12,10,22.309,SDG,@,DEN,W 19-16,2,28,14.00,1,0,0,,0,0,0,,0,0,0,,0,1,6,0,0,,0
3,1961,1961-11-19,11,22.316,SDG,,DTX,W 24-14,2,68,34.00,1,0,0,,0,0,0,,0,0,0,,0,1,6,0,0,,0
4,1961,1961-12-03,12,22.330,SDG,@,HOU,L 13-33,4,62,15.50,0,0,0,,0,1,8,8.00,0,0,0,,0,0,0,0,0,,0
5,1961,1961-12-10,13,22.337,SDG,,BUF,W 28-10,1,5,5.00,0,0,0,,0,2,42,21.00,0,1,0,0.00,0,0,0,0,0,,0
6,1962,1962-09-07,1,23.243,DEN,,SDG,W 30-21,2,68,34.00,1,0,0,,0,0,0,,0,0,0,,0,1,6,0,0,,0
7,1962,1962-09-15,2,23.251,DEN,@,BUF,W 23-20,6,90,15.00,1,0,0,,0,0,0,,0,0,0,,0,1,6,0,0,,0
8,1962,1962-09-21,3,23.257,DEN,@,BOS,L 16-41,1,36,36.00,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,,0
9,1962,1962-09-30,4,23.266,DEN,@,NYT,W 32-10,5,59,11.80,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,,0
10,1962,1962-10-05,5,23.271,DEN,,OAK,W 44-7,2,32,16.00,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,,0
11,1962,1962-10-14,6,23.280,DEN,@,OAK,W 23-6,1,67,67.00,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,,0
12,1962,1962-10-21,7,23.287,DEN,,HOU,W 20-10,5,65,13.00,1,0,0,,0,0,0,,0,0,0,,0,1,6,0,0,,0
13,1962,1962-10-28,8,23.294,DEN,,BUF,L 38-45,1,18,18.00,1,0,0,,0,0,0,,0,0,0,,0,1,6,0,0,,0
14,1962,1962-11-04,9,23.301,DEN,@,SDG,W 23-20,1,16,16.00,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,,0
15,1962,1962-11-11,10,23.308,DEN,,BOS,L 29-33,2,61,30.50,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,,0
16,1962,1962-11-22,12,23.319,DEN,,NYT,L 45-46,5,89,17.80,2,0,0,,0,0,0,,0,0,0,,0,2,12,0,0,,0
17,1962,1962-12-02,13,23.329,DEN,@,HOU,L 17-34,2,46,23.00,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,,0
18,1962,1962-12-09,14,23.336,DEN,@,DTX,L 10-17,2,20,10.00,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,,0
19,1963,1963-09-07,1,24.243,DEN,,KAN,L 7-59,2,40,20.00,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,,0
20,1963,1963-09-14,2,24.250,DEN,@,HOU,L 14-20,1,20,20.00,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,,0
21,1963,1963-09-29,3,24.265,DEN,,BOS,W 14-10,1,27,27.00,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,,0
22,1963,1963-10-06,4,24.272,DEN,,SDG,W 50-34,1,13,13.00,0,0,0,,0,1,8,8.00,0,0,0,,0,0,0,0,0,,0
