ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1986,1986-09-07,1,22.088,ATL,@,NOR,W 31-10,1,3,3.00,0,0,0,,0,0,0,,0
2,1986,1986-10-12,6,22.123,ATL,,RAM,W 26-14,0,0,,0,,,,,,,,
3,1986,1986-11-10,10,22.152,CLE,,MIA,W 26-16,,,,,,,,,,,,
4,1986,1986-11-16,11,22.158,CLE,@,RAI,L 14-27,,,,,,,,,,,,
5,1988,1988-11-13,11,24.155,CLE,@,DEN,L 7-30,0,0,,0,,,,,,,,
6,1988,1988-11-20,12,24.162,CLE,,PIT,W 27-7,0,0,,0,,,,,,,,
7,1988,1988-12-12,15,24.184,CLE,@,MIA,L 31-38,3,19,6.33,0,0,0,,0,0,0,,0
8,1988,1988-12-18,16,24.190,CLE,,HOU,W 28-23,0,0,,0,,,,,,,,
9,1989,1989-10-01,4,25.112,PHO,,SDG,L 13-24,0,0,,0,0,0,,0,2,45,22.50,0
10,1989,1989-10-08,5,25.119,PHO,@,WAS,L 28-30,7,8,1.14,0,0,0,,0,2,44,22.00,0
11,1989,1989-10-15,6,25.126,PHO,,PHI,L 5-17,0,0,,0,0,0,,0,2,41,20.50,0
12,1989,1989-10-22,7,25.133,PHO,,ATL,W 34-20,2,1,0.50,0,0,0,,0,1,29,29.00,0
13,1989,1989-10-29,8,25.140,PHO,@,DAL,W 19-10,3,5,1.67,0,1,9,9.00,0,0,0,,0
14,1989,1989-11-05,9,25.147,PHO,,NYG,L 13-20,1,0,0.00,0,0,0,,0,3,74,24.67,0
15,1989,1989-11-12,10,25.154,PHO,,DAL,W 24-20,0,0,,0,0,0,,0,0,0,,0
16,1989,1989-12-03,13,25.175,PHO,,WAS,L 10-29,4,12,3.00,0,1,9,9.00,0,0,0,,0
17,1989,1989-12-10,14,25.182,PHO,@,RAI,L 14-16,3,5,1.67,0,0,0,,0,0,0,,0
18,1989,1989-12-16,15,25.188,PHO,,DEN,L 0-37,0,0,,0,0,0,,0,1,12,12.00,0
