ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,1963,1963-09-07,1,23.105,DEN,,KAN,L 7-59,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,4,128,32.00,0,0,0,,0,0,0,0,0,0
2,1963,1963-09-14,2,23.112,DEN,@,HOU,L 14-20,1,-4,-4.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,90,45.00,1,1,16,16.00,0,1,6,0,0,0
3,1963,1963-09-29,3,23.127,DEN,,BOS,W 14-10,1,3,3.00,0,1,13,13.00,0,0,0,,0,0,0,,0,0,,,3,68,22.67,0,1,1,1.00,0,0,0,1,0,0
4,1963,1963-10-06,4,23.134,DEN,,SDG,W 50-34,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,3,73,24.33,0,0,0,,0,0,0,0,0,0
5,1963,1963-10-13,5,23.141,DEN,,HOU,L 24-33,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,3,80,26.67,0,1,24,24.00,0,0,0,0,0,0
6,1963,1963-10-18,6,23.146,DEN,@,BOS,L 21-40,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,56,28.00,0,0,0,,0,0,0,0,0,0
7,1963,1963-10-26,7,23.154,DEN,@,NYJ,T 35-35,13,41,3.15,0,4,30,7.50,0,0,0,,0,0,0,,0,0,,,2,48,24.00,0,3,20,6.67,0,0,0,0,0,0
8,1963,1963-11-03,8,23.162,DEN,,BUF,L 28-30,4,-7,-1.75,0,0,0,,0,0,0,,0,0,0,,0,0,,,3,55,18.33,0,0,0,,0,0,0,0,0,0
9,1963,1963-11-09,9,23.168,DEN,@,BUF,L 17-27,1,3,3.00,0,2,24,12.00,0,0,0,,0,0,0,,0,0,,,1,15,15.00,0,4,47,11.75,0,0,0,0,0,0
10,1963,1963-11-17,10,23.176,DEN,,NYJ,L 9-14,4,5,1.25,0,1,4,4.00,0,0,0,,0,0,0,,0,0,,,1,52,52.00,0,1,5,5.00,0,0,0,0,0,0
11,1963,1963-11-28,11,23.187,DEN,,OAK,L 10-26,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,23,23.00,0,0,0,,0,0,0,0,0,0
12,1963,1963-12-08,12,23.197,DEN,@,KAN,L 21-52,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,4,70,17.50,0,0,0,,0,0,0,0,0,0
13,1963,1963-12-15,13,23.204,DEN,@,OAK,L 31-35,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,4,86,21.50,0,0,0,,0,0,0,0,0,0
14,1963,1963-12-22,14,23.211,DEN,@,SDG,L 20-58,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,4,110,27.50,0,1,28,28.00,0,0,0,0,0,0
15,1964,1964-09-12,1,24.110,DEN,@,NYJ,L 6-30,8,24,3.00,0,5,25,5.00,0,0,0,,0,0,0,,0,0,,,3,60,20.00,0,2,26,13.00,0,0,0,0,0,0
16,1964,1964-09-20,2,24.118,DEN,@,BUF,L 13-30,4,11,2.75,0,1,0,0.00,0,0,0,,0,0,0,,0,0,,,5,91,18.20,0,1,54,54.00,0,0,0,0,0,0
17,1964,1964-09-27,3,24.125,DEN,,HOU,L 17-38,3,36,12.00,1,4,24,6.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,1,6,0,0,0
