ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,safety_md,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,1997,1997-09-28,5,22.174,TAM,,ARI,W 19-18,,,,,,,,,,,,,,
2,1998,1998-09-06,1,23.152,TAM,@,MIN,L 7-31,,,,,,,,,,,,,,
3,1998,1998-09-13,2,23.159,TAM,@,GNB,L 15-23,,,,,,,,,,,,,,
4,1998,1998-09-20,3,23.166,TAM,,CHI,W 27-15,,,,,,,,,,,,,,
5,1998,1998-09-28,4,23.174,TAM,@,DET,L 6-27,,,,,,,,,,,,,,
6,1998,1998-10-04,5,23.180,TAM,,NYG,W 20-3,,0,0,,0,,0,0,0.0,,,1,11,0
7,1998,1998-10-18,6,23.194,TAM,,CAR,W 16-13,,,,,,,,,,,,,,
8,1998,1998-10-25,7,23.201,TAM,@,NOR,L 3-9,,,,,,,,,,,,,,
9,1998,1998-11-01,8,23.208,TAM,,MIN,W 27-24,,0,0,,0,,0,0,1.0,,,0,0,0
10,1998,1998-11-08,9,23.215,TAM,,TEN,L 22-31,,,,,,,,,,,,,,
11,1998,1998-11-15,10,23.222,TAM,@,JAX,L 24-29,,0,0,,0,,0,0,1.0,,,0,0,0
12,1998,1998-11-22,11,23.229,TAM,,DET,L 25-28,,,,,,,,,,,,,,
13,1998,1998-11-29,12,23.236,TAM,@,CHI,W 31-17,,1,23,23.00,1,,1,6,0.0,,,0,0,0
14,1998,1998-12-07,13,23.244,TAM,,GNB,W 24-22,,0,0,,0,,0,0,1.0,,,0,0,0
15,1998,1998-12-13,14,23.250,TAM,,PIT,W 16-3,,,,,,,,,,,,,,
16,1998,1998-12-19,15,23.256,TAM,@,WAS,L 16-20,,,,,,,,,,,,,,
17,1998,1998-12-27,16,23.264,TAM,@,CIN,W 35-0,,0,0,,0,,0,0,0.0,,,1,56,0
18,1999,1999-09-12,1,24.158,TAM,,NYG,L 13-17,*,,,,,,,,,,,,,
19,1999,1999-09-19,2,24.165,TAM,@,PHI,W 19-5,*,,,,,,,,,,,,,
20,1999,1999-09-26,3,24.172,TAM,,DEN,W 13-10,*,,,,,,,,,,,,,
21,1999,1999-10-03,4,24.179,TAM,@,MIN,L 14-21,*,,,,,,,,,,,,,
22,1999,1999-10-10,5,24.186,TAM,@,GNB,L 23-26,*,,,,,,,,,,,,,
23,1999,1999-10-24,6,24.200,TAM,,CHI,W 6-3,*,,,,,,,,,,,,,
24,1999,1999-10-31,7,24.207,TAM,@,DET,L 3-20,*,,,,,,,,,,,,,
25,1999,1999-11-07,8,24.214,TAM,@,NOR,W 31-16,*,0,0,,0,,0,0,0.0,,,1,17,0
26,1999,1999-11-14,9,24.221,TAM,,KAN,W 17-10,,,,,,,,,,,,,,
27,1999,1999-11-21,10,24.228,TAM,,ATL,W 19-10,*,,,,,,,,,,,,,
28,1999,1999-11-28,11,24.235,TAM,@,SEA,W 16-3,*,0,0,,0,,0,0,0.0,,,1,43,0
29,1999,1999-12-06,12,24.243,TAM,,MIN,W 24-17,*,0,0,,0,,0,0,1.0,,,0,0,0
30,1999,1999-12-12,13,24.249,TAM,,DET,W 23-16,*,,,,,,,,,,,,,
31,1999,1999-12-19,14,24.256,TAM,@,OAK,L 0-45,*,,,,,,,,,,,,,
32,1999,1999-12-26,15,24.263,TAM,,GNB,W 29-10,*,,,,,,,,,,,,,
33,1999,2000-01-02,16,24.270,TAM,@,CHI,W 20-6,*,,,,,,,,,,,,,
34,2000,2000-09-03,1,25.149,TAM,@,NWE,W 21-16,*,0,0,,0,,0,0,1.0,,,0,0,0
35,2000,2000-09-10,2,25.156,TAM,,CHI,W 41-0,,0,0,,0,,0,0,2.5,,,0,0,0
36,2000,2000-09-17,3,25.163,TAM,@,DET,W 31-10,,,,,,,,,,,,,,
37,2000,2000-09-24,4,25.170,TAM,,NYJ,L 17-21,*,0,0,,0,,1,6,0.0,,,1,37,1
38,2000,2000-10-01,5,25.177,TAM,@,WAS,L 17-20,*,,,,,,,,,,,,,
39,2000,2000-10-09,6,25.185,TAM,@,MIN,L 23-30,,0,0,,0,,0,0,1.0,,,0,0,0
40,2000,2000-10-19,7,25.195,TAM,,DET,L 14-28,*,,,,,,,,,,,,,
41,2000,2000-10-29,8,25.205,TAM,,MIN,W 41-13,,0,0,,0,,0,0,1.0,,,0,0,0
42,2000,2000-11-05,9,25.212,TAM,@,ATL,W 27-14,*,,,,,,,,,,,,,
43,2000,2000-11-12,10,25.219,TAM,,GNB,W 20-15,,,,,,,,,,,,,,
44,2000,2000-11-19,11,25.226,TAM,@,CHI,L 10-13,,,,,,,,,,,,,,
45,2000,2000-11-26,12,25.233,TAM,,BUF,W 31-17,*,,,,,,,,,,,,,
46,2000,2000-12-03,13,25.240,TAM,,DAL,W 27-7,*,,,,,,,,,,,,,
47,2000,2000-12-10,14,25.247,TAM,@,MIA,W 16-13,,,,,,,,,,,,,,
48,2000,2000-12-18,15,25.255,TAM,,STL,W 38-35,,0,0,,0,,0,0,0.0,,,1,9,0
49,2000,2000-12-24,16,25.261,TAM,@,GNB,L 14-17,,,,,,,,,,,,,,
50,2001,2001-09-09,1,26.155,TAM,@,DAL,W 10-6,*,,,,,,,,,,,,,
51,2001,2001-09-30,2,26.176,TAM,@,MIN,L 16-20,*,0,0,,0,,0,0,0.0,,,1,12,0
