ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,safety_md,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
52,2001,2001-10-07,3,26.183,TAM,,GNB,W 14-10,*,,,,,,,,,,,,,
53,2001,2001-10-14,4,26.190,TAM,@,TEN,L 28-31,*,,,,,,,,,,,,,
54,2001,2001-10-21,5,26.197,TAM,,PIT,L 10-17,*,0,0,,0,,0,0,0.0,,,2,10,0
55,2001,2001-10-28,6,26.204,TAM,,MIN,W 41-14,*,0,0,,0,,0,0,1.0,,,0,0,0
56,2001,2001-11-04,7,26.211,TAM,@,GNB,L 20-21,*,,,,,,,,,,,,,
57,2001,2001-11-11,8,26.218,TAM,@,DET,W 20-17,*,0,0,,0,,0,0,0.0,,,2,2,0
58,2001,2001-11-18,9,26.225,TAM,,CHI,L 24-27,*,0,0,,0,,0,0,0.0,,,1,0,0
59,2001,2001-11-26,10,26.233,TAM,@,STL,W 24-17,*,,,,,,,,,,,,,
60,2001,2001-12-02,11,26.239,TAM,@,CIN,W 16-13,*,,,,,,,,,,,,,
61,2001,2001-12-09,12,26.246,TAM,,DET,W 15-12,*,,,,,,,,,,,,,
62,2001,2001-12-16,13,26.253,TAM,@,CHI,L 3-27,*,,,,,,,,,,,,,
63,2001,2001-12-23,14,26.260,TAM,,NOR,W 48-21,*,0,0,,0,,1,6,0.0,,,3,56,1
64,2001,2001-12-29,15,26.266,TAM,,BAL,W 22-10,*,0,0,,0,,0,0,0.0,,,1,6,0
65,2001,2002-01-06,16,26.274,TAM,,PHI,L 13-17,*,,,,,,,,,,,,,
66,2002,2002-09-08,1,27.154,TAM,,NOR,L 20-26,*,,,,,,,,,,,,,
67,2002,2002-09-15,2,27.161,TAM,@,BAL,W 25-0,*,,,,,,,,,,,,,
68,2002,2002-09-23,3,27.169,TAM,,STL,W 26-14,*,,,,,,,,,,,,,
69,2002,2002-09-29,4,27.175,TAM,@,CIN,W 35-7,*,,,,,,,,,,,,,
70,2002,2002-10-06,5,27.182,TAM,@,ATL,W 20-6,*,,,,,,,,,,,,,
71,2002,2002-10-13,6,27.189,TAM,,CLE,W 17-3,*,0,0,,0,,0,0,0.0,,,1,9,0
72,2002,2002-10-20,7,27.196,TAM,@,PHI,L 10-20,*,,,,,,,,,,,,,
73,2002,2002-10-27,8,27.203,TAM,@,CAR,W 12-9,*,,,,,,,,,,,,,
74,2002,2002-11-03,9,27.210,TAM,,MIN,W 38-24,*,0,0,,0,,0,0,1.0,,,0,0,0
75,2002,2002-11-17,10,27.224,TAM,,CAR,W 23-10,*,,,,,,,,,,,,,
76,2002,2002-11-24,11,27.231,TAM,,GNB,W 21-7,*,0,0,,0,,0,0,0.0,,,1,0,0
77,2002,2002-12-01,12,27.238,TAM,@,NOR,L 20-23,*,,,,,,,,,,,,,
78,2002,2002-12-08,13,27.245,TAM,,ATL,W 34-10,*,,,,,,,,,,,,,
79,2002,2002-12-15,14,27.252,TAM,@,DET,W 23-20,*,0,0,,0,,0,0,1.0,,,0,0,0
80,2002,2002-12-23,15,27.260,TAM,,PIT,L 7-17,*,0,0,,0,,0,0,1.0,,,0,0,0
81,2002,2002-12-29,16,27.266,TAM,@,CHI,W 15-0,*,,,,,,,,,,,,,
82,2003,2003-09-08,1,28.154,TAM,@,PHI,W 17-0,*,0,0,,0,,0,0,0.5,,,0,0,0
83,2003,2003-09-14,2,28.160,TAM,,CAR,L 9-12,*,,,,,,,,,,,,,
84,2003,2003-09-21,3,28.167,TAM,@,ATL,W 31-10,*,,,,,,,,,,,,,
85,2003,2003-10-06,4,28.182,TAM,,IND,L 35-38,*,0,0,,0,,1,6,0.0,,,1,29,1
86,2003,2003-10-12,5,28.188,TAM,@,WAS,W 35-13,*,,,,,,,,,,,,,
87,2003,2003-10-19,6,28.195,TAM,@,SFO,L 7-24,*,0,0,,0,,0,0,1.0,,,0,0,0
88,2003,2003-10-26,7,28.202,TAM,,DAL,W 16-0,*,0,0,,0,,0,0,0.0,,,1,24,0
89,2003,2003-11-02,8,28.209,TAM,,NOR,L 14-17,*,,,,,,,,,,,,,
90,2003,2003-11-09,9,28.216,TAM,@,CAR,L 24-27,*,,,,,,,,,,,,,
91,2003,2003-11-16,10,28.223,TAM,,GNB,L 13-20,*,,,,,,,,,,,,,
92,2003,2003-11-24,11,28.231,TAM,,NYG,W 19-13,*,,,,,,,,,,,,,
93,2003,2003-11-30,12,28.237,TAM,@,JAX,L 10-17,*,,,,,,,,,,,,,
94,2003,2003-12-07,13,28.244,TAM,@,NOR,W 14-7,*,,,,,,,,,,,,,
95,2003,2003-12-14,14,28.251,TAM,,HOU,W 16-3,*,,,,,,,,,,,,,
96,2003,2003-12-20,15,28.257,TAM,,ATL,L 28-30,*,,,,,,,,,,,,,
97,2003,2003-12-28,16,28.265,TAM,@,TEN,L 13-33,*,,,,,,,,,,,,,
98,2004,2004-09-12,1,29.158,TAM,@,WAS,L 10-16,*,,,,,,,,,,,,,
99,2004,2004-09-19,2,29.165,TAM,,SEA,L 6-10,*,,,,,,,,,,,,,
100,2004,2004-09-26,3,29.172,TAM,@,OAK,L 20-30,*,,,,,,,,,,,,,
101,2004,2004-10-03,4,29.179,TAM,,DEN,L 13-16,*,,,,,,,,,,,,,
102,2004,2004-10-10,5,29.186,TAM,@,NOR,W 20-17,*,,,,,,,,,,,,,
103,2004,2004-10-18,6,29.194,TAM,@,STL,L 21-28,*,,,,,,,,,,,,,
104,2004,2004-10-24,7,29.200,TAM,,CHI,W 19-7,*,0,0,,0,,0,0,0.0,,,1,23,0
105,2004,2004-11-07,8,29.214,TAM,,KAN,W 34-31,*,0,0,,0,,0,0,1.0,,,0,0,0
106,2004,2004-11-14,9,29.221,TAM,@,ATL,L 14-24,*,0,0,,0,,0,0,0.0,,,1,0,0
107,2004,2004-11-21,10,29.228,TAM,,SFO,W 35-3,*,0,0,,0,,0,0,1.0,,,0,0,0
108,2004,2004-11-28,11,29.235,TAM,@,CAR,L 14-21,*,,,,,,,,,,,,,
109,2004,2004-12-05,12,29.242,TAM,,ATL,W 27-0,*,,,,,,,,,,,,,
110,2004,2004-12-12,13,29.249,TAM,@,SDG,L 24-31,*,0,0,,0,,0,0,0.0,,,1,0,0
111,2004,2004-12-19,14,29.256,TAM,,NOR,L 17-21,*,0,0,,0,,0,0,1.0,,,0,0,0
112,2004,2004-12-26,15,29.263,TAM,,CAR,L 20-37,*,,,,,,,,,,,,,
113,2004,2005-01-02,16,29.270,TAM,@,ARI,L 7-12,*,,,,,,,,,,,,,
114,2005,2005-09-11,1,30.157,TAM,@,MIN,W 24-13,*,,,,,,,,,,,,,
115,2005,2005-09-18,2,30.164,TAM,,BUF,W 19-3,*,,,,,,,,,,,,,
116,2005,2005-09-25,3,30.171,TAM,@,GNB,W 17-16,*,,,,,,,,,,,,,
117,2005,2005-10-02,4,30.178,TAM,,DET,W 17-13,*,0,0,,0,,0,0,1.0,,,0,0,0
118,2005,2005-10-09,5,30.185,TAM,@,NYJ,L 12-14,*,0,0,,0,,0,0,0.0,,,1,0,0
119,2005,2005-10-16,6,30.192,TAM,,MIA,W 27-13,*,,,,,,,,,,,,,
120,2005,2005-10-30,7,30.206,TAM,@,SFO,L 10-15,*,,,,,,,,,,,,,
121,2005,2005-11-06,8,30.213,TAM,,CAR,L 14-34,*,,,,,,,,,,,,,
122,2005,2005-11-13,9,30.220,TAM,,WAS,W 36-35,*,,,,,,,,,,,,,
123,2005,2005-11-20,10,30.227,TAM,@,ATL,W 30-27,*,,,,,,,,,,,,,
124,2005,2005-11-27,11,30.234,TAM,,CHI,L 10-13,*,,,,,,,,,,,,,
125,2005,2005-12-04,12,30.241,TAM,@,NOR,W 10-3,*,0,0,,0,,0,0,0.0,,,3,70,0
126,2005,2005-12-11,13,30.248,TAM,@,CAR,W 20-10,*,0,0,,0,,0,0,1.0,,,1,35,0
127,2005,2005-12-17,14,30.254,TAM,@,NWE,L 0-28,*,,,,,,,,,,,,,
128,2005,2005-12-24,15,30.261,TAM,,ATL,W 27-24,*,,,,,,,,,,,,,
129,2005,2006-01-01,16,30.269,TAM,,NOR,W 27-13,*,,,,,,,,,,,,,
130,2006,2006-09-10,1,31.156,TAM,,BAL,L 0-27,*,,,,,,,,,,,,,
131,2006,2006-09-17,2,31.163,TAM,@,ATL,L 3-14,*,,,,,,,,,,,,,
132,2006,2006-09-24,3,31.170,TAM,,CAR,L 24-26,*,1,8,8.00,0,,0,0,0.0,,,0,0,0
133,2006,2006-10-08,4,31.184,TAM,@,NOR,L 21-24,*,,,,,,,,,,,,,
134,2006,2006-10-15,5,31.191,TAM,,CIN,W 14-13,*,,,,,,,,,,,,,
135,2006,2006-10-22,6,31.198,TAM,,PHI,W 23-21,*,0,0,,0,,2,12,0.0,,,2,103,2
136,2006,2006-10-29,7,31.205,TAM,@,NYG,L 3-17,*,,,,,,,,,,,,,
137,2006,2006-11-05,8,31.212,TAM,,NOR,L 14-31,*,,,,,,,,,,,,,
138,2006,2006-11-13,9,31.220,TAM,@,CAR,L 10-24,*,1,-1,-1.00,0,,0,0,0.0,,,1,0,0
139,2006,2006-11-19,10,31.226,TAM,,WAS,W 20-17,*,,,,,,,,,,,,,
140,2006,2006-11-23,11,31.230,TAM,@,DAL,L 10-38,*,,,,,,,,,,,,,
141,2006,2006-12-03,12,31.240,TAM,@,PIT,L 3-20,*,,,,,,,,,,,,,
142,2006,2006-12-10,13,31.247,TAM,,ATL,L 6-17,*,,,,,,,,,,,,,
143,2006,2006-12-17,14,31.254,TAM,@,CHI,L 31-34,*,,,,,,,,,,,,,
144,2006,2006-12-24,15,31.261,TAM,@,CLE,W 22-7,*,,,,,,,,,,,,,
145,2006,2006-12-31,16,31.268,TAM,,SEA,L 7-23,*,,,,,,,,,,,,,
146,2007,2007-09-09,1,32.155,TAM,@,SEA,L 6-20,*,,,,,,,,,,,,,
147,2007,2007-09-16,2,32.162,TAM,,NOR,W 31-14,*,,,,,,,,,,,,,
148,2007,2007-09-23,3,32.169,TAM,,STL,W 24-3,*,,,,,,,,,,,,,
149,2007,2007-09-30,4,32.176,TAM,@,CAR,W 20-7,*,,,,,,,,,,,,,
150,2007,2007-10-07,5,32.183,TAM,@,IND,L 14-33,*,,,,,,,,,,,,,
151,2007,2007-10-14,6,32.190,TAM,,TEN,W 13-10,*,,,,,,,,,,,,,
152,2007,2007-10-21,7,32.197,TAM,@,DET,L 16-23,*,,,,,,,,,,,,,
153,2007,2007-10-28,8,32.204,TAM,,JAX,L 23-24,*,,,,,,,,,,,,,
154,2007,2007-11-04,9,32.211,TAM,,ARI,W 17-10,*,,,,,,,,,,,,,
155,2007,2007-11-18,10,32.225,TAM,@,ATL,W 31-7,*,,,,,,,,,,,,,
156,2007,2007-11-25,11,32.232,TAM,,WAS,W 19-13,*,0,0,,0,,0,0,0.0,,,1,3,0
157,2007,2007-12-02,12,32.239,TAM,@,NOR,W 27-23,*,0,0,,0,,0,0,1.0,,,0,0,0
158,2007,2007-12-09,13,32.246,TAM,@,HOU,L 14-28,*,,,,,,,,,,,,,
159,2007,2007-12-16,14,32.253,TAM,,ATL,W 37-3,*,0,0,,0,,1,6,0.0,,,1,29,1
160,2007,2007-12-23,15,32.260,TAM,@,SFO,L 19-21,*,,,,,,,,,,,,,
161,2007,2007-12-30,16,32.267,TAM,,CAR,L 23-31,*,,,,,,,,,,,,,
162,2008,2008-09-07,1,33.153,TAM,@,NOR,L 20-24,*,0,0,,0,,0,0,0.0,3,0,0,0,0
163,2008,2008-09-14,2,33.160,TAM,,ATL,W 24-9,*,0,0,,0,,0,0,0.0,2,0,0,0,0
164,2008,2008-09-21,3,33.167,TAM,@,CHI,W 27-24,*,0,0,,0,,0,0,1.0,6,0,0,0,0
165,2008,2008-09-28,4,33.174,TAM,,GNB,W 30-21,*,0,0,,0,,0,0,0.0,5,1,0,0,0
166,2008,2008-10-05,5,33.181,TAM,@,DEN,L 13-16,*,0,0,,0,,0,0,0.0,7,0,0,0,0
167,2008,2008-10-12,6,33.188,TAM,,CAR,W 27-3,*,0,0,,0,,0,0,0.0,4,1,0,0,0
168,2008,2008-10-19,7,33.195,TAM,,SEA,W 20-10,*,0,0,,0,,0,0,0.0,3,0,0,0,0
169,2008,2008-10-26,8,33.202,TAM,@,DAL,L 9-13,*,0,0,,0,,0,0,0.0,3,1,0,0,0
170,2008,2008-11-02,9,33.209,TAM,@,KAN,W 30-27,*,0,0,,0,,0,0,0.0,1,0,0,0,0
171,2008,2008-11-16,10,33.223,TAM,,MIN,W 19-13,*,0,0,,0,,0,0,1.0,1,2,0,0,0
172,2008,2008-11-23,11,33.230,TAM,@,DET,W 38-20,*,0,0,,0,,1,6,0.0,4,0,2,67,1
173,2008,2008-11-30,12,33.237,TAM,,NOR,W 23-20,*,0,0,,0,,0,0,0.0,7,0,0,0,0
174,2008,2008-12-08,13,33.245,TAM,@,CAR,L 23-38,*,0,0,,0,,0,0,0.0,5,0,1,4,0
175,2008,2008-12-14,14,33.251,TAM,@,ATL,L 10-13,*,0,0,,0,,0,0,0.0,5,1,1,-2,0
176,2008,2008-12-21,15,33.258,TAM,,SDG,L 24-41,*,0,0,,0,,0,0,0.0,4,1,0,0,0
177,2008,2008-12-28,16,33.265,TAM,,OAK,L 24-31,*,0,0,,0,,0,0,0.0,5,1,0,0,0
178,2009,2009-09-13,1,34.159,TAM,,DAL,L 21-34,*,0,0,,0,,0,0,1.0,2,0,0,0,0
179,2009,2009-09-20,2,34.166,TAM,@,BUF,L 20-33,*,0,0,,0,,0,0,0.0,8,1,0,0,0
180,2009,2009-09-27,3,34.173,TAM,,NYG,L 0-24,*,0,0,,0,,0,0,0.0,2,0,0,0,0
181,2009,2009-10-04,4,34.180,TAM,@,WAS,L 13-16,*,0,0,,0,,0,0,0.0,2,1,0,0,0
182,2009,2009-10-11,5,34.187,TAM,@,PHI,L 14-33,*,0,0,,0,,0,0,0.0,2,1,0,0,0
183,2009,2009-10-18,6,34.194,TAM,,CAR,L 21-28,*,0,0,,0,,0,0,0.0,6,2,0,0,0
184,2009,2009-10-25,7,34.201,TAM,,NWE,L 7-35,*,0,0,,0,,0,0,0.0,1,1,0,0,0
185,2009,2009-11-08,8,34.215,TAM,,GNB,W 38-28,*,0,0,,0,,0,0,0.0,5,0,0,0,0
186,2009,2009-11-15,9,34.222,TAM,@,MIA,L 23-25,*,0,0,,0,,0,0,0.0,4,0,0,0,0
187,2009,2009-11-22,10,34.229,TAM,,NOR,L 7-38,*,0,0,,0,,0,0,0.0,6,0,0,0,0
188,2009,2009-11-29,11,34.236,TAM,@,ATL,L 17-20,*,0,0,,0,,0,0,1.0,5,0,0,0,0
189,2009,2009-12-06,12,34.243,TAM,@,CAR,L 6-16,*,0,0,,0,,0,0,0.0,4,1,0,0,0
190,2009,2009-12-13,13,34.250,TAM,,NYJ,L 3-26,*,0,0,,0,,0,0,0.0,5,0,0,0,0
191,2009,2009-12-20,14,34.257,TAM,@,SEA,W 24-7,*,0,0,,0,,0,0,0.0,7,0,0,0,0
192,2009,2009-12-27,15,34.264,TAM,@,NOR,W 20-17,*,0,0,,0,,0,0,0.0,8,1,0,0,0
193,2009,2010-01-03,16,34.271,TAM,,ATL,L 10-20,*,0,0,,0,,0,0,0.0,2,0,0,0,0
194,2010,2010-09-12,1,35.158,TAM,,CLE,W 17-14,*,0,0,,0,,0,0,0.0,2,2,1,64,0
195,2010,2010-09-19,2,35.165,TAM,@,CAR,W 20-7,*,0,0,,0,,0,0,0.0,3,2,1,5,0
196,2010,2010-09-26,3,35.172,TAM,,PIT,L 13-38,*,0,0,,0,,0,0,0.0,8,1,0,0,0
197,2010,2010-10-10,4,35.186,TAM,@,CIN,W 24-21,*,0,0,,0,,0,0,0.0,4,1,0,0,0
198,2010,2010-10-17,5,35.193,TAM,,NOR,L 6-31,*,0,0,,0,,0,0,0.0,7,1,0,0,0
199,2010,2010-10-24,6,35.200,TAM,,STL,W 18-17,*,0,0,,0,,0,0,0.0,9,1,0,0,0
200,2010,2010-10-31,7,35.207,TAM,@,ARI,W 38-35,*,0,0,,0,,0,0,0.0,2,0,0,0,0
201,2010,2010-11-07,8,35.214,TAM,@,ATL,L 21-27,*,0,0,,0,,0,0,0.0,3,2,0,0,0
202,2010,2010-11-14,9,35.221,TAM,,CAR,W 31-16,*,0,0,,0,,0,0,1.0,5,0,0,0,0
203,2010,2010-11-21,10,35.228,TAM,@,SFO,W 21-0,*,0,0,,0,,0,0,0.0,1,0,1,29,0
204,2010,2010-11-28,11,35.235,TAM,@,BAL,L 10-17,*,0,0,,0,,0,0,0.0,2,1,0,0,0
205,2010,2010-12-05,12,35.242,TAM,,ATL,L 24-28,*,0,0,,0,,0,0,0.0,1,0,0,0,0
206,2010,2010-12-12,13,35.249,TAM,@,WAS,W 17-16,*,0,0,,0,,0,0,0.0,5,5,0,0,0
207,2010,2010-12-19,14,35.256,TAM,,DET,L 20-23,*,0,0,,0,,0,0,0.0,9,0,0,0,0
208,2010,2010-12-26,15,35.263,TAM,,SEA,W 38-15,*,0,0,,0,,0,0,0.0,1,0,0,0,0
209,2010,2011-01-02,16,35.270,TAM,@,NOR,W 23-13,*,0,0,,0,,0,0,0.0,3,0,0,0,0
210,2011,2011-09-11,1,36.157,TAM,,DET,L 20-27,*,0,0,,0,,0,0,0.0,6,1,0,0,0
211,2011,2011-09-18,2,36.164,TAM,@,MIN,W 24-20,*,0,0,,0,,0,0,0.0,3,0,0,0,0
212,2011,2011-09-25,3,36.171,TAM,,ATL,W 16-13,*,0,0,,0,,0,0,0.0,4,0,1,0,0
213,2011,2011-10-03,4,36.179,TAM,,IND,W 24-17,*,0,0,,0,,0,0,0.0,4,0,0,0,0
214,2011,2011-10-09,5,36.185,TAM,@,SFO,L 3-48,*,0,0,,0,,0,0,0.0,1,0,0,0,0
215,2011,2011-10-16,6,36.192,TAM,,NOR,W 26-20,*,0,0,,0,,0,0,0.0,6,1,0,0,0
216,2011,2011-10-23,7,36.199,TAM,,CHI,L 18-24,*,0,0,,0,1,0,2,1.0,5,0,0,0,0
217,2011,2011-11-06,8,36.213,TAM,@,NOR,L 16-27,*,0,0,,0,,0,0,0.0,3,3,1,0,0
218,2011,2011-11-13,9,36.220,TAM,,HOU,L 9-37,*,0,0,,0,,0,0,0.0,6,1,0,0,0
219,2011,2011-11-20,10,36.227,TAM,@,GNB,L 26-35,*,0,0,,0,,0,0,0.0,5,2,0,0,0
220,2011,2011-11-27,11,36.234,TAM,@,TEN,L 17-23,*,0,0,,0,,0,0,0.0,6,1,0,0,0
221,2011,2011-12-04,12,36.241,TAM,,CAR,L 19-38,*,0,0,,0,,0,0,0.0,2,1,0,0,0
222,2011,2011-12-11,13,36.248,TAM,@,JAX,L 14-41,*,0,0,,0,,0,0,0.0,5,0,1,12,0
223,2011,2011-12-17,14,36.254,TAM,,DAL,L 15-31,*,0,0,,0,,0,0,0.0,6,1,0,0,0
224,2011,2011-12-24,15,36.261,TAM,@,CAR,L 16-48,*,0,0,,0,,0,0,0.0,1,0,0,0,0
225,2011,2012-01-01,16,36.269,TAM,@,ATL,L 24-45,*,0,0,,0,,0,0,0.0,3,1,0,0,0
226,2012,2012-09-09,1,37.155,TAM,,CAR,W 16-10,*,0,0,,0,,0,0,1.0,3,2,1,24,0
227,2012,2012-09-16,2,37.162,TAM,@,NYG,L 34-41,*,0,0,,0,,0,0,0.0,3,1,0,0,0
228,2012,2012-09-23,3,37.169,TAM,@,DAL,L 10-16,*,0,0,,0,,0,0,0.0,4,0,0,0,0
229,2012,2012-09-30,4,37.176,TAM,,WAS,L 22-24,*,0,0,,0,,0,0,0.0,3,1,0,0,0
230,2012,2012-10-14,5,37.190,TAM,,KAN,W 38-10,*,0,0,,0,,0,6,0.0,6,1,1,78,1
231,2012,2012-10-21,6,37.197,TAM,,NOR,L 28-35,*,0,0,,0,,0,0,0.0,4,2,1,30,0
232,2012,2012-10-25,7,37.201,TAM,@,MIN,W 36-17,*,0,0,,0,,0,0,0.0,8,1,0,0,0
233,2012,2012-11-04,8,37.211,TAM,@,OAK,W 42-32,*,0,0,,0,,0,0,0.0,4,2,0,0,0
234,2012,2012-11-11,9,37.218,TAM,,SDG,W 34-24,*,0,0,,0,,0,0,0.0,4,1,0,0,0
235,2012,2012-11-18,10,37.225,TAM,@,CAR,W 27-21,*,0,0,,0,,0,0,0.0,2,2,0,0,0
236,2012,2012-11-25,11,37.232,TAM,,ATL,L 23-24,*,0,0,,0,,0,0,0.0,6,2,1,28,0
237,2012,2012-12-02,12,37.239,TAM,@,DEN,L 23-31,*,0,0,,0,,0,0,0.0,4,2,0,0,0
238,2012,2012-12-09,13,37.246,TAM,,PHI,L 21-23,*,0,0,,0,,0,0,0.0,9,0,0,0,0
239,2012,2012-12-16,14,37.253,TAM,@,NOR,L 0-41,*,0,0,,0,,0,0,0.0,4,3,0,0,0
240,2012,2012-12-23,15,37.260,TAM,,STL,L 13-28,*,0,0,,0,,0,0,0.0,2,1,0,0,0
241,2012,2012-12-30,16,37.267,TAM,@,ATL,W 22-17,*,0,0,,0,,0,0,0.0,4,0,0,0,0
