ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,all_td,scoring,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,1972,1972-09-17,1,23.241,CLE,,GNB,L 10-26,,,,,,,,,,,,,,
2,1972,1972-09-24,2,23.248,CLE,@,PHI,W 27-17,,,,,,,,,,,,,,
3,1972,1972-10-22,6,23.276,CLE,@,HOU,W 23-17,,,,,,,,,,,,,,
4,1972,1972-10-29,7,23.283,CLE,@,DEN,W 27-20,1,19,19.00,1,0,0,,0,1,6,0,0,,0
5,1972,1972-11-05,8,23.290,CLE,,HOU,W 20-0,,,,,,,,,,,,,,
6,1972,1972-11-13,9,23.298,CLE,@,SDG,W 21-17,,,,,,,,,,,,,,
7,1972,1972-11-26,11,23.311,CLE,,BUF,W 27-10,,,,,,,,,,,,,,
8,1972,1972-12-17,14,23.332,CLE,@,NYJ,W 26-10,,,,,,,,,,,,,,
9,1973,1973-12-08,13,24.322,GNB,,MIN,L 7-31,1,23,23.00,0,0,0,,0,0,0,5,161,32.20,0
10,1973,1973-12-16,14,24.330,GNB,@,CHI,W 21-0,0,0,,0,1,11,11.00,0,0,0,7,212,30.29,0
