ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1965,1965-09-19,2,24.233,SDG,@,OAK,W 17-6,0,0,,0,1,11,11.00,0,0,0,,0,0,0
2,1965,1965-09-26,3,24.240,SDG,,KAN,T 10-10,0,0,,0,1,21,21.00,0,0,0,,0,0,0
3,1965,1965-10-03,4,24.247,SDG,,HOU,W 31-14,0,0,,0,1,12,12.00,0,0,0,,0,0,0
4,1965,1965-10-16,5,24.260,NYJ,,OAK,T 24-24,0,0,,0,0,0,,0,1,7,7.00,0,0,0
5,1965,1965-10-23,6,24.267,NYJ,,SDG,L 9-34,0,0,,0,4,86,21.50,0,0,0,,0,0,0
6,1965,1965-10-31,7,24.275,NYJ,,DEN,W 45-10,4,5,1.25,1,0,0,,0,0,0,,0,1,6
7,1965,1965-11-14,9,24.289,NYJ,@,BOS,W 30-20,0,0,,0,1,18,18.00,0,0,0,,0,0,0
8,1965,1965-11-21,10,24.296,NYJ,,HOU,W 41-14,3,20,6.67,1,0,0,,0,0,0,,0,1,6
9,1965,1965-12-04,12,24.309,NYJ,@,SDG,L 7-38,0,0,,0,4,89,22.25,0,0,0,,0,0,0
10,1965,1965-12-12,13,24.317,NYJ,@,OAK,L 14-24,0,0,,0,2,45,22.50,0,0,0,,0,0,0
11,1965,1965-12-19,14,24.324,NYJ,,BUF,W 14-12,0,0,,0,3,73,24.33,0,0,0,,0,0,0
