ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td
1,1999,1999-09-12,1,29.315,OAK,@,GNB,L 24-28,,,,,
2,1999,1999-09-19,2,29.322,OAK,@,MIN,W 22-17,,,,,
3,1999,1999-09-26,3,29.329,OAK,,CHI,W 24-17,,,,,
4,1999,1999-10-03,4,29.336,OAK,@,SEA,L 21-22,,,,,
5,1999,1999-10-10,5,29.343,OAK,,DEN,L 13-16,,,,,
6,1999,1999-10-17,6,29.350,OAK,@,BUF,W 20-14,,1,0,0.00,0
7,1999,1999-10-24,7,29.357,OAK,,NYJ,W 24-23,,,,,
8,1999,1999-10-31,8,29.364,OAK,,MIA,L 9-16,,,,,
9,1999,1999-11-14,9,30.013,OAK,,SDG,W 28-9,*,,,,
10,1999,1999-11-22,10,30.021,OAK,@,DEN,L 21-27,,,,,
11,1999,1999-11-28,11,30.027,OAK,,KAN,L 34-37,,,,,
12,1999,1999-12-05,12,30.034,OAK,,SEA,W 30-21,,,,,
13,1999,1999-12-09,13,30.038,OAK,@,TEN,L 14-21,,,,,
14,1999,1999-12-19,14,30.048,OAK,,TAM,W 45-0,,,,,
15,1999,1999-12-26,15,30.055,OAK,@,SDG,L 20-23,,,,,
16,1999,2000-01-02,16,30.062,OAK,@,KAN,W 41-38,*,,,,
17,2000,2000-09-03,1,30.307,OAK,,SDG,W 9-6,,,,,
18,2000,2000-09-10,2,30.314,OAK,@,IND,W 38-31,,,,,
19,2000,2000-09-17,3,30.321,OAK,,DEN,L 24-33,,,,,
20,2000,2000-09-24,4,30.328,OAK,,CLE,W 36-10,,,,,
21,2000,2000-10-08,5,30.342,OAK,@,SFO,W 34-28,,,,,
22,2000,2000-10-15,6,30.349,OAK,@,KAN,W 20-17,,,,,
23,2000,2000-10-22,7,30.356,OAK,,SEA,W 31-3,,,,,
24,2000,2000-10-29,8,30.363,OAK,@,SDG,W 15-13,,,,,
25,2000,2000-11-05,9,31.004,OAK,,KAN,W 49-31,,,,,
26,2000,2000-11-13,10,31.012,OAK,@,DEN,L 24-27,,,,,
27,2000,2000-11-19,11,31.018,OAK,@,NOR,W 31-22,,,,,
28,2000,2000-11-26,12,31.025,OAK,,ATL,W 41-14,,,,,
29,2000,2000-12-03,13,31.032,OAK,@,PIT,L 20-21,,,,,
30,2000,2000-12-10,14,31.039,OAK,,NYJ,W 31-7,,,,,
31,2000,2000-12-16,15,31.045,OAK,@,SEA,L 24-27,,,,,
32,2000,2000-12-24,16,31.053,OAK,,CAR,W 52-9,,,,,
33,2001,2001-09-09,1,31.312,OAK,@,KAN,W 27-24,,,,,
34,2001,2001-09-23,2,31.326,OAK,@,MIA,L 15-18,,,,,
35,2001,2001-09-30,3,31.333,OAK,,SEA,W 38-14,,,,,
36,2001,2001-10-07,4,31.340,OAK,,DAL,W 28-21,,,,,
37,2001,2001-10-14,5,31.347,OAK,@,IND,W 23-18,,,,,
38,2001,2001-10-28,6,31.361,OAK,@,PHI,W 20-10,,,,,
39,2001,2001-11-05,7,32.004,OAK,,DEN,W 38-28,,,,,
40,2001,2001-11-11,8,32.010,OAK,@,SEA,L 27-34,,,,,
41,2001,2001-11-18,9,32.017,OAK,,SDG,W 34-24,,,,,
42,2001,2001-12-09,12,32.038,OAK,,KAN,W 28-26,,,,,
43,2001,2001-12-15,13,32.044,OAK,@,SDG,W 13-6,,,,,
44,2001,2001-12-22,14,32.051,OAK,,TEN,L 10-13,,,,,
45,2001,2001-12-30,15,32.059,OAK,@,DEN,L 17-23,*,,,,
46,2001,2002-01-06,16,32.066,OAK,,NYJ,L 22-24,,,,,
