ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1961,1961-09-10,1,22.149,DTX,,SDG,L 10-26,3,17,5.67,0,9,40,4.44,0,0,0,,0,0,0,,0,0,,,3,99,33.00,0,0,0,,0,0,0
2,1961,1961-09-24,2,22.163,DTX,@,OAK,W 42-35,0,0,,0,7,42,6.00,0,0,0,,0,0,0,,0,0,,,3,81,27.00,0,0,0,,0,0,0
3,1961,1961-10-01,3,22.170,DTX,,HOU,W 26-21,0,0,,0,9,91,10.11,0,0,0,,0,0,0,,0,0,,,1,30,30.00,0,0,0,,0,0,0
4,1961,1961-10-08,4,22.177,DTX,@,DEN,W 19-12,0,0,,0,11,27,2.45,0,0,0,,0,0,0,,0,0,,,2,31,15.50,0,0,0,,0,0,0
5,1961,1961-10-15,5,22.184,DTX,@,BUF,L 24-27,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,3,91,30.33,0,0,0,,0,0,0
6,1961,1961-10-22,6,22.191,DTX,@,HOU,L 7-38,0,0,,0,2,24,12.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
7,1961,1961-10-29,7,22.198,DTX,,BOS,L 17-18,0,0,,0,1,3,3.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
8,1961,1961-11-03,8,22.203,DTX,@,BOS,L 21-28,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,40,40.00,0,0,0,,0,0,0
9,1961,1961-11-12,9,22.212,DTX,,BUF,L 20-30,2,54,27.00,1,0,0,,0,0,0,,0,0,0,,0,0,,,4,107,26.75,0,0,0,,0,1,6
10,1961,1961-11-19,10,22.219,DTX,@,SDG,L 14-24,1,-1,-1.00,0,4,15,3.75,0,1,1,100.00,9,0,0,104.2,0,0,9.00,9.00,4,91,22.75,0,0,0,,0,0,0
11,1961,1961-11-26,11,22.226,DTX,,OAK,W 43-11,0,0,,0,2,14,7.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
