ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring,def_int,def_int_yds,def_int_td
1,2000,2000-09-03,1,24.161,SFO,@,ATL,L 28-36,*,,,,,,,,,
2,2000,2000-09-10,2,24.168,SFO,,CAR,L 22-38,*,,,,,,,,,
3,2000,2000-09-17,3,24.175,SFO,@,STL,L 24-41,*,,,,,,,,,
4,2000,2000-09-24,4,24.182,SFO,@,DAL,W 41-24,*,,,,,,,,,
5,2000,2000-10-01,5,24.189,SFO,,ARI,W 27-20,*,1,0,0.00,0,0,0,0,0,0
6,2000,2000-10-08,6,24.196,SFO,,OAK,L 28-34,*,,,,,,,,,
7,2000,2000-10-15,7,24.203,SFO,@,GNB,L 28-31,,,,,,,,,,
8,2000,2000-10-22,8,24.210,SFO,@,CAR,L 16-34,*,,,,,,,,,
9,2000,2000-10-29,9,24.217,SFO,,STL,L 24-34,,,,,,,,,,
10,2000,2000-11-05,10,24.224,SFO,@,NOR,L 15-31,,,,,,,,,,
11,2000,2000-11-12,11,24.231,SFO,,KAN,W 21-7,*,,,,,,,,,
12,2000,2000-11-19,12,24.238,SFO,,ATL,W 16-6,,,,,,,,,,
13,2000,2000-12-03,13,24.252,SFO,@,SDG,W 45-17,,,,,,,,,,
14,2000,2000-12-10,14,24.259,SFO,,NOR,L 27-31,*,,,,,,,,,
15,2000,2000-12-17,15,24.266,SFO,,CHI,W 17-0,*,,,,,,,,,
16,2000,2000-12-23,16,24.272,SFO,@,DEN,L 9-38,,,,,,,,,,
17,2001,2001-09-09,1,25.167,SFO,,ATL,W 16-13,*,,,,,,,,,
18,2001,2001-09-23,2,25.181,SFO,,STL,L 26-30,*,0,0,,0,0,0,1,0,0
19,2001,2001-10-01,3,25.189,SFO,@,NYJ,W 19-17,*,,,,,,,,,
20,2001,2001-10-07,4,25.195,SFO,,CAR,W 24-14,*,0,0,,0,0,0,1,0,0
21,2001,2001-10-14,5,25.202,SFO,@,ATL,W 37-31,*,,,,,,,,,
22,2001,2001-10-28,6,25.216,SFO,@,CHI,L 31-37,*,0,0,,0,0,0,1,0,0
23,2001,2001-11-04,7,25.223,SFO,,DET,W 21-13,*,,,,,,,,,
24,2001,2001-11-11,8,25.230,SFO,,NOR,W 28-27,*,,,,,,,,,
25,2001,2001-11-18,9,25.237,SFO,@,CAR,W 25-22,*,,,,,,,,,
26,2001,2001-11-25,10,25.244,SFO,@,IND,W 40-21,*,0,0,,0,0,0,2,9,0
27,2001,2001-12-02,11,25.251,SFO,,BUF,W 35-0,*,0,0,,0,0,0,2,36,0
28,2001,2001-12-09,12,25.258,SFO,@,STL,L 14-27,*,,,,,,,,,
29,2001,2001-12-16,13,25.265,SFO,,MIA,W 21-0,*,,,,,,,,,
30,2001,2001-12-22,14,25.271,SFO,,PHI,W 13-3,*,,,,,,,,,
31,2001,2001-12-30,15,25.279,SFO,@,DAL,L 21-27,*,,,,,,,,,
32,2002,2002-09-05,1,26.163,SFO,@,NYG,W 16-13,*,,,,,,,,,
33,2002,2002-09-15,2,26.173,SFO,,DEN,L 14-24,*,,,,,,,,,
34,2002,2002-09-22,3,26.180,SFO,,WAS,W 20-10,*,,,,,,,,,
35,2002,2002-10-06,4,26.194,SFO,,STL,W 37-13,*,,,,,,,,,
36,2002,2002-10-14,5,26.202,SFO,@,SEA,W 28-21,*,0,0,,0,0,0,1,0,0
