ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring,sacks,tackles_solo,tackles_assists,def_int,def_int_yds,def_int_td
1,2001,2001-09-09,1,21.271,BUF,,NOR,L 6-24,,2,26,13.00,0,0,0,,0,0,0,0.0,,,0,0,0
2,2001,2001-09-23,2,21.285,BUF,@,IND,L 26-42,,3,64,21.33,0,0,0,,0,1,6,0.0,,,1,48,1
3,2001,2001-09-30,3,21.292,BUF,,PIT,L 3-20,,2,43,21.50,0,0,0,,0,0,0,0.0,,,0,0,0
4,2001,2001-10-07,4,21.299,BUF,,NYJ,L 36-42,,3,65,21.67,0,0,0,,0,0,0,0.0,,,0,0,0
5,2001,2001-10-18,5,21.310,BUF,@,JAX,W 13-10,*,1,14,14.00,0,0,0,,0,0,0,0.0,,,0,0,0
6,2001,2001-10-28,6,21.320,BUF,@,SDG,L 24-27,*,5,121,24.20,0,1,4,4.00,0,0,0,0.0,,,0,0,0
7,2001,2001-11-04,7,21.327,BUF,,IND,L 14-30,*,3,54,18.00,0,2,77,38.50,1,1,6,0.0,,,0,0,0
8,2001,2001-11-11,8,21.334,BUF,@,NWE,L 11-21,,3,80,26.67,0,0,0,,0,0,0,0.0,,,0,0,0
9,2001,2001-11-18,9,21.341,BUF,,SEA,L 20-23,*,4,86,21.50,0,0,0,,0,0,0,0.0,,,0,0,0
10,2001,2001-11-25,10,21.348,BUF,,MIA,L 27-34,*,4,75,18.75,0,1,0,0.00,0,0,0,0.0,,,0,0,0
11,2001,2001-12-02,11,21.355,BUF,@,SFO,L 0-35,*,,,,,,,,,,,,,,,,
12,2001,2001-12-09,12,21.362,BUF,,CAR,W 25-24,*,,,,,,,,,,,,,,,,
13,2001,2001-12-16,13,22.004,BUF,,NWE,L 9-12,*,0,0,,0,0,0,,0,0,0,1.0,,,0,0,0
14,2001,2001-12-23,14,22.011,BUF,@,ATL,L 30-33,*,0,0,,0,0,0,,0,0,0,0.0,,,1,0,0
15,2001,2001-12-30,15,22.018,BUF,@,NYJ,W 14-9,*,0,0,,0,0,0,,0,0,0,0.0,,,1,0,0
16,2001,2002-01-06,16,22.025,BUF,@,MIA,L 7-34,*,,,,,,,,,,,,,,,,
17,2002,2002-09-08,1,22.270,BUF,,NYJ,L 31-37,*,,,,,,,,,,,,,,,,
18,2002,2002-09-15,2,22.277,BUF,@,MIN,W 45-39,*,,,,,,,,,,,,,,,,
19,2002,2002-09-22,3,22.284,BUF,@,DEN,L 23-28,*,,,,,,,,,,,,,,,,
20,2002,2002-09-29,4,22.291,BUF,,CHI,W 33-27,*,0,0,,0,1,6,6.00,0,0,0,0.0,,,0,0,0
21,2002,2002-10-06,5,22.298,BUF,,OAK,L 31-49,*,,,,,,,,,,,,,,,,
22,2002,2002-10-13,6,22.305,BUF,@,HOU,W 31-24,*,,,,,,,,,,,,,,,,
23,2002,2002-10-20,7,22.312,BUF,@,MIA,W 23-10,*,0,0,,0,0,0,,0,1,6,0.0,,,3,39,1
24,2002,2002-10-27,8,22.319,BUF,,DET,W 24-17,*,,,,,,,,,,,,,,,,
25,2002,2002-11-03,9,22.326,BUF,,NWE,L 7-38,*,,,,,,,,,,,,,,,,
26,2002,2002-11-17,10,22.340,BUF,@,KAN,L 16-17,*,,,,,,,,,,,,,,,,
27,2002,2002-11-24,11,22.347,BUF,@,NYJ,L 13-31,*,,,,,,,,,,,,,,,,
28,2002,2002-12-01,12,22.354,BUF,,MIA,W 38-21,*,0,0,,0,0,0,,0,0,0,0.0,,,1,1,0
29,2002,2002-12-08,13,22.361,BUF,@,NWE,L 17-27,*,,,,,,,,,,,,,,,,
30,2002,2002-12-15,14,23.003,BUF,,SDG,W 20-13,*,,,,,,,,,,,,,,,,
31,2002,2002-12-22,15,23.010,BUF,@,GNB,L 0-10,*,0,0,,0,1,0,0.00,0,0,0,0.0,,,1,0,0
32,2002,2002-12-29,16,23.017,BUF,,CIN,W 27-9,*,0,0,,0,2,14,7.00,0,0,0,0.0,,,1,42,0
33,2003,2003-09-07,1,23.269,BUF,,NWE,W 31-0,*,0,0,,0,0,0,,0,0,0,0.0,,,1,0,0
34,2003,2003-09-14,2,23.276,BUF,@,JAX,W 38-17,*,,,,,,,,,,,,,,,,
35,2003,2003-09-21,3,23.283,BUF,@,MIA,L 7-17,*,0,0,,0,0,0,,0,1,6,0.0,,,2,54,1
36,2003,2003-09-28,4,23.290,BUF,,PHI,L 13-23,*,,,,,,,,,,,,,,,,
37,2003,2003-10-05,5,23.297,BUF,,CIN,W 22-16,*,,,,,,,,,,,,,,,,
38,2003,2003-10-12,6,23.304,BUF,@,NYJ,L 3-30,*,,,,,,,,,,,,,,,,
39,2003,2003-10-19,7,23.311,BUF,,WAS,W 24-7,*,,,,,,,,,,,,,,,,
40,2003,2003-10-26,8,23.318,BUF,@,KAN,L 5-38,*,,,,,,,,,,,,,,,,
