ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,sacks,def_int,def_int_yds,def_int_td
1,1985,1985-09-08,1,21.317,NWE,,GNB,W 26-20,0,0,,0,,,,
2,1985,1985-09-15,2,21.324,NWE,@,CHI,L 7-20,0,0,,0,,,,
3,1985,1985-09-22,3,21.331,NWE,@,BUF,W 17-14,0,0,,0,,,,
4,1985,1985-09-29,4,21.338,NWE,,RAI,L 20-35,0,0,,0,,,,
5,1985,1985-10-06,5,21.345,NWE,@,CLE,L 20-24,0,0,,0,,,,
6,1985,1985-10-13,6,21.352,NWE,,BUF,W 14-3,0,0,,0,,,,
7,1985,1985-10-20,7,21.359,NWE,,NYJ,W 20-13,0,0,,0,,,,
8,1985,1985-10-27,8,22.001,NWE,@,TAM,W 32-14,0,0,,0,,,,
9,1985,1985-11-03,9,22.008,NWE,,MIA,W 17-13,0,0,,0,,,,
10,1985,1985-11-10,10,22.015,NWE,,IND,W 34-15,0,0,,0,,,,
11,1985,1985-11-17,11,22.022,NWE,@,SEA,W 20-13,0,0,,0,,,,
12,1985,1985-11-24,12,22.029,NWE,@,NYJ,L 13-16,0,0,,0,,,,
13,1985,1985-12-01,13,22.036,NWE,@,IND,W 38-31,1,-3,-3.00,0,0.0,0,0,0
14,1985,1985-12-08,14,22.043,NWE,,DET,W 23-6,0,0,,0,,,,
15,1985,1985-12-16,15,22.051,NWE,@,MIA,L 27-30,0,0,,0,,,,
16,1985,1985-12-22,16,22.057,NWE,,CIN,W 34-23,0,0,,0,,,,
17,1986,1986-09-07,1,22.316,NWE,,IND,W 33-3,,,,,,,,
18,1986,1986-09-11,2,22.320,NWE,@,NYJ,W 20-6,,,,,,,,
19,1986,1986-09-21,3,22.330,NWE,,SEA,L 31-38,,,,,,,,
20,1986,1986-09-28,4,22.337,NWE,@,DEN,L 20-27,,,,,,,,
21,1986,1986-10-05,5,22.344,NWE,,MIA,W 34-7,,,,,,,,
22,1986,1986-10-12,6,22.351,NWE,,NYJ,L 24-31,,,,,,,,
23,1986,1986-10-19,7,22.358,NWE,@,PIT,W 34-0,,,,,,,,
24,1986,1986-10-26,8,23.000,NWE,@,BUF,W 23-3,,,,,,,,
25,1986,1986-11-02,9,23.007,NWE,,ATL,W 25-17,,,,,,,,
26,1986,1986-11-09,10,23.014,NWE,@,IND,W 30-21,,,,,,,,
27,1986,1986-11-16,11,23.021,NWE,@,RAM,W 30-28,,,,,,,,
28,1986,1986-11-23,12,23.028,NWE,,BUF,W 22-19,,,,,,,,
29,1986,1986-11-30,13,23.035,NWE,@,NOR,W 21-20,,,,,,,,
30,1986,1986-12-07,14,23.042,NWE,,CIN,L 7-31,,,,,,,,
31,1986,1986-12-14,15,23.049,NWE,,SFO,L 24-29,,,,,,,,
32,1986,1986-12-22,16,23.057,NWE,@,MIA,W 34-27,,,,,,,,
33,1987,1987-09-13,1,23.322,NWE,,MIA,W 28-21,,,,,,,,
34,1987,1987-09-21,2,23.330,NWE,@,NYJ,L 24-43,,,,,,,,
35,1987,1987-10-25,6,23.364,NWE,@,IND,L 16-30,,,,,,,,
36,1987,1987-11-01,7,24.006,NWE,,RAI,W 26-23,,,,,,,,
37,1987,1987-11-08,8,24.013,NWE,@,NYG,L 10-17,,,,,,,,
38,1987,1987-11-15,9,24.020,NWE,,DAL,L 17-23,,,,,,,,
39,1987,1987-11-22,10,24.027,NWE,,IND,W 24-0,0,0,,0,0.0,2,3,0
40,1987,1987-11-29,11,24.034,NWE,,PHI,L 31-34,0,0,,0,0.5,0,0,0
41,1987,1987-12-06,12,24.041,NWE,@,DEN,L 20-31,,,,,,,,
42,1987,1987-12-13,13,24.048,NWE,,NYJ,W 42-20,,,,,,,,
43,1987,1987-12-20,14,24.055,NWE,@,BUF,W 13-7,,,,,,,,
44,1987,1987-12-28,15,24.063,NWE,@,MIA,W 24-10,,,,,,,,
45,1988,1988-09-04,1,24.314,NWE,,NYJ,W 28-3,0,0,,0,,,,
46,1988,1988-09-11,2,24.321,NWE,@,MIN,L 6-36,0,0,,0,,,,
47,1988,1988-09-18,3,24.328,NWE,,BUF,L 14-16,0,0,,0,,,,
48,1988,1988-09-25,4,24.335,NWE,@,HOU,L 6-31,0,0,,0,,,,
49,1988,1988-10-02,5,24.342,NWE,,IND,W 21-17,0,0,,0,,,,
50,1988,1988-10-09,6,24.349,NWE,@,GNB,L 3-45,0,0,,0,,,,
51,1988,1988-10-16,7,24.356,NWE,,CIN,W 27-21,0,0,,0,0.0,1,0,0
52,1988,1988-10-23,8,24.363,NWE,@,BUF,L 20-23,0,0,,0,,,,
53,1988,1988-10-30,9,25.004,NWE,,CHI,W 30-7,0,0,,0,,,,
54,1988,1988-11-06,10,25.011,NWE,,MIA,W 21-10,0,0,,0,,,,
55,1988,1988-11-13,11,25.018,NWE,@,NYJ,W 14-13,0,0,,0,,,,
56,1988,1988-11-20,12,25.025,NWE,@,MIA,W 6-3,0,0,,0,,,,
57,1988,1988-11-27,13,25.032,NWE,@,IND,L 21-24,0,0,,0,,,,
58,1988,1988-12-04,14,25.039,NWE,,SEA,W 13-7,0,0,,0,,,,
59,1988,1988-12-11,15,25.046,NWE,,TAM,W 10-7,0,0,,0,,,,
60,1988,1988-12-17,16,25.052,NWE,@,DEN,L 10-21,0,0,,0,,,,
