ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,2010,2010-09-12,1,24.180,NWE,,CIN,W 38-24,,1,43,43.00,0
2,2010,2010-09-19,2,24.187,NWE,@,NYJ,L 14-28,,3,146,48.67,0
3,2010,2010-09-26,3,24.194,NWE,,BUF,W 38-30,,3,113,37.67,0
4,2010,2010-10-04,4,24.202,NWE,@,MIA,W 41-14,,3,123,41.00,0
5,2010,2010-10-17,5,24.215,NWE,,BAL,W 23-20,,6,282,47.00,0
6,2010,2010-10-24,6,24.222,NWE,@,SDG,W 23-20,,4,153,38.25,0
7,2010,2010-10-31,7,24.229,NWE,,MIN,W 28-18,,5,237,47.40,0
8,2010,2010-11-07,8,24.236,NWE,@,CLE,L 14-34,,5,207,41.40,0
9,2010,2010-11-14,9,24.243,NWE,@,PIT,W 39-26,,5,201,40.20,0
10,2010,2010-11-21,10,24.250,NWE,,IND,W 31-28,,3,132,44.00,0
11,2010,2010-11-25,11,24.254,NWE,@,DET,W 45-24,,3,153,51.00,0
12,2010,2010-12-06,12,24.265,NWE,,NYJ,W 45-3,,3,140,46.67,0
13,2010,2010-12-12,13,24.271,NWE,@,CHI,W 36-7,,2,71,35.50,0
14,2010,2010-12-19,14,24.278,NWE,,GNB,W 31-27,,5,202,40.40,0
15,2010,2010-12-26,15,24.285,NWE,@,BUF,W 34-3,,5,206,41.20,0
16,2010,2011-01-02,16,24.292,NWE,,MIA,W 38-7,,2,96,48.00,0
17,2011,2011-09-12,1,25.180,NWE,@,MIA,W 38-24,,4,152,38.00,0
18,2011,2011-09-18,2,25.186,NWE,,SDG,W 35-21,,2,85,42.50,0
19,2011,2011-09-25,3,25.193,NWE,@,BUF,L 31-34,,3,140,46.67,0
20,2011,2011-10-02,4,25.200,NWE,@,OAK,W 31-19,,3,147,49.00,0
21,2011,2011-10-09,5,25.207,NWE,,NYJ,W 30-21,,4,205,51.25,0
22,2011,2011-10-16,6,25.214,NWE,,DAL,W 20-16,,2,96,48.00,0
23,2011,2011-10-30,7,25.228,NWE,@,PIT,L 17-25,,4,168,42.00,0
24,2011,2011-11-06,8,25.235,NWE,,NYG,L 20-24,,5,225,45.00,0
25,2011,2011-11-13,9,25.242,NWE,@,NYJ,W 37-16,,4,187,46.75,0
26,2011,2011-11-21,10,25.250,NWE,,KAN,W 34-3,,4,203,50.75,0
27,2011,2011-11-27,11,25.256,NWE,@,PHI,W 38-20,,3,145,48.33,0
28,2011,2011-12-04,12,25.263,NWE,,IND,W 31-24,,4,187,46.75,0
29,2011,2011-12-11,13,25.270,NWE,@,WAS,W 34-27,,3,135,45.00,0
30,2011,2011-12-18,14,25.277,NWE,@,DEN,W 41-23,,4,162,40.50,0
31,2011,2011-12-24,15,25.283,NWE,,MIA,W 27-24,,6,314,52.33,0
32,2011,2012-01-01,16,25.291,NWE,,BUF,W 49-21,,2,97,48.50,0
33,2012,2012-09-09,1,26.177,NWE,@,TEN,W 34-13,,4,154,38.50,0
34,2012,2012-09-16,2,26.184,NWE,,ARI,L 18-20,,5,172,34.40,1
35,2012,2012-09-23,3,26.191,NWE,@,BAL,L 30-31,,4,172,43.00,0
36,2012,2012-09-30,4,26.198,NWE,@,BUF,W 52-28,,3,119,39.67,0
37,2012,2012-10-07,5,26.205,NWE,,DEN,W 31-21,,3,129,43.00,0
38,2012,2012-10-14,6,26.212,NWE,@,SEA,L 23-24,,3,133,44.33,0
39,2012,2012-10-21,7,26.219,NWE,,NYJ,W 29-26,,6,269,44.83,0
40,2012,2012-10-28,8,26.226,NWE,@,STL,W 45-7,,2,113,56.50,0
41,2012,2012-11-11,9,26.240,NWE,,BUF,W 37-31,,2,69,34.50,0
42,2012,2012-11-18,10,26.247,NWE,,IND,W 59-24,,2,114,57.00,0
43,2012,2012-11-22,11,26.251,NWE,@,NYJ,W 49-19,,3,125,41.67,0
44,2012,2012-12-02,12,26.261,NWE,@,MIA,W 23-16,,3,131,43.67,0
45,2012,2012-12-10,13,26.269,NWE,,HOU,W 42-14,,5,240,48.00,0
46,2012,2012-12-16,14,26.275,NWE,,SFO,L 34-41,,5,228,45.60,0
47,2012,2012-12-23,15,26.282,NWE,@,JAX,W 23-16,,5,239,47.80,0
48,2012,2012-12-30,16,26.289,NWE,,MIA,W 28-0,,5,178,35.60,0
49,2013,2013-09-08,1,27.176,PIT,,TEN,L 9-16,,7,309,44.14,0
50,2013,2013-09-16,2,27.184,PIT,@,CIN,L 10-20,,7,326,46.57,0
51,2013,2013-09-22,3,27.190,PIT,,CHI,L 23-40,,2,59,29.50,0
52,2013,2013-09-29,4,27.197,PIT,@,MIN,L 27-34,,4,143,35.75,0
53,2013,2013-10-13,5,27.211,PIT,@,NYJ,W 19-6,,6,273,45.50,0
54,2013,2013-10-20,6,27.218,PIT,,BAL,W 19-16,,1,36,36.00,0
55,2013,2013-10-27,7,27.225,PIT,@,OAK,L 18-21,,7,299,42.71,1
