ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,all_td,scoring
1,1998,1998-11-15,10,23.232,CHI,@,DET,L 3-26,,,,,,,,,,,0.0%,,,,,,,,,,,,,,
2,1998,1998-11-22,11,23.239,CHI,@,ATL,L 13-20,,2,5,2.50,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,0,,,0,0
3,1998,1998-11-29,12,23.246,CHI,,TAM,L 17-31,,7,31,4.43,0,1,1,3,3.00,0,100.0%,3.00,0,0,,0,0,0,,0,0,,,0,0
4,1998,1998-12-06,13,23.253,CHI,@,MIN,L 22-48,,4,11,2.75,0,5,2,36,18.00,0,40.0%,7.20,0,0,,0,0,0,,0,0,,,0,0
5,1998,1998-12-20,15,23.267,CHI,,BAL,W 24-3,,23,163,7.09,1,5,3,11,3.67,0,60.0%,2.20,0,0,,0,0,0,,0,0,,,1,6
6,1998,1998-12-27,16,23.274,CHI,,GNB,L 13-16,,22,60,2.73,0,3,2,27,13.50,1,66.7%,9.00,0,0,,0,0,0,,0,0,,,1,6
7,1999,1999-09-26,3,24.182,CHI,@,OAK,L 17-24,,,,,,,,,,,0.0%,,,,,,,,,,,,,,
8,1999,1999-10-03,4,24.189,CHI,,NOR,W 14-10,,1,4,4.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0
9,1999,1999-10-10,5,24.196,CHI,@,MIN,W 24-22,,1,1,1.00,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0
10,1999,1999-10-31,8,24.217,CHI,@,WAS,L 22-48,,,,,,,,,,,0.0%,,,,,,,,,,,,,,
11,1999,1999-11-07,9,24.224,CHI,@,GNB,W 14-13,,4,17,4.25,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0
12,1999,1999-11-14,10,24.231,CHI,,MIN,L 24-27,,1,2,2.00,0,1,1,2,2.00,0,100.0%,2.00,0,0,,0,0,0,,,,,,0,0
13,1999,1999-11-21,11,24.238,CHI,@,SDG,W 23-20,*,5,21,4.20,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0
14,1999,1999-11-25,12,24.242,CHI,@,DET,L 17-21,*,2,1,0.50,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0
15,1999,1999-12-05,13,24.252,CHI,,GNB,L 19-35,,,,,,0,,,,,0.0%,,,,,,,,,,,,,,
16,1999,1999-12-19,14,24.266,CHI,,DET,W 28-10,,,,,,0,,,,,0.0%,,,,,,,,,,,,,,
17,1999,1999-12-26,15,24.273,CHI,@,STL,L 12-34,,6,30,5.00,0,5,5,63,12.60,0,100.0%,12.60,0,0,,0,0,0,,,,,,0,0
18,1999,2000-01-02,16,24.280,CHI,,TAM,L 6-20,*,12,43,3.58,0,5,3,26,8.67,0,60.0%,5.20,0,0,,0,0,0,,,,,,0,0
19,2000,2000-09-03,1,25.159,CHI,@,MIN,L 27-30,,9,60,6.67,0,2,1,17,17.00,0,50.0%,8.50,0,0,,0,0,0,,,,,,0,0
