ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,all_td,scoring
1,1988,1988-09-04,1,22.307,RAM,@,GNB,W 34-7,4,13,3.25,0,,2,43,21.50,0,,,0,0,,0,0,0
2,1988,1988-09-11,2,22.314,RAM,,DET,W 17-10,5,31,6.20,0,,3,17,5.67,0,,,0,0,,0,0,0
3,1988,1988-09-18,3,22.321,RAM,@,RAI,W 22-17,3,12,4.00,0,,3,21,7.00,0,,,1,18,18.00,0,0,0
4,1988,1988-09-25,4,22.328,RAM,@,NYG,W 45-31,2,8,4.00,0,,3,24,8.00,1,,,4,100,25.00,0,1,6
5,1988,1988-10-02,5,22.335,RAM,,PHO,L 27-41,0,0,,0,,0,0,,0,,,2,54,27.00,0,0,0
6,1988,1988-10-09,6,22.342,RAM,@,ATL,W 33-0,9,34,3.78,0,,1,7,7.00,0,,,0,0,,0,0,0
7,1988,1988-10-16,7,22.349,RAM,,SFO,L 21-24,1,5,5.00,0,,2,13,6.50,0,,,0,0,,0,0,0
8,1988,1988-10-23,8,22.356,RAM,,SEA,W 31-10,3,14,4.67,0,,1,37,37.00,1,,,1,17,17.00,0,1,6
9,1988,1988-10-30,9,22.363,RAM,@,NOR,W 12-10,0,0,,0,,3,29,9.67,0,,,0,0,,0,0,0
10,1988,1988-11-06,10,23.004,RAM,@,PHI,L 24-30,4,14,3.50,0,,4,32,8.00,0,,,0,0,,0,0,0
11,1988,1988-11-13,11,23.011,RAM,,NOR,L 10-14,0,0,,0,,2,10,5.00,0,,,0,0,,0,0,0
12,1988,1988-11-20,12,23.018,RAM,,SDG,L 24-38,0,0,,0,,2,12,6.00,0,,,2,41,20.50,0,0,0
13,1988,1988-11-27,13,23.025,RAM,@,DEN,L 24-35,0,0,,0,,1,14,14.00,0,,,1,31,31.00,0,0,0
14,1988,1988-12-05,14,23.033,RAM,,CHI,W 23-3,0,0,,0,,1,8,8.00,0,,,2,54,27.00,0,0,0
15,1988,1988-12-11,15,23.039,RAM,,ATL,W 22-7,3,16,5.33,0,,2,45,22.50,0,,,1,18,18.00,0,0,0
16,1989,1989-09-10,1,23.312,RAM,@,ATL,W 31-21,1,2,2.00,0,,1,4,4.00,0,,,1,30,30.00,0,0,0
17,1989,1989-09-17,2,23.319,RAM,,IND,W 31-17,4,21,5.25,0,,0,0,,0,,,0,0,,0,0,0
18,1989,1989-09-24,3,23.326,RAM,,GNB,W 41-38,0,0,,0,,1,6,6.00,0,,,1,15,15.00,0,0,0
