ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,rush_att,rush_yds,rush_yds_per_att,rush_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1975,1975-09-21,1,23.124,DEN,,KAN,W 37-33,3,153,51.00,1,1,13,13.00,1,0,0,,0,0,0,,0,0,,,3,88,29.33,0,1,30,30.00,0,2,12
2,1975,1975-09-29,2,23.132,DEN,,GNB,W 23-13,2,29,14.50,0,1,12,12.00,0,0,0,,0,0,0,,0,0,,,2,13,6.50,0,2,0,0.00,0,0,0
3,1975,1975-10-05,3,23.138,DEN,@,BUF,L 14-38,1,80,80.00,1,0,0,,0,0,0,,0,0,0,,0,0,,,3,96,32.00,0,1,14,14.00,0,1,6
4,1975,1975-10-12,4,23.145,DEN,@,PIT,L 9-20,1,11,11.00,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,0,0,,0,0,0
5,1975,1975-10-19,5,23.152,DEN,,CLE,W 16-15,2,21,10.50,0,1,7,7.00,0,0,0,,0,0,0,,0,0,,,6,197,32.83,0,0,0,,0,0,0
6,1975,1975-10-26,6,23.159,DEN,@,KAN,L 13-26,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,5,97,19.40,0,0,0,,0,0,0
7,1975,1975-11-02,7,23.166,DEN,,OAK,L 17-42,3,76,25.33,0,5,17,3.40,0,0,0,,0,0,0,,0,0,,,4,129,32.25,0,1,18,18.00,0,0,0
8,1975,1975-11-09,8,23.173,DEN,,CIN,L 16-17,2,39,19.50,0,2,17,8.50,0,0,0,,0,0,0,,0,0,,,3,78,26.00,0,3,29,9.67,0,0,0
9,1975,1975-11-16,9,23.180,DEN,@,SDG,W 27-17,3,20,6.67,0,1,12,12.00,0,0,0,,0,0,0,,0,0,,,3,94,31.33,0,0,0,,0,0,0
10,1975,1975-11-23,10,23.187,DEN,@,ATL,L 21-35,0,0,,0,1,0,0.00,0,0,0,,0,0,0,,0,0,,,2,52,26.00,0,3,34,11.33,0,0,0
