ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,rush_att,rush_yds,rush_yds_per_att,rush_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td
1,2016,2016-09-11,1,22.340,HOU,,CHI,W 23-14,,2,1,5,5.00,0,50.0%,2.50,1,3,3.00,0,3,73,24.33,0,3,29,9.67,0
2,2016,2016-09-18,2,22.347,HOU,,KAN,W 19-12,,0,0,0,,0,0.0%,,0,0,,0,2,39,19.50,0,4,12,3.00,0
3,2016,2016-09-22,3,22.351,HOU,@,NWE,L 0-27,,0,0,0,,0,0.0%,,0,0,,0,2,33,16.50,0,0,0,,0
4,2016,2016-10-02,4,22.361,HOU,,TEN,W 27-20,,0,0,0,,0,0.0%,,0,0,,0,1,28,28.00,0,2,17,8.50,0
5,2016,2016-10-09,5,23.002,HOU,@,MIN,L 13-31,,0,0,0,,0,0.0%,,0,0,,0,2,53,26.50,0,2,33,16.50,0
6,2016,2016-10-16,6,23.009,HOU,,IND,W 26-23,,2,1,4,4.00,0,50.0%,2.00,0,0,,0,0,0,,0,2,23,11.50,0
7,2016,2016-10-24,7,23.017,HOU,@,DEN,L 9-27,,1,1,9,9.00,0,100.0%,9.00,0,0,,0,1,14,14.00,0,2,11,5.50,0
8,2016,2016-10-30,8,23.023,HOU,,DET,W 20-13,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,4,32,8.00,0
9,2016,2016-11-13,9,23.037,HOU,@,JAX,W 24-21,,0,0,0,,0,0.0%,,0,0,,0,2,23,11.50,0,1,57,57.00,0
10,2016,2016-11-21,10,23.045,HOU,@,OAK,L 20-27,,0,0,0,,0,0.0%,,0,0,,0,1,0,0.00,0,1,9,9.00,0
11,2016,2016-12-24,15,23.078,HOU,,CIN,W 12-10,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,4,32,8.00,0
12,2016,2017-01-01,16,23.086,HOU,@,TEN,L 17-24,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,2,6,3.00,0
13,2017,2017-09-10,1,23.338,HOU,,JAX,L 7-29,,5,4,18,4.50,0,80.0%,3.60,3,8,2.67,0,1,24,24.00,0,1,21,21.00,0
14,2017,2017-09-14,2,23.342,HOU,@,CIN,W 13-9,,5,3,16,5.33,0,60.0%,3.20,0,0,,0,1,17,17.00,0,3,15,5.00,0
15,2017,2017-09-24,3,23.352,HOU,@,NWE,L 33-36,,1,1,4,4.00,0,100.0%,4.00,1,4,4.00,0,3,52,17.33,0,3,20,6.67,0
16,2017,2017-10-01,4,23.359,HOU,,TEN,W 57-14,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,1,4,4.00,0
17,2018,2018-09-09,1,24.337,HOU,@,NWE,L 20-27,,1,1,12,12.00,0,100.0%,12.00,0,0,,0,5,156,31.20,0,2,20,10.00,0
18,2018,2018-09-16,2,24.344,HOU,@,TEN,L 17-20,,0,0,0,,0,0.0%,,0,0,,0,0,0,,0,4,24,6.00,0
19,2018,2018-09-23,3,24.351,HOU,,NYG,L 22-27,,0,0,0,,0,0.0%,,0,0,,0,2,41,20.50,0,3,45,15.00,0
