ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,sacks,tackles_solo,tackles_assists,punt,punt_yds,punt_yds_per_punt,punt_blocked
1,2007,2007-09-09,1,33.293,PHI,@,GNB,L 13-16,,0.0,,,7,283,40.43,0
2,2007,2007-09-17,2,33.301,PHI,,WAS,L 12-20,,0.0,,,5,216,43.20,0
3,2007,2007-09-23,3,33.307,PHI,,DET,W 56-21,,0.0,,,3,131,43.67,0
4,2007,2007-09-30,4,33.314,PHI,@,NYG,L 3-16,,0.0,,,8,333,41.63,0
5,2007,2007-10-14,5,33.328,PHI,@,NYJ,W 16-9,,0.0,,,2,94,47.00,0
6,2007,2007-10-21,6,33.335,PHI,,CHI,L 16-19,,0.0,,,4,132,33.00,0
7,2007,2007-10-28,7,33.342,PHI,@,MIN,W 23-16,,0.0,,,4,211,52.75,0
8,2007,2007-11-04,8,33.349,PHI,,DAL,L 17-38,,0.0,,,3,113,37.67,0
9,2007,2007-11-11,9,33.356,PHI,@,WAS,W 33-25,,0.0,,,2,79,39.50,0
10,2007,2007-11-18,10,33.363,PHI,,MIA,W 17-7,,0.0,,,5,220,44.00,0
11,2007,2007-11-25,11,34.005,PHI,@,NWE,L 28-31,,0.0,,,3,110,36.67,0
12,2007,2007-12-02,12,34.012,PHI,,SEA,L 24-28,,0.0,,,5,224,44.80,0
13,2007,2007-12-09,13,34.019,PHI,,NYG,L 13-16,,0.0,,,6,252,42.00,0
14,2007,2007-12-16,14,34.026,PHI,@,DAL,W 10-6,,0.0,,,8,313,39.13,0
15,2007,2007-12-23,15,34.033,PHI,@,NOR,W 38-23,,0.0,,,3,142,47.33,0
16,2007,2007-12-30,16,34.040,PHI,,BUF,W 17-9,,0.0,,,5,213,42.60,0
17,2008,2008-09-07,1,34.292,PHI,,STL,W 38-3,,0.0,0,0,4,186,46.50,0
18,2008,2008-09-15,2,34.300,PHI,@,DAL,L 37-41,,0.0,0,0,3,155,51.67,0
19,2008,2008-09-21,3,34.306,PHI,,PIT,W 15-6,,0.0,0,0,5,222,44.40,0
20,2008,2008-09-28,4,34.313,PHI,@,CHI,L 20-24,,0.0,0,0,6,266,44.33,0
21,2008,2008-10-05,5,34.320,PHI,,WAS,L 17-23,,0.0,0,0,5,251,50.20,0
22,2008,2008-10-12,6,34.327,PHI,@,SFO,W 40-26,,0.0,0,0,2,77,38.50,0
23,2008,2008-10-26,7,34.341,PHI,,ATL,W 27-14,,0.0,0,0,7,286,40.86,0
24,2008,2008-11-02,8,34.348,PHI,@,SEA,W 26-7,,0.0,0,0,5,235,47.00,0
25,2008,2008-11-09,9,34.355,PHI,,NYG,L 31-36,,0.0,0,0,5,228,45.60,0
26,2008,2008-11-16,10,34.362,PHI,@,CIN,T 13-13,,0.0,0,0,10,362,36.20,0
27,2008,2008-11-23,11,35.003,PHI,@,BAL,L 7-36,,0.0,0,0,6,291,48.50,1
28,2008,2008-11-27,12,35.007,PHI,,ARI,W 48-20,,0.0,0,0,3,137,45.67,0
29,2008,2008-12-07,13,35.017,PHI,@,NYG,W 20-14,,0.0,0,0,3,109,36.33,0
30,2008,2008-12-15,14,35.025,PHI,,CLE,W 30-10,,0.0,0,0,2,83,41.50,0
31,2008,2008-12-21,15,35.031,PHI,@,WAS,L 3-10,,0.0,0,0,8,318,39.75,0
32,2008,2008-12-28,16,35.038,PHI,,DAL,W 44-6,,0.0,0,0,3,128,42.67,0
33,2009,2009-09-13,1,35.297,PHI,@,CAR,W 38-10,,0.0,0,0,4,171,42.75,0
34,2009,2009-09-20,2,35.304,PHI,,NOR,L 22-48,,0.0,0,0,5,225,45.00,0
35,2009,2009-09-27,3,35.311,PHI,,KAN,W 34-14,,0.0,0,0,3,123,41.00,0
36,2009,2009-10-11,4,35.325,PHI,,TAM,W 33-14,,0.0,0,0,5,244,48.80,0
37,2009,2009-10-18,5,35.332,PHI,@,OAK,L 9-13,,0.0,0,0,8,343,42.88,0
38,2009,2009-10-26,6,35.340,PHI,@,WAS,W 27-17,,0.0,0,0,8,276,34.50,0
39,2009,2009-11-01,7,35.346,PHI,,NYG,W 40-17,,0.0,0,0,3,142,47.33,0
40,2009,2009-11-08,8,35.353,PHI,,DAL,L 16-20,,0.0,0,0,3,133,44.33,0
41,2009,2009-11-15,9,35.360,PHI,@,SDG,L 23-31,,0.0,0,0,4,160,40.00,0
42,2009,2009-11-22,10,36.002,PHI,@,CHI,W 24-20,,0.0,0,0,5,169,33.80,0
43,2009,2009-11-29,11,36.009,PHI,,WAS,W 27-24,,0.0,0,0,5,217,43.40,0
44,2009,2009-12-06,12,36.016,PHI,@,ATL,W 34-7,,0.0,0,0,3,134,44.67,0
45,2009,2009-12-13,13,36.023,PHI,@,NYG,W 45-38,,0.0,0,0,4,167,41.75,0
46,2009,2009-12-20,14,36.030,PHI,,SFO,W 27-13,,0.0,0,0,4,161,40.25,0
47,2009,2009-12-27,15,36.037,PHI,,DEN,W 30-27,,0.0,0,0,5,217,43.40,0
48,2009,2010-01-03,16,36.044,PHI,@,DAL,L 0-24,,0.0,0,0,7,340,48.57,0
49,2010,2010-09-12,1,36.296,PHI,,GNB,L 20-27,,0.0,0,0,5,249,49.80,0
50,2010,2010-09-19,2,36.303,PHI,@,DET,W 35-32,,0.0,0,0,7,341,48.71,0
51,2010,2010-09-26,3,36.310,PHI,@,JAX,W 28-3,,0.0,0,0,7,316,45.14,0
52,2010,2010-10-03,4,36.317,PHI,,WAS,L 12-17,,0.0,0,0,5,248,49.60,0
53,2010,2010-10-10,5,36.324,PHI,@,SFO,W 27-24,,0.0,0,0,4,161,40.25,0
54,2010,2010-10-17,6,36.331,PHI,,ATL,W 31-17,,0.0,0,0,2,90,45.00,0
55,2010,2010-10-24,7,36.338,PHI,@,TEN,L 19-37,,0.0,0,0,5,242,48.40,0
56,2010,2010-11-07,8,36.352,PHI,,IND,W 26-24,,0.0,0,0,4,148,37.00,0
