ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rush_att,rush_yds,rush_yds_per_att,rush_td,rec,rec_yds,rec_yds_per_rec,rec_td,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,def_int,def_int_yds,def_int_td
1,1951,1951-11-04,6,23.037,CLE,@,CRD,W 34-17,1,3,3.00,0,0,0,,0,0,0,,0,0,,,,,,,,,,,,,,,,,
2,1951,1951-11-25,9,23.058,CLE,,CHI,W 42-21,1,5,5.00,0,0,0,,0,0,0,,0,0,,,,,,,,,,,,,,,,,
3,1951,1951-12-02,10,23.065,CLE,,CRD,W 49-28,2,3,1.50,0,0,0,,0,0,0,,0,0,,,,,,,,,,,,,,,,,
4,1951,1951-12-09,11,23.072,CLE,@,PIT,W 28-0,2,6,3.00,1,0,0,,0,0,0,,0,0,,,,,,,,,,,,,,,,,
5,1951,1951-12-16,12,23.079,CLE,@,PHI,W 24-9,7,32,4.57,1,1,18,18.00,0,0,0,,0,0,,,,,,,,,,,,,,,,,
6,1953,1953-11-07,7,25.040,BAL,@,DET,L 7-17,1,1,1.00,1,0,0,,0,0,0,,0,0,,,,,,,,,,,,,,,,,
7,1954,1954-09-26,1,25.363,BAL,,RAM,L 0-48,0,0,,0,1,15,15.00,0,0,0,,0,0,,,,,,,,,,,,,,,,,
8,1954,1954-10-16,4,26.018,BAL,@,DET,L 0-35,0,0,,0,1,13,13.00,0,0,0,,0,0,,,,,,,,,,,,,,,,,
9,1954,1954-11-13,8,26.046,BAL,@,GNB,L 13-24,15,122,8.13,0,3,15,5.00,0,0,0,,0,0,,,,,,,,,,,,,,,,,
10,1954,1954-11-21,9,26.054,BAL,,CHI,L 13-28,12,72,6.00,0,1,9,9.00,0,0,0,,0,0,,,,,,,,,,,,,,,,,
11,1954,1954-12-04,11,26.067,BAL,@,RAM,W 22-21,5,16,3.20,0,4,33,8.25,1,0,0,,0,0,,,,,,,,,,,,,,,,,
12,1954,1954-12-11,12,26.074,BAL,@,SFO,L 7-10,9,18,2.00,0,6,74,12.33,0,0,0,,0,0,,,,,,,,,,,,,,,,,
13,1955,1955-11-05,7,27.038,BAL,@,DET,L 14-24,0,0,,0,1,3,3.00,0,0,0,,0,0,,,,,,,,,,,,,,,,,
14,1956,1956-10-28,5,28.030,BAL,,GNB,W 28-21,1,2,2.00,0,0,0,,0,0,0,,0,0,,,,,,,,,,,,,,,,,
15,1960,1960-09-25,1,31.363,BAL,,WAS,W 20-0,1,1,1.00,0,1,13,13.00,0,0,0,,0,0,0,,0,0,,,0,0,,0,2,10,5.00,0,0,0,0
16,1960,1960-10-02,2,32.004,BAL,,CHI,W 42-7,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,0,0,,0,1,2,2.00,0,0,0,0
17,1960,1960-10-09,3,32.011,BAL,@,GNB,L 21-35,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,4,76,19.00,0,0,0,,0,0,0,0
18,1960,1960-10-16,4,32.018,BAL,,RAM,W 31-17,3,2,0.67,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,23,23.00,0,0,0,,0,0,0,0
19,1960,1960-10-23,5,32.025,BAL,@,DET,L 17-30,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,3,62,20.67,0,1,5,5.00,0,0,0,0
20,1960,1960-11-13,8,32.046,BAL,@,CHI,W 24-20,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,2,43,21.50,0,0,0,,0,0,0,0
21,1960,1960-11-27,9,32.060,BAL,,SFO,L 22-30,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,1,22,22.00,0,1,1,1.00,0,0,0,0
22,1960,1960-12-18,12,32.081,BAL,@,SFO,L 10-34,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,,,3,65,21.67,0,1,7,7.00,0,0,0,0
