ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_td,all_td,scoring
1,1967,1967-09-17,1,24.013,RAM,@,NOR,W 27-13,0,0,,0,2,52,26.00,0,0,0,,0,0,0
2,1967,1967-09-22,2,24.018,RAM,,MIN,W 39-3,0,0,,0,2,40,20.00,0,3,26,8.67,0,0,0
3,1967,1967-10-01,3,24.027,RAM,@,DAL,W 35-13,0,0,,0,1,35,35.00,0,2,14,7.00,0,0,0
4,1967,1967-10-08,4,24.034,RAM,,SFO,L 24-27,0,0,,0,4,95,23.75,0,1,0,0.00,0,0,0
5,1967,1967-10-15,5,24.041,RAM,@,BAL,T 24-24,0,0,,0,1,14,14.00,0,0,0,,0,0,0
6,1967,1967-10-29,7,24.055,RAM,@,CHI,W 28-17,0,0,,0,1,6,6.00,0,0,0,,0,0,0
7,1968,1968-11-17,10,25.074,RAM,@,SFO,T 20-20,1,8,8.00,0,0,0,,0,0,0,,0,0,0
8,1968,1968-11-24,11,25.081,RAM,,NYG,W 24-21,1,60,60.00,1,0,0,,0,0,0,,0,1,6
9,1968,1968-12-01,12,25.088,RAM,@,MIN,W 31-3,3,44,14.67,3,0,0,,0,0,0,,0,3,18
10,1968,1968-12-08,13,25.095,RAM,,CHI,L 16-17,1,9,9.00,0,0,0,,0,0,0,,0,0,0
11,1968,1968-12-15,14,25.102,RAM,,BAL,L 24-28,1,3,3.00,0,0,0,,0,0,0,,0,0,0
12,1969,1969-09-21,1,26.017,RAM,@,BAL,W 27-20,6,90,15.00,1,0,0,,0,0,0,,0,1,6
13,1969,1969-09-28,2,26.024,RAM,,ATL,W 17-7,3,27,9.00,1,0,0,,0,0,0,,0,1,6
14,1969,1969-10-05,3,26.031,RAM,,NOR,W 36-17,3,44,14.67,0,0,0,,0,0,0,,0,0,0
15,1969,1969-10-12,4,26.038,RAM,@,SFO,W 27-21,1,9,9.00,0,0,0,,0,0,0,,0,0,0
16,1969,1969-10-19,5,26.045,RAM,,GNB,W 34-21,2,23,11.50,1,0,0,,0,0,0,,0,1,6
17,1969,1969-10-26,6,26.052,RAM,@,CHI,W 9-7,2,38,19.00,0,0,0,,0,0,0,,0,0,0
18,1969,1969-11-02,7,26.059,RAM,@,ATL,W 38-6,5,89,17.80,1,0,0,,0,0,0,,0,1,6
19,1969,1969-11-09,8,26.066,RAM,,SFO,W 41-30,3,118,39.33,1,0,0,,0,0,0,,0,1,6
20,1969,1969-11-16,9,26.073,RAM,@,PHI,W 23-17,3,29,9.67,0,0,0,,0,0,0,,0,0,0
21,1969,1969-11-23,10,26.080,RAM,,DAL,W 24-23,3,101,33.67,2,0,0,,0,0,0,,0,2,12
22,1969,1969-11-30,11,26.087,RAM,@,WAS,W 24-13,1,16,16.00,0,0,0,,0,0,0,,0,0,0
23,1969,1969-12-07,12,26.094,RAM,,MIN,L 13-20,4,37,9.25,0,0,0,,0,0,0,,0,0,0
24,1969,1969-12-21,14,26.108,RAM,,BAL,L 7-13,2,8,4.00,0,0,0,,0,0,0,,0,0,0
25,1970,1970-09-18,1,27.014,RAM,,STL,W 34-13,2,49,24.50,0,0,0,,0,0,0,,0,0,0
26,1970,1970-09-27,2,27.023,RAM,@,BUF,W 19-0,1,8,8.00,0,0,0,,0,0,0,,0,0,0
27,1970,1970-10-04,3,27.030,RAM,,SDG,W 37-10,1,5,5.00,0,0,0,,0,0,0,,0,0,0
28,1970,1970-10-11,4,27.037,RAM,,SFO,L 6-20,,,,,,,,,,,,,,
29,1970,1970-10-18,5,27.044,RAM,@,GNB,W 31-21,1,17,17.00,0,0,0,,0,0,0,,0,0,0
30,1970,1970-10-26,6,27.052,RAM,@,MIN,L 3-13,,,,,,,,,,,,,,
31,1970,1970-11-15,9,27.072,RAM,,NYJ,L 20-31,2,62,31.00,0,0,0,,0,0,0,,0,0,0
32,1970,1970-11-22,10,27.079,RAM,@,ATL,W 17-7,1,25,25.00,0,0,0,,0,0,0,,0,0,0
33,1970,1970-11-29,11,27.086,RAM,@,SFO,W 30-13,1,5,5.00,0,0,0,,0,0,0,,0,0,0
34,1970,1970-12-06,12,27.093,RAM,,NOR,W 34-16,3,59,19.67,0,0,0,,0,0,0,,0,0,0
35,1970,1970-12-14,13,27.101,RAM,,DET,L 23-28,,,,,,,,,,,,,,
36,1970,1970-12-20,14,27.107,RAM,@,NYG,W 31-3,,,,,,,,,,,,,,
