ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,rec,rec_yds,rec_yds_per_rec,rec_td,xpm,xpa,xp_perc,fgm,fga,fg_perc,all_td,scoring
1,1982,1982-09-12,1,26.110,HOU,@,CIN,L 6-27,0,0,,0,,1,0.0,,,,0,0
2,1982,1982-09-19,2,26.117,HOU,,SEA,W 23-21,0,0,,0,2,3,66.7,1,1,100.0,0,5
3,1982,1982-11-21,3,26.180,HOU,,PIT,L 10-24,0,0,,0,1,1,100.0,1,1,100.0,0,4
4,1982,1982-11-28,4,26.187,HOU,@,NWE,L 21-29,0,0,,0,3,3,100.0,,1,0.0,0,3
5,1982,1982-12-05,5,26.194,HOU,@,NYG,L 14-17,0,0,,0,2,2,100.0,,,,0,2
6,1982,1982-12-13,6,26.202,HOU,,DAL,L 7-37,0,0,,0,1,1,100.0,,,,0,1
7,1982,1982-12-19,7,26.208,HOU,@,PHI,L 14-35,0,0,,0,2,2,100.0,,,,0,2
8,1982,1982-12-26,8,26.215,HOU,,CLE,L 14-20,0,0,,0,2,2,100.0,,1,0.0,0,2
9,1982,1983-01-02,9,26.222,HOU,,CIN,L 27-35,0,0,,0,3,3,100.0,2,2,100.0,0,9
10,1983,1983-09-04,1,27.102,HOU,,GNB,L 38-41,0,0,,0,5,5,100.0,1,2,50.0,0,8
11,1983,1983-09-11,2,27.109,HOU,@,RAI,L 6-20,0,0,,0,,,,2,3,66.7,0,6
12,1983,1983-09-18,3,27.116,HOU,,PIT,L 28-40,0,0,,0,4,4,100.0,,,,0,4
13,1983,1983-09-25,4,27.123,HOU,@,BUF,L 13-30,0,0,,0,1,1,100.0,2,2,100.0,0,7
14,1983,1983-10-02,5,27.130,HOU,@,PIT,L 10-17,0,0,,0,1,1,100.0,1,1,100.0,0,4
15,1983,1983-10-09,6,27.137,HOU,,DEN,L 14-26,0,0,,0,2,2,100.0,,,,0,2
16,1983,1983-10-16,7,27.144,HOU,@,MIN,L 14-34,0,0,,0,2,2,100.0,,,,0,2
17,1983,1983-10-23,8,27.151,HOU,,KAN,L 10-13,0,0,,0,1,1,100.0,1,2,50.0,0,4
18,1983,1983-10-30,9,27.158,HOU,@,CLE,L 19-25,0,0,,0,1,2,50.0,2,2,100.0,0,7
19,1983,1983-11-06,10,27.165,HOU,,CIN,L 14-55,0,0,,0,2,2,100.0,,,,0,2
20,1983,1983-11-13,11,27.172,HOU,,DET,W 27-17,0,0,,0,3,3,100.0,2,2,100.0,0,9
21,1983,1983-11-20,12,27.179,HOU,@,CIN,L 10-38,0,0,,0,1,1,100.0,1,1,100.0,0,4
22,1983,1983-11-27,13,27.186,HOU,@,TAM,L 24-33,0,0,,0,3,3,100.0,1,1,100.0,0,6
23,1983,1983-12-04,14,27.193,HOU,,MIA,L 17-24,0,0,,0,2,2,100.0,1,1,100.0,0,5
24,1983,1983-12-11,15,27.200,HOU,,CLE,W 34-27,0,0,,0,4,4,100.0,2,3,66.7,0,10
25,1983,1983-12-18,16,27.207,HOU,@,BAL,L 10-20,1,7,7.00,0,1,1,100.0,1,1,100.0,0,4
26,1984,1984-09-02,1,28.100,HOU,,RAI,L 14-24,0,0,,0,2,2,100.0,,,,0,2
27,1984,1984-09-09,2,28.107,HOU,,IND,L 21-35,0,0,,0,3,3,100.0,,,,0,3
28,1984,1984-09-16,3,28.114,HOU,@,SDG,L 14-31,0,0,,0,2,2,100.0,,,,0,2
29,1984,1984-09-23,4,28.121,HOU,@,ATL,L 10-42,0,0,,0,1,1,100.0,1,2,50.0,0,4
30,1984,1984-09-30,5,28.128,HOU,,NOR,L 10-27,0,0,,0,1,1,100.0,1,1,100.0,0,4
31,1984,1984-10-07,6,28.135,HOU,@,CIN,L 3-13,0,0,,0,,,,1,1,100.0,0,3
32,1984,1984-10-14,7,28.142,HOU,@,MIA,L 10-28,0,0,,0,1,1,100.0,1,1,100.0,0,4
33,1984,1984-10-21,8,28.149,HOU,,SFO,L 21-34,0,0,,0,3,3,100.0,,1,0.0,0,3
34,1984,1984-10-28,9,28.156,HOU,,CIN,L 13-31,0,0,,0,1,1,100.0,,,,0,1
35,1987,1987-10-18,5,31.146,NOR,@,CHI,W 19-17,0,0,,0,1,1,100.0,4,5,80.0,0,13
