ranker,year_id,game_date,game_num,age,team,game_location,opp,game_result,gs,rush_att,rush_yds,rush_yds_per_att,rush_td,targets,rec,rec_yds,rec_yds_per_rec,rec_td,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_perc,pass_yds,pass_td,pass_int,pass_rating,pass_sacked,pass_sacked_yds,pass_yds_per_att,pass_adj_yds_per_att,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_td,two_pt_md,all_td,scoring,sacks,tackles_solo,tackles_assists
24,2005,2005-11-20,10,22.121,STL,,ARI,L 28-38,*,12,6,0.50,0,3,3,16,5.33,0,100.0%,5.33,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,,
25,2005,2005-11-27,11,22.128,STL,@,HOU,W 33-27,*,25,110,4.40,1,2,2,2,1.00,0,100.0%,1.00,0,0,,0,0,0,,,,,,0,0,,0,,1,6,0.0,,
26,2005,2005-12-04,12,22.135,STL,,WAS,L 9-24,*,11,24,2.18,0,4,4,18,4.50,0,100.0%,4.50,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,,
27,2005,2005-12-11,13,22.142,STL,@,MIN,L 13-27,*,19,67,3.53,0,0,0,0,,0,0.0%,,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,,
28,2005,2005-12-18,14,22.149,STL,,PHI,L 16-17,*,16,82,5.13,0,1,0,0,,0,0.0%,0.00,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,,
29,2005,2005-12-24,15,22.155,STL,,SFO,L 20-24,*,16,28,1.75,1,3,3,21,7.00,0,100.0%,7.00,0,0,,0,0,0,,,,,,0,0,,0,,1,6,0.0,,
30,2006,2006-09-10,1,23.050,STL,,DEN,W 18-10,*,22,121,5.50,0,5,4,19,4.75,0,80.0%,3.80,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,,
31,2006,2006-09-17,2,23.057,STL,@,SFO,L 13-20,*,22,103,4.68,0,3,2,21,10.50,0,66.7%,7.00,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,,
32,2006,2006-09-24,3,23.064,STL,@,ARI,W 16-14,*,24,62,2.58,0,3,3,59,19.67,0,100.0%,19.67,0,0,,0,0,0,,,,,,0,0,,0,,0,0,0.0,,
33,2006,2006-10-01,4,23.071,STL,,DET,W 41-34,*,22,81,3.68,1,7,6,65,10.83,0,85.7%,9.29,0,0,,0,0,0,,,,,,0,0,,0,,1,6,0.0,,
